Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,7e-06,20.249703,[195  58] ; [11 18],[184.81560284  68.18439716] ; [21.18439716  7.81560284],1
s5,1,0.000469,12.234843,[135 116] ; [ 6 24],[125.94661922 125.05338078] ; [15.05338078 14.94661922],1
s3,1,0.000512,12.070045,[236  26] ; [22 10],[229.91836735  32.08163265] ; [28.08163265  3.91836735],1
r4,1,0.000564,11.891644,[250  14] ; [25  7],[245.27027027  18.72972973] ; [29.72972973  2.27027027],1
b5,1,0.002708,8.994421,[171  93] ; [12 20],[163.21621622 100.78378378] ; [19.78378378 12.21621622],0
s8,1,0.003037,8.785222,[183  79] ; [14 18],[175.55782313  86.44217687] ; [21.44217687 10.55782313],0
r3,1,0.013984,6.040122,[258   5] ; [29  3],[255.86779661   7.13220339] ; [31.13220339  0.86779661],0
p4,1,0.027829,4.838628,[193  69] ; [17 14],[187.78156997  74.21843003] ; [22.21843003  8.78156997],0
p6,1,0.040324,4.204197,[126 134] ; [ 9 22],[120.6185567 139.3814433] ; [14.3814433 16.6185567],0
s4,1,0.044255,4.046821,[ 66 194] ; [ 3 29],[ 61.43835616 198.56164384] ; [ 7.56164384 24.43835616],0
v4,1,0.07266,3.221874,[260   4] ; [30  2],[258.64864865   5.35135135] ; [31.35135135  0.64864865],0
a2,1,0.112838,2.514022,[104 160] ; [ 8 24],[ 99.89189189 164.10810811] ; [12.10810811 19.89189189],0
u1,1,0.189774,1.719368,[ 88 176] ; [ 7 25],[ 84.72972973 179.27027027] ; [10.27027027 21.72972973],0
r1,1,0.190362,1.714814,[228  35] ; [25  7],[225.5559322  37.4440678] ; [27.4440678  4.5559322],0
b2,1,0.210266,1.569597,[ 69 103] ; [9 7],[ 71.36170213 100.63829787] ; [6.63829787 9.36170213],0
b3,1,0.210266,1.569597,[ 69 103] ; [9 7],[ 71.36170213 100.63829787] ; [6.63829787 9.36170213],0
p5,1,0.217242,1.5225,[ 39 222] ; [ 2 28],[ 36.77319588 224.22680412] ; [ 4.22680412 25.77319588],0
p9,1,0.222341,1.489199,[237  24] ; [26  5],[235.07876712  25.92123288] ; [27.92123288  3.07876712],0
a4,1,0.231347,1.432562,[161 103] ; [16 16],[157.86486486 106.13513514] ; [19.13513514 12.86486486],0
n1,1,0.234725,1.411996,[25 33] ; [2 7],[23.37313433 34.62686567] ; [3.62686567 5.37313433],0
a3,1,0.24637,1.343771,[219  44] ; [24  8],[216.64067797  46.35932203] ; [26.35932203  5.64067797],0
p11,1,0.265107,1.241889,[209  55] ; [28  4],[211.37837838  52.62162162] ; [25.62162162  6.37837838],0
u3,1,0.354738,0.856437,[35 10] ; [5 3],[33.96226415 11.03773585] ; [6.03773585 1.96226415],0
d4,1,0.363373,0.826204,[258   3] ; [31  1],[257.43686007   3.56313993] ; [31.56313993  0.43686007],0
p3,1,0.368889,0.807402,[154 109] ; [15 15],[151.69624573 111.30375427] ; [17.30375427 12.69624573],0
v3,1,0.376917,0.780734,[112 138] ; [15 13],[114.20863309 135.79136691] ; [12.79136691 15.20863309],0
p7,1,0.381032,0.767371,[167  86] ; [18 13],[164.80633803  88.19366197] ; [20.19366197 10.80633803],0
p2,1,0.425433,0.635258,[227  37] ; [25  6],[225.51864407  38.48135593] ; [26.48135593  4.51864407],0
p1,1,0.437206,0.603605,[ 28 235] ; [ 2 30],[ 26.74576271 236.25423729] ; [ 3.25423729 28.74576271],0
b4,1,0.491063,0.474196,[157 107] ; [17 15],[155.18918919 108.81081081] ; [18.81081081 13.18918919],0
d3,1,0.49121,0.473876,[232  30] ; [27  5],[230.80952381  31.19047619] ; [28.19047619  3.80952381],0
