Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3.3e-05,17.208549,[12  2] ; [17 47],[5.20512821 8.79487179] ; [23.79487179 40.20512821],1
p5,1,4.4e-05,16.687975,[6 8] ; [ 3 62],[ 1.59493671 12.40506329] ; [ 7.40506329 57.59493671],1
s7,1,0.001176,10.528181,[11  2] ; [22 40],[5.72 7.28] ; [27.28 34.72],0
s8,1,0.002966,8.828362,[10  4] ; [19 46],[5.13924051 8.86075949] ; [23.86075949 41.13924051],0
p8,1,0.004145,8.219068,[11  3] ; [23 40],[6.18181818 7.81818182] ; [27.81818182 35.18181818],0
p1,1,0.012056,6.302637,[6 8] ; [ 9 56],[ 2.65822785 11.34177215] ; [12.34177215 52.65822785],0
p6,1,0.012236,6.27639,[8 6] ; [15 49],[4.12820513 9.87179487] ; [18.87179487 45.12820513],0
p7,1,0.014888,5.929729,[12  2] ; [31 31],[7.92105263 6.07894737] ; [35.07894737 26.92105263],0
a8,1,0.015144,5.899613,[4 9] ; [ 4 53],[ 1.48571429 11.51428571] ; [ 6.51428571 50.48571429],0
s6,1,0.024668,5.047059,[11  2] ; [33 32],[7.33333333 5.66666667] ; [36.66666667 28.33333333],0
s3,1,0.032976,4.547009,[10  3] ; [28 35],[6.5 6.5] ; [31.5 31.5],0
v3,1,0.038306,4.291377,[9 5] ; [22 42],[5.56410256 8.43589744] ; [25.43589744 38.56410256],0
u1,1,0.082718,3.010681,[ 2 12] ; [ 2 63],[ 0.70886076 13.29113924] ; [ 3.29113924 61.70886076],0
r1,1,0.119255,2.427078,[12  1] ; [46 18],[9.79220779 3.20779221] ; [48.20779221 15.79220779],0
b1,1,0.162133,1.95422,[8 6] ; [24 41],[5.67088608 8.32911392] ; [26.32911392 38.67088608],0
n4,1,0.17017,1.881448,[12  1] ; [48 16],[10.12987013  2.87012987] ; [49.87012987 14.12987013],0
n6,1,0.171407,1.870599,[13  1] ; [49 15],[11.12820513  2.87179487] ; [50.87179487 13.12820513],0
p12,1,0.22594,1.466241,[ 1 13] ; [ 1 64],[ 0.35443038 13.64556962] ; [ 1.64556962 63.35443038],0
a1,1,0.22594,1.466241,[ 1 13] ; [ 1 64],[ 0.35443038 13.64556962] ; [ 1.64556962 63.35443038],0
d1,1,0.22594,1.466241,[ 1 13] ; [ 1 64],[ 0.35443038 13.64556962] ; [ 1.64556962 63.35443038],0
n5,1,0.236443,1.401675,[13  1] ; [50 13],[11.45454545  2.54545455] ; [51.54545455 11.45454545],0
b5,1,0.306742,1.044652,[7 7] ; [42 23],[8.6835443 5.3164557] ; [40.3164557 24.6835443],0
p2,1,0.323941,0.97297,[9 5] ; [50 15],[10.4556962  3.5443038] ; [48.5443038 16.4556962],0
u3,1,0.324534,0.970588,[2 4] ; [15 12],[3.09090909 2.90909091] ; [13.90909091 13.09090909],0
a6,1,0.337783,0.918829,[6 8] ; [37 28],[7.62025316 6.37974684] ; [35.37974684 29.62025316],0
a4,1,0.35817,0.844298,[5 9] ; [15 48],[ 3.63636364 10.36363636] ; [16.36363636 46.63636364],0
p11,1,0.393832,0.727078,[9 5] ; [49 16],[10.27848101  3.72151899] ; [47.72151899 17.27848101],0
s1,1,0.397824,0.714895,[ 2 11] ; [ 5 58],[ 1.19736842 11.80263158] ; [ 5.80263158 57.19736842],0
u2,1,0.509756,0.434568,[2 4] ; [13 14],[2.72727273 3.27272727] ; [12.27272727 14.72727273],0
d5,1,0.521167,0.411584,[8 6] ; [31 34],[6.91139241 7.08860759] ; [32.08860759 32.91139241],0
r3,1,0.558389,0.342502,[13  1] ; [55  8],[12.36363636  1.63636364] ; [55.63636364  7.36363636],0
d2,1,0.569303,0.32385,[ 4 10] ; [14 51],[ 3.18987342 10.81012658] ; [14.81012658 50.18987342],0
s4,1,0.580101,0.306072,[ 3 11] ; [10 55],[ 2.30379747 11.69620253] ; [10.69620253 54.30379747],0
a2,1,0.581139,0.304397,[ 1 13] ; [ 8 57],[ 1.59493671 12.40506329] ; [ 7.40506329 57.59493671],0
b4,1,0.591192,0.288487,[8 6] ; [32 33],[7.08860759 6.91139241] ; [32.91139241 32.08860759],0
b2,1,0.624938,0.238987,[3 5] ; [13 32],[2.41509434 5.58490566] ; [13.58490566 31.41509434],0
b3,1,0.624938,0.238987,[3 5] ; [13 32],[2.41509434 5.58490566] ; [13.58490566 31.41509434],0
n1,1,0.695943,0.152727,[3 2] ; [8 8],[2.61904762 2.38095238] ; [8.38095238 7.61904762],0
v2,1,0.790561,0.070534,[8 6] ; [33 29],[7.55263158 6.44736842] ; [33.44736842 28.55263158],0
d3,1,0.805641,0.060542,[5 9] ; [21 44],[4.60759494 9.39240506] ; [21.39240506 43.60759494],0
p4,1,0.822243,0.050473,[8 6] ; [35 30],[7.62025316 6.37974684] ; [35.37974684 29.62025316],0
a7,1,0.834737,0.043527,[9 5] ; [43 21],[9.33333333 4.66666667] ; [42.66666667 21.33333333],0
a3,1,0.877764,0.023656,[8 6] ; [38 26],[8.25641026 5.74358974] ; [37.74358974 26.25641026],0
p10,1,0.924113,0.009073,[10  3] ; [50 14],[10.12987013  2.87012987] ; [49.87012987 14.12987013],0
a5,1,0.932171,0.007244,[9 5] ; [41 24],[8.86075949 5.13924051] ; [41.13924051 23.86075949],0
p3,1,0.98798,0.000227,[6 8] ; [28 37],[6.02531646 7.97468354] ; [27.97468354 37.02531646],0
p9,1,0.992759,8.2e-05,[11  3] ; [51 14],[10.98734177  3.01265823] ; [51.01265823 13.98734177],0
