Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.4e-05,17.162573,[30  3] ; [1 5],[26.23076923  6.76923077] ; [4.76923077 1.23076923],1
s7,1,0.011687,6.357697,[24  5] ; [2 4],[21.54285714  7.45714286] ; [4.45714286 1.54285714],0
s6,1,0.01227,6.271484,[29  3] ; [3 3],[26.94736842  5.05263158] ; [5.05263158 0.94736842],0
s8,1,0.065163,3.400837,[19 14] ; [1 5],[16.92307692 16.07692308] ; [3.07692308 2.92307692],0
s2,1,0.109454,2.562092,[23 11] ; [2 4],[21.25 12.75] ; [3.75 2.25],0
b1,1,0.165012,1.927687,[16 18] ; [1 5],[14.45 19.55] ; [2.55 3.45],0
s3,1,0.1651,1.926877,[21 12] ; [2 4],[19.46153846 13.53846154] ; [3.53846154 2.46153846],0
a5,1,0.194,1.686977,[21 13] ; [2 4],[19.55 14.45] ; [3.45 2.55],0
d5,1,0.247232,1.338879,[14 20] ; [4 2],[15.3 18.7] ; [2.7 3.3],0
p9,1,0.285735,1.13961,[28  5] ; [4 2],[27.07692308  5.92307692] ; [4.92307692 1.07692308],0
a7,1,0.307153,1.042879,[21 13] ; [5 1],[22.1 11.9] ; [3.9 2.1],0
v1,1,0.307153,1.042879,[13 21] ; [1 5],[11.9 22.1] ; [2.1 3.9],0
r1,1,0.397852,0.714809,[27  6] ; [4 2],[26.23076923  6.76923077] ; [4.76923077 1.23076923],0
v2,1,0.412435,0.67177,[16 17] ; [4 2],[16.92307692 16.07692308] ; [3.07692308 2.92307692],0
v3,1,0.428045,0.628122,[14 20] ; [3 2],[14.82051282 19.17948718] ; [2.17948718 2.82051282],0
s4,1,0.439506,0.597572,[11 23] ; [1 5],[10.2 23.8] ; [1.8 4.2],0
a6,1,0.533249,0.388196,[18 16] ; [4 2],[18.7 15.3] ; [3.3 2.7],0
p3,1,0.533249,0.388196,[16 18] ; [2 4],[15.3 18.7] ; [2.7 3.3],0
p12,1,0.554916,0.348584,[ 3 31] ; [1 5],[ 3.4 30.6] ; [0.6 5.4],0
n6,1,0.554916,0.348584,[31  3] ; [5 1],[30.6  3.4] ; [5.4 0.6],0
d3,1,0.609134,0.261438,[ 8 26] ; [2 4],[ 8.5 25.5] ; [1.5 4.5],0
a4,1,0.609134,0.261438,[ 9 25] ; [1 5],[ 8.5 25.5] ; [1.5 4.5],0
b5,1,0.622251,0.242716,[15 19] ; [2 4],[14.45 19.55] ; [2.55 3.45],0
p4,1,0.622251,0.242716,[19 15] ; [4 2],[19.55 14.45] ; [3.45 2.55],0
a8,1,0.648241,0.208125,[ 4 28] ; [1 4],[ 4.32432432 27.67567568] ; [0.67567568 4.32432432],0
p5,1,0.662351,0.19068,[10 24] ; [1 4],[ 9.58974359 24.41025641] ; [1.41025641 3.58974359],0
d2,1,0.72852,0.120475,[ 9 25] ; [2 4],[ 9.35 24.65] ; [1.65 4.35],0
r4,1,0.737828,0.112045,[30  4] ; [5 1],[29.75  4.25] ; [5.25 0.75],0
p7,1,0.757027,0.09572,[25  9] ; [4 1],[25.28205128  8.71794872] ; [3.71794872 1.28205128],0
p6,1,0.789452,0.071301,[15 19] ; [3 3],[15.3 18.7] ; [2.7 3.3],0
p8,1,0.886814,0.02026,[21 12] ; [4 2],[21.15384615 11.84615385] ; [3.84615385 2.15384615],0
b3,1,0.8908,0.018849,[ 6 10] ; [1 2],[ 5.89473684 10.10526316] ; [1.10526316 1.89473684],0
b2,1,0.8908,0.018849,[ 6 10] ; [1 2],[ 5.89473684 10.10526316] ; [1.10526316 1.89473684],0
a3,1,0.894187,0.017691,[18 16] ; [3 3],[17.85 16.15] ; [3.15 2.85],0
p10,1,0.922144,0.009552,[27  6] ; [4 1],[26.92105263  6.07894737] ; [4.07894737 0.92105263],0
p2,1,0.975736,0.000925,[27  7] ; [4 1],[27.02564103  6.97435897] ; [3.97435897 1.02564103],0
p1,1,0.975736,0.000925,[ 7 27] ; [1 4],[ 6.97435897 27.02564103] ; [1.02564103 3.97435897],0
