Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,26.074342,[49  2] ; [12 14],[40.4025974 10.5974026] ; [20.5974026  5.4025974],1
s3,1,0.000126,14.694153,[46  8] ; [12 15],[38.66666667 15.33333333] ; [19.33333333  7.66666667],1
p8,1,0.00114,10.585463,[49  5] ; [17 11],[43.46341463 10.53658537] ; [22.53658537  5.46341463],0
s2,1,0.004177,8.205259,[42 12] ; [13 15],[36.2195122 17.7804878] ; [18.7804878  9.2195122],0
v1,1,0.004979,7.887129,[41 12] ; [13 15],[35.33333333 17.66666667] ; [18.66666667  9.33333333],0
r2,1,0.011312,6.415653,[51  2] ; [22  6],[47.7654321  5.2345679] ; [25.2345679  2.7654321],0
p7,1,0.015587,5.848916,[45  7] ; [17 10],[40.81012658 11.18987342] ; [21.18987342  5.81012658],0
d5,1,0.030146,4.70093,[46  8] ; [18 10],[42.14634146 11.85365854] ; [21.85365854  6.14634146],0
p4,1,0.056046,3.650704,[50  4] ; [21  6],[47.33333333  6.66666667] ; [23.66666667  3.33333333],0
s4,1,0.066546,3.366234,[10 44] ; [ 1 26],[ 7.33333333 46.66666667] ; [ 3.66666667 23.33333333],0
d1,1,0.076372,3.140472,[36 18] ; [13 15],[32.26829268 21.73170732] ; [16.73170732 11.26829268],0
r1,1,0.082981,3.005523,[47  7] ; [20  8],[44.12195122  9.87804878] ; [22.87804878  5.12195122],0
b4,1,0.087947,2.911557,[28 26] ; [20  8],[31.6097561 22.3902439] ; [16.3902439 11.6097561],0
d4,1,0.102494,2.666295,[48  6] ; [21  7],[45.43902439  8.56097561] ; [23.56097561  4.43902439],0
a3,1,0.108375,2.577753,[45  9] ; [19  9],[42.14634146 11.85365854] ; [21.85365854  6.14634146],0
p6,1,0.115807,2.473131,[37 15] ; [15 13],[33.8 18.2] ; [18.2  9.8],0
d3,1,0.118195,2.441072,[40 14] ; [16 12],[36.87804878 17.12195122] ; [19.12195122  8.87804878],0
b5,1,0.119523,2.423561,[23 31] ; [17 11],[26.34146341 27.65853659] ; [13.65853659 14.34146341],0
p2,1,0.125205,2.350968,[49  5] ; [22  6],[46.75609756  7.24390244] ; [24.24390244  3.75609756],0
s1,1,0.174108,1.847213,[ 7 47] ; [ 1 27],[ 5.26829268 48.73170732] ; [ 2.73170732 25.26829268],0
a6,1,0.281399,1.16032,[30 24] ; [19  9],[32.26829268 21.73170732] ; [16.73170732 11.26829268],0
p3,1,0.296988,1.087669,[44 10] ; [20  8],[42.14634146 11.85365854] ; [21.85365854  6.14634146],0
n5,1,0.319535,0.990848,[50  4] ; [24  4],[48.73170732  5.26829268] ; [25.26829268  2.73170732],0
v3,1,0.369894,0.80402,[32 21] ; [14 14],[30.09876543 22.90123457] ; [15.90123457 12.09876543],0
p9,1,0.394972,0.72358,[51  3] ; [25  3],[50.04878049  3.95121951] ; [25.95121951  2.04878049],0
n4,1,0.394972,0.72358,[51  3] ; [25  3],[50.04878049  3.95121951] ; [25.95121951  2.04878049],0
n3,1,0.396144,0.72,[9 6] ; [1 2],[8.33333333 6.66666667] ; [1.66666667 1.33333333],0
b1,1,0.446699,0.579015,[24 30] ; [10 18],[22.3902439 31.6097561] ; [11.6097561 16.3902439],0
a4,1,0.446699,0.579015,[24 30] ; [10 18],[22.3902439 31.6097561] ; [11.6097561 16.3902439],0
p11,1,0.450389,0.569672,[46  8] ; [22  6],[44.7804878  9.2195122] ; [23.2195122  4.7804878],0
v2,1,0.464552,0.534906,[31 22] ; [14 14],[29.44444444 23.55555556] ; [15.55555556 12.44444444],0
n6,1,0.491213,0.473868,[50  4] ; [27  1],[50.70731707  3.29268293] ; [26.29268293  1.70731707],0
r3,1,0.492979,0.470018,[52  2] ; [26  2],[51.36585366  2.63414634] ; [26.63414634  1.36585366],0
v4,1,0.492979,0.470018,[52  2] ; [26  2],[51.36585366  2.63414634] ; [26.63414634  1.36585366],0
u3,1,0.628745,0.233766,[5 4] ; [6 3],[5.5 3.5] ; [5.5 3.5],0
a2,1,0.62906,0.233338,[10 44] ; [ 4 24],[ 9.2195122 44.7804878] ; [ 4.7804878 23.2195122],0
d2,1,0.641388,0.216931,[28 26] ; [13 15],[27. 27.] ; [14. 14.],0
a7,1,0.680369,0.169711,[39 15] ; [19  9],[38.19512195 15.80487805] ; [19.80487805  8.19512195],0
r4,1,0.692455,0.156441,[51  3] ; [27  1],[51.36585366  2.63414634] ; [26.63414634  1.36585366],0
a1,1,0.720584,0.127934,[ 8 46] ; [ 5 23],[ 8.56097561 45.43902439] ; [ 4.43902439 23.56097561],0
u1,1,0.752519,0.099427,[10 44] ; [ 6 22],[10.53658537 43.46341463] ; [ 5.46341463 22.53658537],0
a5,1,0.797648,0.065737,[40 14] ; [20  8],[39.51219512 14.48780488] ; [20.48780488  7.51219512],0
p10,1,0.813089,0.055905,[48  5] ; [24  3],[47.7  5.3] ; [24.3  2.7],0
n2,1,0.813945,0.055385,[11  4] ; [2 1],[10.83333333  4.16666667] ; [2.16666667 0.83333333],0
a8,1,0.857816,0.032097,[ 9 42] ; [ 4 21],[ 8.72368421 42.27631579] ; [ 4.27631579 20.72368421],0
p1,1,0.939529,0.005755,[15 39] ; [ 8 20],[15.14634146 38.85365854] ; [ 7.85365854 20.14634146],0
p12,1,0.939529,0.005755,[15 39] ; [ 8 20],[15.14634146 38.85365854] ; [ 7.85365854 20.14634146],0
s5,1,0.989653,0.000168,[34 16] ; [19  9],[33.97435897 16.02564103] ; [19.02564103  8.97435897],0
b3,1,0.992454,8.9e-05,[19 21] ; [ 9 10],[18.98305085 21.01694915] ; [9.01694915 9.98305085],0
b2,1,0.992454,8.9e-05,[19 21] ; [ 9 10],[18.98305085 21.01694915] ; [9.01694915 9.98305085],0
u2,1,1.0,0.0,[6 3] ; [6 3],[6. 3.] ; [6. 3.],0
