Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2.4e-05,17.835866,[ 8 49] ; [30 29],[18.67241379 38.32758621] ; [19.32758621 39.67241379],1
v1,1,0.003575,8.487926,[17 41] ; [35 28],[24.92561983 33.07438017] ; [27.07438017 35.92561983],0
r3,1,0.012729,6.206397,[43 14] ; [58  5],[47.975  9.025] ; [53.025  9.975],0
p6,1,0.015418,5.86806,[15 43] ; [28 31],[21.31623932 36.68376068] ; [21.68376068 37.31623932],0
s2,1,0.017256,5.670133,[22 36] ; [37 25],[28.51666667 29.48333333] ; [30.48333333 31.51666667],0
s6,1,0.020261,5.389222,[30 27] ; [44 16],[36.05128205 20.94871795] ; [37.94871795 22.05128205],0
n5,1,0.022315,5.221039,[40 18] ; [30 32],[33.83333333 24.16666667] ; [36.16666667 25.83333333],0
a2,1,0.062471,3.470547,[18 40] ; [30 33],[23.00826446 34.99173554] ; [24.99173554 38.00826446],0
r1,1,0.063345,3.447566,[41 16] ; [54  9],[45.125 11.875] ; [49.875 13.125],0
a5,1,0.076137,3.145489,[41 17] ; [53 10],[45.05785124 12.94214876] ; [48.94214876 14.05785124],0
p5,1,0.112119,2.524102,[ 6 51] ; [ 2 60],[ 3.83193277 53.16806723] ; [ 4.16806723 57.83193277],0
a1,1,0.112804,2.514496,[ 6 52] ; [ 2 61],[ 3.83471074 54.16528926] ; [ 4.16528926 58.83471074],0
s8,1,0.122615,2.383601,[20 38] ; [30 32],[24.16666667 33.83333333] ; [25.83333333 36.16666667],0
a3,1,0.145577,2.117993,[44 13] ; [55  8],[47.025  9.975] ; [51.975 11.025],0
v4,1,0.171127,1.873039,[50  8] ; [59  4],[52.24793388  5.75206612] ; [56.75206612  6.24793388],0
a4,1,0.172917,1.857468,[33 24] ; [44 19],[36.575 20.425] ; [40.425 22.575],0
r4,1,0.175163,1.838194,[43 15] ; [53 10],[46.01652893 11.98347107] ; [49.98347107 13.01652893],0
p9,1,0.190338,1.715002,[33 23] ; [43 18],[36.37606838 19.62393162] ; [39.62393162 21.37606838],0
p4,1,0.193589,1.69009,[24 34] ; [32 28],[27.52542373 30.47457627] ; [28.47457627 31.52542373],0
p7,1,0.209158,1.577248,[21 36] ; [29 31],[24.35897436 32.64102564] ; [25.64102564 34.35897436],0
p10,1,0.244127,1.356604,[30 28] ; [38 23],[33.14285714 24.85714286] ; [34.85714286 26.14285714],0
p3,1,0.254015,1.301087,[23 34] ; [31 30],[26.08474576 30.91525424] ; [27.91525424 33.08474576],0
p1,1,0.312982,1.018049,[ 8 50] ; [ 5 57],[ 6.28333333 51.71666667] ; [ 6.71666667 55.28333333],0
r2,1,0.321926,0.981105,[51  4] ; [60  2],[52.17948718  2.82051282] ; [58.82051282  3.17948718],0
a8,1,0.353573,0.860591,[ 6 49] ; [ 3 48],[ 4.66981132 50.33018868] ; [ 4.33018868 46.66981132],0
u2,1,0.375399,0.785714,[6 8] ; [5 3],[7. 7.] ; [4. 4.],0
s7,1,0.381261,0.766632,[23 28] ; [30 26],[25.26168224 25.73831776] ; [27.73831776 28.26168224],0
s1,1,0.393448,0.72826,[ 5 53] ; [ 3 60],[ 3.83471074 54.16528926] ; [ 4.16528926 58.83471074],0
s5,1,0.402439,0.701026,[18 37] ; [23 34],[20.13392857 34.86607143] ; [20.86607143 36.13392857],0
d2,1,0.435842,0.607206,[44 12] ; [53 10],[45.64705882 10.35294118] ; [51.35294118 11.64705882],0
n2,1,0.442764,0.589108,[17 14] ; [15  8],[18.37037037 12.62962963] ; [13.62962963  9.37037037],0
p2,1,0.464469,0.535103,[34 23] ; [41 21],[35.92436975 21.07563025] ; [39.07563025 22.92436975],0
n3,1,0.47172,0.517943,[18 12] ; [16  7],[19.24528302 10.75471698] ; [14.75471698  8.24528302],0
u1,1,0.47577,0.508542,[15 43] ; [20 43],[16.7768595 41.2231405] ; [18.2231405 44.7768595],0
n1,1,0.476897,0.50595,[16 14] ; [10 13],[14.71698113 15.28301887] ; [11.28301887 11.71698113],0
b2,1,0.494733,0.466216,[12 20] ; [11 26],[10.66666667 21.33333333] ; [12.33333333 24.66666667],0
b3,1,0.494733,0.466216,[12 20] ; [11 26],[10.66666667 21.33333333] ; [12.33333333 24.66666667],0
s4,1,0.507807,0.438583,[12 46] ; [16 46],[13.53333333 44.46666667] ; [14.46666667 47.53333333],0
a6,1,0.572701,0.318184,[38 19] ; [45 18],[39.425 17.575] ; [43.575 19.425],0
p12,1,0.606781,0.264889,[ 3 55] ; [ 2 59],[ 2.43697479 55.56302521] ; [ 2.56302521 58.43697479],0
u4,1,0.608228,0.262764,[ 1 57] ; [ 2 61],[ 1.43801653 56.56198347] ; [ 1.56198347 61.43801653],0
a7,1,0.634481,0.226032,[42 16] ; [48 15],[43.14049587 14.85950413] ; [46.85950413 16.14049587],0
b1,1,0.651853,0.203572,[30 28] ; [30 33],[28.76033058 29.23966942] ; [31.23966942 31.76033058],0
d3,1,0.669714,0.181936,[52  5] ; [56  7],[51.3  5.7] ; [56.7  6.3],0
s3,1,0.69611,0.15255,[32 26] ; [32 30],[30.93333333 27.06666667] ; [33.06666667 28.93333333],0
u3,1,0.805803,0.06044,[8 6] ; [5 3],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
p8,1,0.833115,0.044398,[22 36] ; [22 39],[21.44537815 36.55462185] ; [22.55462185 38.44537815],0
b4,1,0.83831,0.041639,[33 25] ; [37 26],[33.55371901 24.44628099] ; [36.44628099 26.55371901],0
b5,1,0.882594,0.02181,[37 21] ; [41 22],[37.38842975 20.61157025] ; [40.61157025 22.38842975],0
d4,1,0.943082,0.005097,[56  1] ; [62  1],[56.05  0.95] ; [61.95  1.05],0
n4,1,0.953348,0.003423,[39 19] ; [42 20],[39.15 18.85] ; [41.85 20.15],0
n6,1,0.981111,0.000561,[41 17] ; [43 18],[40.94117647 17.05882353] ; [43.05882353 17.94117647],0
