Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,39.71749,[63 30] ; [442  42],[81.39514731 11.60485269] ; [423.60485269  60.39514731],1
p9,1,2e-06,22.436917,[71 22] ; [445  36],[83.60278746  9.39721254] ; [432.39721254  48.60278746],1
p8,1,3.4e-05,17.202937,[39 55] ; [307 170],[56.95971979 37.04028021] ; [289.04028021 187.95971979],1
b1,1,0.001508,10.068625,[50 46] ; [170 317],[36.22641509 59.77358491] ; [183.77358491 303.22641509],0
a5,1,0.001737,9.808878,[60 36] ; [378 109],[72.12349914 23.87650086] ; [365.87650086 121.12349914],0
n6,1,0.003217,8.680265,[79 16] ; [450  36],[86.49741824  8.50258176] ; [442.50258176  43.49741824],0
r3,1,0.006367,7.44347,[85  9] ; [467  16],[89.92720971  4.07279029] ; [462.07279029  20.92720971],0
p7,1,0.010992,6.466605,[55 38] ; [345 132],[65.26315789 27.73684211] ; [334.73684211 142.26315789],0
p3,1,0.01135,6.40975,[41 55] ; [276 210],[52.28865979 43.71134021] ; [264.71134021 221.28865979],0
v2,1,0.013207,6.141164,[43 50] ; [282 187],[53.78113879 39.21886121] ; [271.21886121 197.78113879],0
a6,1,0.016208,5.780126,[56 40] ; [344 142],[65.97938144 30.02061856] ; [334.02061856 151.97938144],0
d1,1,0.025401,4.996313,[48 48] ; [303 184],[57.79759863 38.20240137] ; [293.20240137 193.79759863],0
s1,1,0.028191,4.816334,[ 5 88] ; [  8 471],[ 2.11363636 90.88636364] ; [ 10.88636364 468.11363636],0
v4,1,0.046599,3.959792,[88  7] ; [469  15],[91.39032815  3.60967185] ; [465.60967185  18.39032815],0
r4,1,0.057307,3.613668,[83 13] ; [450  37],[87.76672384  8.23327616] ; [445.23327616  41.76672384],0
b5,1,0.061302,3.501809,[66 30] ; [285 202],[57.79759863 38.20240137] ; [293.20240137 193.79759863],0
n3,1,0.061661,3.492139,[18 13] ; [63 20],[22.02631579  8.97368421] ; [58.97368421 24.02631579],0
p12,1,0.083733,2.990909,[ 4 91] ; [ 47 437],[ 8.36787565 86.63212435] ; [ 42.63212435 441.36787565],0
p4,1,0.092677,2.827248,[59 37] ; [341 145],[65.97938144 30.02061856] ; [334.02061856 151.97938144],0
d5,1,0.120106,2.415939,[75 21] ; [411  75],[80.16494845 15.83505155] ; [405.83505155  80.16494845],0
a3,1,0.127565,2.321884,[64 31] ; [364 122],[69.9827883 25.0172117] ; [358.0172117 127.9827883],0
d4,1,0.132098,2.267676,[73 22] ; [404  81],[78.12931034 16.87068966] ; [398.87068966  86.12931034],0
u2,1,0.134956,2.234548,[13 18] ; [70 53],[16.70779221 14.29220779] ; [66.29220779 56.70779221],0
v3,1,0.157546,1.997627,[34 60] ; [208 264],[40.19081272 53.80918728] ; [201.80918728 270.19081272],0
v1,1,0.184391,1.761874,[52 44] ; [290 182],[57.8028169 38.1971831] ; [284.1971831 187.8028169],0
n1,1,0.245338,1.349658,[15 15] ; [31 51],[12.32142857 17.67857143] ; [33.67857143 48.32142857],0
n4,1,0.326766,0.96167,[82 13] ; [437  50],[84.71649485 10.28350515] ; [434.28350515  52.71649485],0
a2,1,0.344589,0.893284,[21 75] ; [129 358],[24.69982847 71.30017153] ; [125.30017153 361.69982847],0
b3,1,0.352997,0.862653,[15 30] ; [125 183],[17.8470255 27.1529745] ; [122.1529745 185.8470255],0
b2,1,0.352997,0.862653,[15 30] ; [125 183],[17.8470255 27.1529745] ; [122.1529745 185.8470255],0
r1,1,0.387694,0.746163,[74 20] ; [400  85],[76.95336788 17.04663212] ; [397.04663212  87.95336788],0
a4,1,0.418426,0.654732,[41 55] ; [229 256],[44.61273666 51.38726334] ; [225.38726334 259.61273666],0
