Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,1.6e-05,18.61506,[66  6] ; [19 15],[57.73584906 14.26415094] ; [27.26415094  6.73584906],1
p10,1,2.7e-05,17.592289,[64  8] ; [19 17],[55.33333333 16.66666667] ; [27.66666667  8.33333333],1
p9,1,9.3e-05,15.272163,[66  5] ; [24 14],[58.62385321 12.37614679] ; [31.37614679  6.62385321],1
v4,1,0.000406,12.505392,[70  2] ; [28  9],[64.73394495  7.26605505] ; [33.26605505  3.73394495],1
n6,1,0.001336,10.292398,[64  8] ; [24 14],[57.6 14.4] ; [30.4  7.6],0
b4,1,0.004584,8.036729,[52 20] ; [17 21],[45.16363636 26.83636364] ; [23.83636364 14.16363636],0
r3,1,0.004998,7.880117,[69  3] ; [30  8],[64.8  7.2] ; [34.2  3.8],0
p5,1,0.0136,6.089299,[14 57] ; [ 1 37],[ 9.7706422 61.2293578] ; [ 5.2293578 32.7706422],0
d1,1,0.063324,3.448116,[38 34] ; [13 25],[33.38181818 38.61818182] ; [17.61818182 20.38181818],0
s5,1,0.064704,3.4125,[31 39] ; [ 9 26],[26.66666667 43.33333333] ; [13.33333333 21.66666667],0
b1,1,0.069271,3.30022,[25 47] ; [20 18],[29.45454545 42.54545455] ; [15.54545455 22.45454545],0
p12,1,0.122849,2.380612,[ 8 64] ; [ 1 37],[ 5.89090909 66.10909091] ; [ 3.10909091 34.89090909],0
v2,1,0.131879,2.270246,[29 39] ; [22 16],[32.71698113 35.28301887] ; [18.28301887 19.71698113],0
p8,1,0.158471,1.988755,[37 34] ; [14 23],[33.52777778 37.47222222] ; [17.47222222 19.52777778],0
p11,1,0.228951,1.447368,[60 12] ; [28 10],[57.6 14.4] ; [30.4  7.6],0
a4,1,0.23356,1.419051,[25 47] ; [ 9 29],[22.25454545 49.74545455] ; [11.74545455 26.25454545],0
p6,1,0.256283,1.288726,[29 42] ; [11 26],[26.2962963 44.7037037] ; [13.7037037 23.2962963],0
v3,1,0.272641,1.203412,[25 43] ; [10 28],[22.45283019 45.54716981] ; [12.54716981 25.45283019],0
u3,1,0.272716,1.203036,[13 17] ; [8 5],[14.65116279 15.34883721] ; [6.34883721 6.65116279],0
n5,1,0.283037,1.152449,[52 20] ; [23 14],[49.5412844 22.4587156] ; [25.4587156 11.5412844],0
