Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.4e-05,17.863745,[52  9] ; [ 9 14],[44.29761905 16.70238095] ; [16.70238095  6.29761905],1
p9,1,0.002663,9.0248,[56  5] ; [15  8],[51.55952381  9.44047619] ; [19.44047619  3.55952381],0
p11,1,0.024126,5.085573,[53  8] ; [15  8],[49.38095238 11.61904762] ; [18.61904762  4.38095238],0
r4,1,0.024126,5.085573,[53  8] ; [15  8],[49.38095238 11.61904762] ; [18.61904762  4.38095238],0
s7,1,0.030776,4.665418,[30 27] ; [ 6 17],[25.65 31.35] ; [10.35 12.65],0
p3,1,0.039375,4.244634,[36 24] ; [ 8 15],[31.80722892 28.19277108] ; [12.19277108 10.80722892],0
p6,1,0.043182,4.088245,[28 33] ; [ 5 18],[23.96428571 37.03571429] ; [ 9.03571429 13.96428571],0
p10,1,0.050642,3.820083,[53  8] ; [15  7],[49.97590361 11.02409639] ; [18.02409639  3.97590361],0
a4,1,0.056662,3.632487,[17 43] ; [ 2 21],[13.73493976 46.26506024] ; [ 5.26506024 17.73493976],0
r1,1,0.058774,3.571645,[45 16] ; [12 11],[41.39285714 19.60714286] ; [15.60714286  7.39285714],0
n1,1,0.068628,3.315527,[8 5] ; [1 5],[6.15789474 6.84210526] ; [2.84210526 3.15789474],0
v4,1,0.08407,2.9844,[58  2] ; [19  3],[56.34146341  3.65853659] ; [20.65853659  1.34146341],0
n6,1,0.101791,2.677259,[50 11] ; [15  8],[47.20238095 13.79761905] ; [17.79761905  5.20238095],0
n2,1,0.111219,2.536813,[11  2] ; [3 3],[9.57894737 3.42105263] ; [4.42105263 1.57894737],0
a3,1,0.115074,2.483111,[27 33] ; [ 6 17],[23.85542169 36.14457831] ; [ 9.14457831 13.85542169],0
p5,1,0.123042,2.378171,[11 50] ; [ 1 21],[ 8.81927711 52.18072289] ; [ 3.18072289 18.81927711],0
s8,1,0.130201,2.290102,[24 37] ; [ 5 18],[21.05952381 39.94047619] ; [ 7.94047619 15.05952381],0
s5,1,0.142711,2.148478,[21 39] ; [ 4 18],[18.29268293 41.70731707] ; [ 6.70731707 15.29268293],0
p7,1,0.178606,1.809186,[50 11] ; [15  7],[47.77108434 13.22891566] ; [17.22891566  4.77108434],0
s2,1,0.202737,1.622546,[23 38] ; [ 5 17],[20.57831325 40.42168675] ; [ 7.42168675 14.57831325],0
s3,1,0.206291,1.597263,[28 31] ; [ 7 15],[25.49382716 33.50617284] ; [ 9.50617284 12.49382716],0
s6,1,0.208535,1.581566,[36 23] ; [10 12],[33.50617284 25.49382716] ; [12.49382716  9.50617284],0
p4,1,0.28936,1.122594,[37 24] ; [11 12],[34.85714286 26.14285714] ; [13.14285714  9.85714286],0
d2,1,0.313562,1.015611,[14 47] ; [ 3 20],[12.3452381 48.6547619] ; [ 4.6547619 18.3452381],0
