Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.9e-05,18.303646,[ 9 60] ; [10  6],[15.42352941 53.57647059] ; [ 3.57647059 12.42352941],1
p12,1,0.006261,7.473624,[ 3 67] ; [ 4 12],[ 5.69767442 64.30232558] ; [ 1.30232558 14.69767442],0
p7,1,0.007928,7.049602,[24 43] ; [11  4],[28.59756098 38.40243902] ; [6.40243902 8.59756098],0
p5,1,0.007953,7.043963,[ 3 64] ; [ 4 12],[ 5.65060241 61.34939759] ; [ 1.34939759 14.65060241],0
d5,1,0.059615,3.548053,[54 16] ; [8 7],[51.05882353 18.94117647] ; [10.94117647  4.05882353],0
a3,1,0.091303,2.851243,[51 20] ; [8 8],[48.14942529 22.85057471] ; [10.85057471  5.14942529],0
s5,1,0.105277,2.623732,[19 47] ; [8 8],[21.73170732 44.26829268] ; [ 5.26829268 10.73170732],0
n3,1,0.11034,2.549342,[18  9] ; [1 3],[16.5483871 10.4516129] ; [2.4516129 1.5483871],0
v2,1,0.112045,2.525139,[34 33] ; [11  4],[36.76829268 30.23170732] ; [8.23170732 6.76829268],0
s6,1,0.127781,2.319259,[48 22] ; [14  2],[50.46511628 19.53488372] ; [11.53488372  4.46511628],0
n5,1,0.227032,1.459362,[46 24] ; [13  3],[48.02325581 21.97674419] ; [10.97674419  5.02325581],0
s4,1,0.228507,1.450133,[19 52] ; [ 2 14],[17.13793103 53.86206897] ; [ 3.86206897 12.13793103],0
p4,1,0.258626,1.276097,[22 48] ; [7 8],[23.88235294 46.11764706] ; [5.11764706 9.88235294],0
d1,1,0.261724,1.259614,[42 29] ; [7 9],[39.98850575 31.01149425] ; [9.01149425 6.98850575],0
a4,1,0.290908,1.115414,[37 34] ; [ 6 10],[35.09195402 35.90804598] ; [7.90804598 8.09195402],0
d3,1,0.291786,1.111361,[43 27] ; [7 8],[41.17647059 28.82352941] ; [8.82352941 6.17647059],0
v3,1,0.301516,1.067477,[19 44] ; [7 9],[20.73417722 42.26582278] ; [ 5.26582278 10.73417722],0
u3,1,0.318388,0.995556,[14  6] ; [4 4],[12.85714286  7.14285714] ; [5.14285714 2.85714286],0
p3,1,0.365982,0.817261,[24 46] ; [7 8],[25.52941176 44.47058824] ; [5.47058824 9.52941176],0
