Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.465608,[ 2 22] ; [19  5],[10.5 13.5] ; [10.5 13.5],1
s6,1,0.000443,12.342857,[ 4 20] ; [16  8],[10. 14.] ; [10. 14.],1
v4,1,0.001168,10.540835,[ 9 15] ; [20  4],[14.5  9.5] ; [14.5  9.5],0
p2,1,0.002095,9.464489,[ 5 19] ; [15  8],[10.21276596 13.78723404] ; [ 9.78723404 13.21276596],0
r4,1,0.003465,8.545055,[ 2 22] ; [11 13],[ 6.5 17.5] ; [ 6.5 17.5],0
p8,1,0.005069,7.854545,[ 3 21] ; [12 12],[ 7.5 16.5] ; [ 7.5 16.5],0
v1,1,0.005069,7.854545,[ 3 21] ; [12 12],[ 7.5 16.5] ; [ 7.5 16.5],0
p11,1,0.006604,7.377609,[ 4 20] ; [13 11],[ 8.5 15.5] ; [ 8.5 15.5],0
s8,1,0.007661,7.111111,[ 2 22] ; [10 14],[ 6. 18.] ; [ 6. 18.],0
n6,1,0.01187,6.330248,[10 13] ; [19  5],[14.19148936  8.80851064] ; [14.80851064  9.19148936],0
s5,1,0.017627,5.632857,[ 3 21] ; [10 13],[ 6.63829787 17.36170213] ; [ 6.36170213 16.63829787],0
p4,1,0.018356,5.561886,[ 4 19] ; [12 12],[ 7.82978723 15.17021277] ; [ 8.17021277 15.82978723],0
a5,1,0.034637,4.462998,[12 12] ; [19  5],[15.5  8.5] ; [15.5  8.5],0
p6,1,0.039104,4.256326,[ 2 21] ; [ 8 16],[ 4.89361702 18.10638298] ; [ 5.10638298 18.89361702],0
b5,1,0.043127,4.090435,[ 9 15] ; [16  8],[12.5 11.5] ; [12.5 11.5],0
p3,1,0.050914,3.811094,[ 5 19] ; [11 12],[ 8.17021277 15.82978723] ; [ 7.82978723 15.17021277],0
b2,1,0.053616,3.724603,[11 10] ; [ 4 14],[ 8.07692308 12.92307692] ; [ 6.92307692 11.07692308],0
b3,1,0.053616,3.724603,[11 10] ; [ 4 14],[ 8.07692308 12.92307692] ; [ 6.92307692 11.07692308],0
s2,1,0.066193,3.375,[ 5 19] ; [11 13],[ 8. 16.] ; [ 8. 16.],0
r2,1,0.068819,3.310964,[14  8] ; [20  3],[16.62222222  5.37777778] ; [17.37777778  5.62222222],0
p5,1,0.071136,3.25662,[ 1 23] ; [ 5 18],[ 3.06382979 20.93617021] ; [ 2.93617021 20.06382979],0
d5,1,0.073638,3.2,[12 12] ; [18  6],[15.  9.] ; [15.  9.],0
a7,1,0.082194,3.020979,[ 8 16] ; [14 10],[11. 13.] ; [11. 13.],0
d4,1,0.082194,3.020979,[10 14] ; [16  8],[13. 11.] ; [13. 11.],0
n2,1,0.098168,2.735065,[6 9] ; [8 3],[8.07692308 6.92307692] ; [5.92307692 5.07692308],0
s3,1,0.13917,2.187114,[ 7 16] ; [11 10],[ 9.40909091 13.59090909] ; [ 8.59090909 12.40909091],0
r1,1,0.145729,2.116402,[ 8 16] ; [13 11],[10.5 13.5] ; [10.5 13.5],0
a6,1,0.145729,2.116402,[11 13] ; [16  8],[13.5 10.5] ; [13.5 10.5],0
s7,1,0.146068,2.112842,[ 4 18] ; [ 9 15],[ 6.2173913 15.7826087] ; [ 6.7826087 17.2173913],0
n3,1,0.165403,1.924118,[5 9] ; [7 4],[6.72 7.28] ; [5.28 5.72],0
b4,1,0.220671,1.5,[14 10] ; [18  6],[16.  8.] ; [16.  8.],0
d1,1,0.246566,1.342657,[ 9 15] ; [13 11],[11. 13.] ; [11. 13.],0
p1,1,0.267257,1.230769,[ 3 21] ; [ 6 18],[ 4.5 19.5] ; [ 4.5 19.5],0
p7,1,0.279265,1.170664,[ 5 18] ; [ 8 14],[ 6.64444444 16.35555556] ; [ 6.35555556 15.64444444],0
a3,1,0.359466,0.839757,[13 10] ; [16  7],[14.5  8.5] ; [14.5  8.5],0
n5,1,0.382733,0.761905,[20  4] ; [22  2],[21.  3.] ; [21.  3.],0
a2,1,0.382733,0.761905,[ 2 22] ; [ 4 20],[ 3. 21.] ; [ 3. 21.],0
d3,1,0.386064,0.751304,[10 14] ; [13 11],[11.5 12.5] ; [11.5 12.5],0
n1,1,0.391153,0.735354,[7 8] ; [7 4],[8.07692308 6.92307692] ; [5.92307692 5.07692308],0
v3,1,0.450475,0.569457,[ 5 19] ; [ 7 16],[ 6.12765957 17.87234043] ; [ 5.87234043 17.12765957],0
s4,1,0.477197,0.505263,[ 6 18] ; [ 4 20],[ 5. 19.] ; [ 5. 19.],0
p12,1,0.550985,0.355556,[ 1 23] ; [ 2 22],[ 1.5 22.5] ; [ 1.5 22.5],0
u1,1,0.550985,0.355556,[ 1 23] ; [ 2 22],[ 1.5 22.5] ; [ 1.5 22.5],0
a4,1,0.551944,0.353846,[ 9 14] ; [11 12],[10. 13.] ; [10. 13.],0
s1,1,0.63657,0.223256,[ 3 21] ; [ 2 22],[ 2.5 21.5] ; [ 2.5 21.5],0
v2,1,0.670665,0.180825,[ 5 19] ; [ 6 17],[ 5.61702128 18.38297872] ; [ 5.38297872 17.61702128],0
d2,1,0.671141,0.18027,[12 11] ; [14 10],[12.72340426 10.27659574] ; [13.27659574 10.72340426],0
a1,1,0.711531,0.136752,[ 5 19] ; [ 4 20],[ 4.5 19.5] ; [ 4.5 19.5],0
b1,1,0.771084,0.084656,[13 11] ; [14 10],[13.5 10.5] ; [13.5 10.5],0
u3,1,0.811055,0.057152,[ 1 10] ; [1 7],[1.15789474 9.84210526] ; [0.84210526 7.15789474],0
u2,1,0.959566,0.00257,[4 7] ; [3 5],[4.05263158 6.94736842] ; [2.94736842 5.05263158],0
a8,1,0.974346,0.001034,[ 1 21] ; [ 1 22],[ 0.97777778 21.02222222] ; [ 1.02222222 21.97777778],0
