Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5.4e-05,16.293468,[45  8] ; [133 109],[31.97966102 21.02033898] ; [146.02033898  95.97966102],1
s2,1,0.003408,8.575041,[33 20] ; [ 99 147],[23.39799331 29.60200669] ; [108.60200669 137.39799331],0
s3,1,0.004415,8.104898,[38 15] ; [123 122],[28.63422819 24.36577181] ; [132.36577181 112.63422819],0
s5,1,0.007098,7.248032,[21 27] ; [ 60 183],[13.36082474 34.63917526] ; [ 67.63917526 175.36082474],0
s7,1,0.011645,6.364091,[33 20] ; [100 132],[24.73333333 28.26666667] ; [108.26666667 123.73333333],0
a8,1,0.014019,6.035747,[ 2 51] ; [ 38 186],[ 7.6534296 45.3465704] ; [ 32.3465704 191.6534296],0
b3,1,0.014573,5.967344,[ 4 23] ; [57 88],[ 9.5755814 17.4244186] ; [51.4244186 93.5755814],0
b2,1,0.014573,5.967344,[ 4 23] ; [57 88],[ 9.5755814 17.4244186] ; [51.4244186 93.5755814],0
v3,1,0.026318,4.935032,[ 9 44] ; [ 78 163],[15.68367347 37.31632653] ; [ 71.31632653 169.68367347],0
n3,1,0.044285,4.045674,[16  3] ; [44 30],[12.25806452  6.74193548] ; [47.74193548 26.25806452],0
p2,1,0.084216,2.981593,[45  9] ; [177  69],[39.96 14.04] ; [182.04  63.96],0
n4,1,0.095456,2.77987,[42 12] ; [215  33],[45.95364238  8.04635762] ; [211.04635762  36.95364238],0
p6,1,0.095702,2.775752,[21 33] ; [ 67 177],[15.94630872 38.05369128] ; [ 72.05369128 171.94630872],0
s1,1,0.106101,2.611357,[ 5 48] ; [ 10 235],[ 2.66778523 50.33221477] ; [ 12.33221477 232.66778523],0
d5,1,0.114455,2.4916,[36 18] ; [190  57],[40.5448505 13.4551495] ; [185.4551495  61.5448505],0
p5,1,0.114707,2.488149,[ 2 52] ; [ 26 219],[ 5.05685619 48.94314381] ; [ 22.94314381 222.05685619],0
p11,1,0.115437,2.478165,[44 10] ; [176  72],[39.33774834 14.66225166] ; [180.66225166  67.33774834],0
b1,1,0.12405,2.365422,[18 36] ; [111 137],[23.06622517 30.93377483] ; [105.93377483 142.06622517],0
a3,1,0.141026,2.166733,[31 23] ; [167  79],[35.64 18.36] ; [162.36  83.64],0
v4,1,0.157933,1.993905,[51  3] ; [216  30],[48.06  5.94] ; [218.94  27.06],0
p8,1,0.168525,1.896018,[29 25] ; [105 137],[24.44594595 29.55405405] ; [109.55405405 132.44594595],0
a1,1,0.183858,1.766156,[ 1 53] ; [ 16 232],[ 3.0397351 50.9602649] ; [ 13.9602649 234.0397351],0
v2,1,0.184573,1.760409,[16 36] ; [ 96 140],[20.22222222 31.77777778] ; [ 91.77777778 144.22222222],0
p4,1,0.188967,1.725653,[32 22] ; [121 124],[27.63210702 26.36789298] ; [125.36789298 119.63210702],0
r4,1,0.19127,1.707806,[40 14] ; [203  45],[43.45033113 10.54966887] ; [199.54966887  48.45033113],0
a5,1,0.200914,1.635718,[33 21] ; [173  74],[36.95681063 17.04318937] ; [169.04318937  77.95681063],0
d2,1,0.238866,1.387273,[22 32] ; [121 123],[25.91275168 28.08724832] ; [117.08724832 126.91275168],0
d1,1,0.241932,1.3693,[24 30] ; [132 116],[27.89403974 26.10596026] ; [128.10596026 119.89403974],0
s8,1,0.265037,1.242253,[23 31] ; [ 85 161],[19.44 34.56] ; [ 88.56 157.44],0
r2,1,0.298663,1.080156,[45  8] ; [221  25],[47.15050167  5.84949833] ; [218.84949833  27.15050167],0
n1,1,0.311783,1.023107,[ 6 13] ; [32 40],[ 7.93406593 11.06593407] ; [30.06593407 41.93406593],0
r1,1,0.317917,0.997495,[36 18] ; [182  66],[38.98013245 15.01986755] ; [179.01986755  68.98013245],0
