Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000309,13.016882,[10  4] ; [ 3 20],[4.91891892 9.08108108] ; [ 8.08108108 14.91891892],1
s8,1,0.001341,10.285714,[9 6] ; [ 3 22],[ 4.5 10.5] ; [ 7.5 17.5],0
p6,1,0.005835,7.600568,[8 7] ; [ 3 21],[ 4.23076923 10.76923077] ; [ 6.76923077 17.23076923],0
s2,1,0.007661,7.111111,[10  5] ; [ 6 19],[6. 9.] ; [10. 15.],0
a7,1,0.016623,5.73572,[10  5] ; [ 7 18],[6.375 8.625] ; [10.625 14.375],0
a3,1,0.020216,5.393143,[13  2] ; [12 12],[9.61538462 5.38461538] ; [15.38461538  8.61538462],0
n2,1,0.022097,5.238095,[10  1] ; [5 6],[7.5 3.5] ; [7.5 3.5],0
p2,1,0.034825,4.453736,[12  3] ; [11 13],[8.84615385 6.15384615] ; [14.15384615  9.84615385],0
p5,1,0.040879,4.181029,[ 4 11] ; [ 1 23],[ 1.92307692 13.07692308] ; [ 3.07692308 20.92307692],0
s4,1,0.089686,2.88,[6 9] ; [ 4 21],[ 3.75 11.25] ; [ 6.25 18.75],0
s1,1,0.10247,2.666667,[ 3 12] ; [ 1 24],[ 1.5 13.5] ; [ 2.5 22.5],0
u1,1,0.10247,2.666667,[ 3 12] ; [ 1 24],[ 1.5 13.5] ; [ 2.5 22.5],0
a2,1,0.10247,2.666667,[ 3 12] ; [ 1 24],[ 1.5 13.5] ; [ 2.5 22.5],0
a5,1,0.1234,2.373626,[12  3] ; [14 11],[9.75 5.25] ; [16.25  8.75],0
p9,1,0.149517,2.077174,[11  4] ; [12 12],[8.84615385 6.15384615] ; [14.15384615  9.84615385],0
d3,1,0.164595,1.931495,[10  5] ; [11 14],[7.875 7.125] ; [13.125 11.875],0
d2,1,0.170294,1.880357,[9 6] ; [ 9 15],[6.92307692 8.07692308] ; [11.07692308 12.92307692],0
b5,1,0.182422,1.777778,[11  4] ; [13 12],[9. 6.] ; [15. 10.],0
p4,1,0.204196,1.612103,[10  5] ; [11 13],[8.07692308 6.92307692] ; [12.92307692 11.07692308],0
p1,1,0.237256,1.396825,[ 4 11] ; [ 3 22],[ 2.625 12.375] ; [ 4.375 20.625],0
r1,1,0.250616,1.319865,[10  5] ; [12 13],[8.25 6.75] ; [13.75 11.25],0
p10,1,0.272967,1.201778,[11  4] ; [14 11],[9.375 5.625] ; [15.625  9.375],0
a6,1,0.327187,0.96,[9 6] ; [11 14],[7.5 7.5] ; [12.5 12.5],0
a4,1,0.367123,0.813378,[6 9] ; [ 6 17],[ 4.73684211 10.26315789] ; [ 7.26315789 15.73684211],0
v4,1,0.414216,0.666667,[13  2] ; [19  6],[12.  3.] ; [20.  5.],0
s5,1,0.435484,0.608154,[5 9] ; [ 6 19],[ 3.94871795 10.05128205] ; [ 7.05128205 17.94871795],0
d1,1,0.504985,0.444444,[7 8] ; [ 9 16],[6. 9.] ; [10. 15.],0
p8,1,0.567144,0.327485,[8 7] ; [11 14],[7.125 7.875] ; [11.875 13.125],0
p11,1,0.567144,0.327485,[8 7] ; [11 14],[7.125 7.875] ; [11.875 13.125],0
v3,1,0.573683,0.316558,[ 5 10] ; [ 6 18],[ 4.23076923 10.76923077] ; [ 6.76923077 17.23076923],0
p12,1,0.586214,0.296296,[ 2 13] ; [ 2 23],[ 1.5 13.5] ; [ 2.5 22.5],0
u3,1,0.591208,0.288462,[1 1] ; [4 9],[0.66666667 1.33333333] ; [4.33333333 8.66666667],0
u2,1,0.591208,0.288462,[1 1] ; [4 9],[0.66666667 1.33333333] ; [4.33333333 8.66666667],0
r2,1,0.601297,0.273044,[11  3] ; [17  7],[10.31578947  3.68421053] ; [17.68421053  6.31578947],0
r4,1,0.607565,0.263736,[6 9] ; [ 8 17],[5.25 9.75] ; [ 8.75 16.25],0
b4,1,0.607565,0.263736,[9 6] ; [17  8],[9.75 5.25] ; [16.25  8.75],0
b1,1,0.622461,0.242424,[9 6] ; [13 12],[8.25 6.75] ; [13.75 11.25],0
n1,1,0.669815,0.181818,[6 5] ; [5 6],[5.5 5.5] ; [5.5 5.5],0
s6,1,0.743971,0.106667,[8 7] ; [12 13],[7.5 7.5] ; [12.5 12.5],0
p7,1,0.7445,0.106211,[6 9] ; [ 8 15],[5.52631579 9.47368421] ; [ 8.47368421 14.52631579],0
v2,1,0.783867,0.075231,[ 5 10] ; [ 7 17],[ 4.61538462 10.38461538] ; [ 7.38461538 16.61538462],0
d4,1,0.800282,0.064,[9 6] ; [16  9],[9.375 5.625] ; [15.625  9.375],0
n3,1,0.834996,0.043388,[6 5] ; [5 5],[5.76190476 5.23809524] ; [5.23809524 4.76190476],0
n4,1,0.850436,0.035556,[11  4] ; [19  6],[11.25  3.75] ; [18.75  6.25],0
b2,1,0.856315,0.032785,[4 9] ; [ 5 13],[3.77419355 9.22580645] ; [ 5.22580645 12.77419355],0
b3,1,0.856315,0.032785,[4 9] ; [ 5 13],[3.77419355 9.22580645] ; [ 5.22580645 12.77419355],0
p3,1,0.875935,0.024375,[6 9] ; [ 9 15],[5.76923077 9.23076923] ; [ 9.23076923 14.76923077],0
v1,1,0.930542,0.007597,[ 5 10] ; [ 8 17],[ 4.875 10.125] ; [ 8.125 16.875],0
d5,1,1.0,0.0,[9 6] ; [15 10],[9. 6.] ; [15. 10.],0
