Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.02692,4.895904,[22 27] ; [18  7],[26.48648649 22.51351351] ; [13.51351351 11.48648649],0
s3,1,0.035811,4.406092,[32 18] ; [21  3],[35.81081081 14.18918919] ; [17.18918919  6.81081081],0
a3,1,0.042254,4.125,[33 17] ; [22  3],[36.66666667 13.33333333] ; [18.33333333  6.66666667],0
s7,1,0.056334,3.64214,[27 21] ; [19  5],[30.66666667 17.33333333] ; [15.33333333  8.66666667],0
p12,1,0.073139,3.211125,[ 1 48] ; [ 3 22],[ 2.64864865 46.35135135] ; [ 1.35135135 23.64864865],0
u1,1,0.08532,2.960526,[ 9 41] ; [ 9 16],[12. 38.] ; [ 6. 19.],0
s2,1,0.091675,2.84472,[34 15] ; [21  3],[36.91780822 12.08219178] ; [18.08219178  5.91780822],0
p3,1,0.133614,2.25,[27 23] ; [18  7],[30. 20.] ; [15. 10.],0
d1,1,0.133614,2.25,[27 23] ; [18  7],[30. 20.] ; [15. 10.],0
p2,1,0.162964,1.946504,[37 13] ; [22  3],[39.33333333 10.66666667] ; [19.66666667  5.33333333],0
b2,1,0.186136,1.747938,[ 7 23] ; [6 8],[ 8.86363636 21.13636364] ; [4.13636364 9.86363636],0
b3,1,0.186136,1.747938,[ 7 23] ; [6 8],[ 8.86363636 21.13636364] ; [4.13636364 9.86363636],0
p11,1,0.188798,1.726974,[35 15] ; [21  4],[37.33333333 12.66666667] ; [18.66666667  6.33333333],0
s6,1,0.189585,1.720842,[37 10] ; [21  2],[38.94285714  8.05714286] ; [19.05714286  3.94285714],0
s1,1,0.218935,1.511339,[ 1 48] ; [ 2 23],[ 1.98648649 47.01351351] ; [ 1.01351351 23.98648649],0
p5,1,0.229766,1.442308,[ 5 45] ; [ 5 20],[ 6.66666667 43.33333333] ; [ 3.33333333 21.66666667],0
s8,1,0.245779,1.347141,[27 23] ; [17  8],[29.33333333 20.66666667] ; [14.66666667 10.33333333],0
p8,1,0.269259,1.220519,[26 23] ; [16  8],[28.19178082 20.80821918] ; [13.80821918 10.19178082],0
n4,1,0.275234,1.190476,[34 16] ; [20  5],[36. 14.] ; [18.  7.],0
d4,1,0.294755,1.097775,[39 11] ; [22  3],[40.66666667  9.33333333] ; [20.33333333  4.66666667],0
n5,1,0.329513,0.950811,[37 13] ; [21  4],[38.66666667 11.33333333] ; [19.33333333  5.66666667],0
d2,1,0.414175,0.666785,[23 27] ; [14 11],[24.66666667 25.33333333] ; [12.33333333 12.66666667],0
d5,1,0.450982,0.568182,[43  7] ; [23  2],[44.  6.] ; [22.  3.],0
a5,1,0.452689,0.56391,[36 14] ; [20  5],[37.33333333 12.66666667] ; [18.66666667  6.33333333],0
p7,1,0.469295,0.523636,[32 16] ; [18  6],[33.33333333 14.66666667] ; [16.66666667  7.33333333],0
n1,1,0.473812,0.513071,[5 6] ; [2 5],[4.27777778 6.72222222] ; [2.72222222 4.27777778],0
v4,1,0.49977,0.455425,[45  4] ; [24  1],[45.68918919  3.31081081] ; [23.31081081  1.68918919],0
b5,1,0.502442,0.449775,[32 18] ; [14 11],[30.66666667 19.33333333] ; [15.33333333  9.66666667],0
r4,1,0.512691,0.428571,[46  4] ; [24  1],[46.66666667  3.33333333] ; [23.33333333  1.66666667],0
a7,1,0.59951,0.275735,[35 15] ; [16  9],[34. 16.] ; [17.  8.],0
n2,1,0.605242,0.267161,[9 2] ; [5 2],[8.55555556 2.44444444] ; [5.44444444 1.55555556],0
n6,1,0.644373,0.213068,[42  8] ; [22  3],[42.66666667  7.33333333] ; [21.33333333  3.66666667],0
a2,1,0.690173,0.158898,[10 40] ; [ 6 19],[10.66666667 39.33333333] ; [ 5.33333333 19.66666667],0
d3,1,0.711923,0.136364,[36 14] ; [19  6],[36.66666667 13.33333333] ; [18.33333333  6.66666667],0
p4,1,0.731499,0.117739,[32 18] ; [17  8],[32.66666667 17.33333333] ; [16.33333333  8.66666667],0
a6,1,0.741272,0.109012,[28 22] ; [15 10],[28.66666667 21.33333333] ; [14.33333333 10.66666667],0
a8,1,0.742648,0.107812,[ 3 43] ; [ 2 21],[ 3.33333333 42.66666667] ; [ 1.66666667 21.33333333],0
b4,1,0.743421,0.107143,[26 24] ; [14 11],[26.66666667 23.33333333] ; [13.33333333 11.66666667],0
p1,1,0.778956,0.078782,[ 5 45] ; [ 2 23],[ 4.66666667 45.33333333] ; [ 2.33333333 22.66666667],0
n3,1,0.782935,0.075898,[7 4] ; [4 3],[6.72222222 4.27777778] ; [4.27777778 2.72222222],0
r1,1,0.84202,0.039725,[39 11] ; [20  5],[39.33333333 10.66666667] ; [19.66666667  5.33333333],0
s5,1,0.862372,0.030052,[27 19] ; [14  9],[27.33333333 18.66666667] ; [13.66666667  9.33333333],0
b1,1,0.868307,0.027493,[21 29] ; [10 15],[20.66666667 29.33333333] ; [10.33333333 14.66666667],0
a4,1,0.870271,0.026671,[25 25] ; [12 13],[24.66666667 25.33333333] ; [12.33333333 12.66666667],0
u2,1,0.891305,0.018674,[ 5 12] ; [1 2],[ 5.1 11.9] ; [0.9 2.1],0
p6,1,0.93987,0.00569,[22 27] ; [11 13],[22.15068493 26.84931507] ; [10.84931507 13.15068493],0
u3,1,0.94766,0.004309,[11  6] ; [2 1],[11.05  5.95] ; [1.95 1.05],0
p9,1,0.950833,0.003802,[42  6] ; [22  3],[42.08219178  5.91780822] ; [21.91780822  3.08219178],0
p10,1,0.950833,0.003802,[42  6] ; [22  3],[42.08219178  5.91780822] ; [21.91780822  3.08219178],0
r3,1,0.986564,0.000284,[47  2] ; [24  1],[47.01351351  1.98648649] ; [23.98648649  1.01351351],0
