Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.004221,8.186296,[34  6] ; [2 4],[31.30434783  8.69565217] ; [4.69565217 1.30434783],0
d5,1,0.023831,5.106908,[35  5] ; [3 3],[33.04347826  6.95652174] ; [4.95652174 1.04347826],0
d2,1,0.046908,3.948698,[24 16] ; [1 5],[21.73913043 18.26086957] ; [3.26086957 2.73913043],0
p3,1,0.138319,2.196561,[26 14] ; [2 4],[24.34782609 15.65217391] ; [3.65217391 2.34782609],0
s8,1,0.176041,1.830734,[25 15] ; [2 4],[23.47826087 16.52173913] ; [3.52173913 2.47826087],0
a5,1,0.204718,1.608392,[30 10] ; [3 3],[28.69565217 11.30434783] ; [4.30434783 1.69565217],0
p6,1,0.210133,1.570513,[17 22] ; [1 5],[15.6 23.4] ; [2.4 3.6],0
s7,1,0.237332,1.396369,[28 10] ; [3 3],[26.77272727 11.22727273] ; [4.22727273 1.77272727],0
n4,1,0.264022,1.247545,[29 11] ; [3 3],[27.82608696 12.17391304] ; [4.17391304 1.82608696],0
b5,1,0.267772,1.228127,[23 17] ; [2 4],[21.73913043 18.26086957] ; [3.26086957 2.73913043],0
a3,1,0.26924,1.220614,[34  6] ; [4 2],[33.04347826  6.95652174] ; [4.95652174 1.04347826],0
n5,1,0.401318,0.704375,[27 13] ; [3 3],[26.08695652 13.91304348] ; [3.91304348 2.08695652],0
v2,1,0.431872,0.617783,[27 13] ; [5 1],[27.82608696 12.17391304] ; [4.17391304 1.82608696],0
p12,1,0.457427,0.552183,[ 3 37] ; [1 5],[ 3.47826087 36.52173913] ; [0.52173913 5.47826087],0
a6,1,0.477812,0.503854,[26 14] ; [3 3],[25.2173913 14.7826087] ; [3.7826087 2.2173913],0
p11,1,0.498796,0.457498,[28 12] ; [5 1],[28.69565217 11.30434783] ; [4.30434783 1.69565217],0
s5,1,0.626005,0.237517,[23 15] ; [3 3],[22.45454545 15.54545455] ; [3.54545455 2.45454545],0
s2,1,0.641838,0.216346,[28 12] ; [4 1],[28.44444444 11.55555556] ; [3.55555556 1.44444444],0
p4,1,0.642718,0.215205,[24 16] ; [3 3],[23.47826087 16.52173913] ; [3.52173913 2.47826087],0
u3,1,0.67329,0.177778,[4 2] ; [1 1],[3.75 2.25] ; [1.25 0.75],0
u2,1,0.67329,0.177778,[4 2] ; [1 1],[3.75 2.25] ; [1.25 0.75],0
p7,1,0.691615,0.157343,[29 10] ; [4 2],[28.6 10.4] ; [4.4 1.6],0
b4,1,0.755028,0.097354,[24 16] ; [4 2],[24.34782609 15.65217391] ; [3.65217391 2.34782609],0
p8,1,0.768625,0.086538,[22 17] ; [3 3],[21.66666667 17.33333333] ; [3.33333333 2.66666667],0
p5,1,0.777486,0.079861,[ 5 35] ; [1 5],[ 5.2173913 34.7826087] ; [0.7826087 5.2173913],0
n6,1,0.777486,0.079861,[35  5] ; [5 1],[34.7826087  5.2173913] ; [5.2173913 0.7826087],0
s3,1,0.806243,0.06016,[30 10] ; [4 1],[30.22222222  9.77777778] ; [3.77777778 1.22222222],0
v1,1,0.818648,0.052571,[22 18] ; [3 3],[21.73913043 18.26086957] ; [3.26086957 2.73913043],0
p2,1,0.847798,0.036837,[32  8] ; [5 1],[32.17391304  7.82608696] ; [4.82608696 1.17391304],0
r1,1,0.847798,0.036837,[32  8] ; [5 1],[32.17391304  7.82608696] ; [4.82608696 1.17391304],0
p10,1,0.915593,0.011233,[34  6] ; [5 1],[33.91304348  6.08695652] ; [5.08695652 0.91304348],0
p9,1,0.935709,0.006507,[33  6] ; [5 1],[32.93333333  6.06666667] ; [5.06666667 0.93333333],0
a7,1,0.936293,0.006389,[26 14] ; [4 2],[26.08695652 13.91304348] ; [3.91304348 2.08695652],0
