Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3.4e-05,17.153263,[11  2] ; [ 3 19],[5.2 7.8] ; [ 8.8 13.2],1
s3,1,0.000862,11.10382,[10  3] ; [ 4 17],[5.35294118 7.64705882] ; [ 8.64705882 12.35294118],1
d2,1,0.008895,6.843706,[9 4] ; [ 6 18],[5.27027027 7.72972973] ; [ 9.72972973 14.27027027],0
s2,1,0.013286,6.130558,[8 5] ; [ 5 19],[4.56756757 8.43243243] ; [ 8.43243243 15.56756757],0
b1,1,0.028687,4.786312,[5 8] ; [18  6],[8.08108108 4.91891892] ; [14.91891892  9.08108108],0
u2,1,0.052958,3.745238,[4 1] ; [2 6],[2.30769231 2.69230769] ; [3.69230769 4.30769231],0
p7,1,0.059555,3.549746,[2 9] ; [12 11],[4.52941176 6.47058824] ; [ 9.47058824 13.52941176],0
s6,1,0.065254,3.398532,[9 4] ; [ 9 15],[6.32432432 6.67567568] ; [11.67567568 12.32432432],0
v1,1,0.065254,3.398532,[4 9] ; [15  9],[6.67567568 6.32432432] ; [12.32432432 11.67567568],0
n3,1,0.085804,2.951389,[3 6] ; [6 2],[4.76470588 4.23529412] ; [4.23529412 3.76470588],0
d4,1,0.103031,2.657991,[11  2] ; [14 10],[8.78378378 4.21621622] ; [16.21621622  7.78378378],0
a6,1,0.109281,2.56459,[9 4] ; [10 14],[6.67567568 6.32432432] ; [12.32432432 11.67567568],0
p10,1,0.129824,2.294609,[12  1] ; [17  7],[10.18918919  2.81081081] ; [18.81081081  5.18918919],0
n6,1,0.173023,1.856556,[10  3] ; [13 11],[8.08108108 4.91891892] ; [14.91891892  9.08108108],0
r4,1,0.189446,1.721923,[6 7] ; [ 6 18],[4.21621622 8.78378378] ; [ 7.78378378 16.21621622],0
a2,1,0.210447,1.568349,[ 3 10] ; [ 2 22],[ 1.75675676 11.24324324] ; [ 3.24324324 20.75675676],0
p2,1,0.211986,1.557808,[11  2] ; [15  8],[9.38888889 3.61111111] ; [16.61111111  6.38888889],0
d1,1,0.225038,1.47195,[7 6] ; [ 8 16],[5.27027027 7.72972973] ; [ 9.72972973 14.27027027],0
p12,1,0.232707,1.42424,[ 2 11] ; [ 1 23],[ 1.05405405 11.94594595] ; [ 1.94594595 22.05405405],0
