Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,23.410217,[ 8 25] ; [33  8],[18.28378378 14.71621622] ; [22.71621622 18.28378378],1
s2,1,5e-06,20.756936,[ 3 31] ; [25 17],[12.52631579 21.47368421] ; [15.47368421 26.52631579],1
s7,1,0.0002,13.835152,[ 7 26] ; [27 15],[14.96 18.04] ; [19.04 22.96],1
r1,1,0.004294,8.154921,[17 17] ; [34  8],[22.81578947 11.18421053] ; [28.18421053 13.81578947],0
s8,1,0.004555,8.048246,[ 7 27] ; [22 20],[12.97368421 21.02631579] ; [16.02631579 25.97368421],0
d5,1,0.004641,8.014364,[19 15] ; [35  6],[24.48  9.52] ; [29.52 11.48],0
s5,1,0.005128,7.833652,[ 2 29] ; [14 27],[ 6.88888889 24.11111111] ; [ 9.11111111 31.88888889],0
d4,1,0.01738,5.657614,[22 12] ; [36  5],[26.29333333  7.70666667] ; [31.70666667  9.29333333],0
u3,1,0.018678,5.531429,[1 8] ; [9 6],[3.75 5.25] ; [6.25 8.75],0
r2,1,0.019543,5.452295,[27  6] ; [41  1],[29.92  3.08] ; [38.08  3.92],0
n5,1,0.037226,4.340029,[16 18] ; [29 12],[20.4 13.6] ; [24.6 16.4],0
n4,1,0.040021,4.216996,[18 16] ; [31 10],[22.21333333 11.78666667] ; [26.78666667 14.21333333],0
p4,1,0.054992,3.682328,[10 23] ; [22 20],[14.08 18.92] ; [17.92 24.08],0
v1,1,0.05958,3.549028,[ 9 24] ; [20 21],[12.93243243 20.06756757] ; [16.06756757 24.93243243],0
d1,1,0.064953,3.406162,[13 21] ; [25 17],[17. 17.] ; [21. 21.],0
r3,1,0.068766,3.312243,[28  6] ; [40  2],[30.42105263  3.57894737] ; [37.57894737  4.42105263],0
v4,1,0.068766,3.312243,[28  6] ; [40  2],[30.42105263  3.57894737] ; [37.57894737  4.42105263],0
u1,1,0.091369,2.850081,[ 2 32] ; [ 8 34],[ 4.47368421 29.52631579] ; [ 5.52631579 36.47368421],0
n1,1,0.095882,2.772736,[4 8] ; [11  6],[6.20689655 5.79310345] ; [8.79310345 8.20689655],0
r4,1,0.107775,2.586555,[24 10] ; [36  6],[26.84210526  7.15789474] ; [33.15789474  8.84210526],0
v2,1,0.137828,2.202048,[12 21] ; [22 19],[15.16216216 17.83783784] ; [18.83783784 22.16216216],0
a5,1,0.150656,2.065595,[18 16] ; [29 13],[21.02631579 12.97368421] ; [25.97368421 16.02631579],0
d3,1,0.182293,1.778829,[19 15] ; [29 12],[21.76 12.24] ; [26.24 14.76],0
p8,1,0.233004,1.42243,[ 9 24] ; [17 25],[11.44 21.56] ; [14.56 27.44],0
u4,1,0.249753,1.324685,[ 1 33] ; [ 4 38],[ 2.23684211 31.76315789] ; [ 2.76315789 39.23684211],0
