Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000689,11.517901,[20 16] ; [17 57],[12.10909091 23.89090909] ; [24.89090909 49.10909091],1
v3,1,0.001232,10.442028,[16 22] ; [11 64],[ 9.07964602 28.92035398] ; [17.92035398 57.07964602],0
r3,1,0.00142,10.180049,[28 10] ; [31 43],[20.01785714 17.98214286] ; [38.98214286 35.01785714],0
d1,1,0.001671,9.879815,[21 17] ; [19 56],[13.45132743 24.54867257] ; [26.54867257 48.45132743],0
d5,1,0.002468,9.164016,[30  8] ; [37 38],[22.53097345 15.46902655] ; [44.46902655 30.53097345],0
p11,1,0.004307,8.149683,[26 12] ; [30 45],[18.83185841 19.16814159] ; [37.16814159 37.83185841],0
s6,1,0.009741,6.681613,[17 21] ; [16 59],[11.09734513 26.90265487] ; [21.90265487 53.09734513],0
v4,1,0.016225,5.778278,[28  9] ; [39 36],[22.13392857 14.86607143] ; [44.86607143 30.13392857],0
p6,1,0.045551,3.998132,[10 26] ; [ 9 64],[ 6.27522936 29.72477064] ; [12.72477064 60.27522936],0
n2,1,0.048045,3.908411,[14  5] ; [17 20],[10.51785714  8.48214286] ; [20.48214286 16.51785714],0
n3,1,0.048045,3.908411,[14  5] ; [17 20],[10.51785714  8.48214286] ; [20.48214286 16.51785714],0
d2,1,0.065105,3.402308,[18 20] ; [22 52],[13.57142857 24.42857143] ; [26.42857143 47.57142857],0
a2,1,0.082808,3.00891,[ 8 30] ; [ 7 68],[ 5.04424779 32.95575221] ; [ 9.95575221 65.04424779],0
d4,1,0.116749,2.460395,[28 10] ; [44 31],[24.21238938 13.78761062] ; [47.78761062 27.21238938],0
d3,1,0.141772,2.158616,[22 16] ; [32 42],[18.32142857 19.67857143] ; [35.67857143 38.32142857],0
a3,1,0.143387,2.141232,[26 12] ; [40 34],[22.39285714 15.60714286] ; [43.60714286 30.39285714],0
n1,1,0.144746,2.12676,[ 4 15] ; [15 22],[ 6.44642857 12.55357143] ; [12.55357143 24.44642857],0
u1,1,0.17394,1.848654,[ 4 34] ; [ 3 72],[ 2.3539823 35.6460177] ; [ 4.6460177 70.3539823],0
