Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.021282,5.303571,[17  5] ; [4 7],[14.  8.] ; [7. 4.],0
b1,1,0.026091,4.95,[ 9 13] ; [9 2],[12. 10.] ; [6. 5.],0
n4,1,0.032135,4.591304,[18  4] ; [5 6],[15.33333333  6.66666667] ; [7.66666667 3.33333333],0
p7,1,0.077831,3.109615,[11 11] ; [9 2],[13.33333333  8.66666667] ; [6.66666667 4.33333333],0
p4,1,0.12471,2.357143,[16  6] ; [5 6],[14.  8.] ; [7. 4.],0
p8,1,0.138011,2.2,[ 8 14] ; [7 4],[10. 12.] ; [5. 6.],0
b4,1,0.138011,2.2,[14  8] ; [4 7],[12. 10.] ; [6. 5.],0
v4,1,0.191695,1.704545,[13  9] ; [9 2],[14.66666667  7.33333333] ; [7.33333333 3.66666667],0
n2,1,0.196706,1.666667,[2 4] ; [3 1],[3. 3.] ; [2. 2.],0
s4,1,0.250592,1.32,[ 4 18] ; [4 7],[ 5.33333333 16.66666667] ; [2.66666667 8.33333333],0
n1,1,0.259796,1.269841,[1 5] ; [2 2],[1.8 4.2] ; [1.2 2.8],0
p9,1,0.29627,1.090909,[16  6] ; [6 5],[14.66666667  7.33333333] ; [7.33333333 3.66666667],0
s2,1,0.324534,0.970588,[12 10] ; [4 7],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
a3,1,0.324534,0.970588,[12 10] ; [4 7],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
p2,1,0.407016,0.6875,[15  7] ; [9 2],[16.  6.] ; [8. 3.],0
p6,1,0.407016,0.6875,[ 5 17] ; [4 7],[ 6. 16.] ; [3. 8.],0
p3,1,0.442695,0.589286,[ 9 13] ; [3 8],[ 8. 14.] ; [4. 7.],0
d5,1,0.442695,0.589286,[15  7] ; [6 5],[14.  8.] ; [7. 4.],0
b5,1,0.442695,0.589286,[15  7] ; [6 5],[14.  8.] ; [7. 4.],0
d3,1,0.442695,0.589286,[13  9] ; [8 3],[14.  8.] ; [7. 4.],0
a5,1,0.458318,0.55,[13  9] ; [5 6],[12. 10.] ; [6. 5.],0
r3,1,0.547045,0.362637,[18  4] ; [8 3],[17.33333333  4.66666667] ; [8.66666667 2.33333333],0
p10,1,0.592177,0.286957,[16  6] ; [7 4],[15.33333333  6.66666667] ; [7.66666667 3.33333333],0
d1,1,0.601508,0.272727,[ 8 14] ; [3 8],[ 7.33333333 14.66666667] ; [3.66666667 7.33333333],0
s1,1,0.60594,0.266129,[ 1 21] ; [ 1 10],[ 1.33333333 20.66666667] ; [ 0.66666667 10.33333333],0
v1,1,0.61438,0.253846,[ 8 14] ; [5 6],[ 8.66666667 13.33333333] ; [4.33333333 6.66666667],0
a6,1,0.618402,0.24812,[12 10] ; [7 4],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
p12,1,0.706063,0.142241,[ 3 19] ; [ 1 10],[ 2.66666667 19.33333333] ; [1.33333333 9.66666667],0
d4,1,0.773938,0.0825,[17  5] ; [8 3],[16.66666667  5.33333333] ; [8.33333333 2.66666667],0
s5,1,0.788821,0.071739,[ 7 15] ; [3 8],[ 6.66666667 15.33333333] ; [3.33333333 7.66666667],0
r4,1,0.801106,0.063462,[ 9 13] ; [4 7],[ 8.66666667 13.33333333] ; [4.33333333 6.66666667],0
s8,1,0.803316,0.06203,[ 9 13] ; [5 6],[ 9.33333333 12.66666667] ; [4.66666667 6.33333333],0
v2,1,0.805453,0.060662,[11 11] ; [5 6],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
a7,1,0.805453,0.060662,[11 11] ; [6 5],[11.33333333 10.66666667] ; [5.66666667 5.33333333],0
a8,1,0.817734,0.053112,[ 3 17] ; [2 9],[ 3.22580645 16.77419355] ; [1.77419355 9.22580645],0
u3,1,0.906224,0.013878,[6 4] ; [4 3],[5.88235294 4.11764706] ; [4.11764706 2.88235294],0
s7,1,0.918931,0.010359,[ 8 13] ; [4 6],[ 8.12903226 12.87096774] ; [3.87096774 6.12903226],0
r1,1,1.0,0.0,[ 8 14] ; [4 7],[ 8. 14.] ; [4. 7.],0
d2,1,1.0,0.0,[ 8 14] ; [4 7],[ 8. 14.] ; [4. 7.],0
v3,1,1.0,0.0,[ 8 14] ; [4 7],[ 8. 14.] ; [4. 7.],0
s3,1,1.0,0.0,[10 12] ; [5 6],[10. 12.] ; [5. 6.],0
a4,1,1.0,0.0,[ 4 18] ; [2 9],[ 4. 18.] ; [2. 9.],0
a1,1,1.0,0.0,[ 2 20] ; [ 1 10],[ 2. 20.] ; [ 1. 10.],0
p11,1,1.0,0.0,[18  4] ; [9 2],[18.  4.] ; [9. 2.],0
n3,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
