Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.6e-05,18.613636,[15 63] ; [10  3],[21.42857143 56.57142857] ; [3.57142857 9.42857143],1
s7,1,0.000783,11.281737,[ 7 65] ; [6 7],[11.01176471 60.98823529] ; [ 1.98823529 11.01176471],1
s8,1,0.024066,5.089847,[ 7 72] ; [4 9],[ 9.44565217 69.55434783] ; [ 1.55434783 11.44565217],0
p7,1,0.082285,3.01919,[37 40] ; [9 3],[39.79775281 37.20224719] ; [6.20224719 5.79775281],0
a4,1,0.103114,2.6567,[23 56] ; [ 1 12],[20.60869565 58.39130435] ; [3.39130435 9.60869565],0
u1,1,0.140922,2.167868,[ 1 78] ; [ 1 12],[ 1.7173913 77.2826087] ; [ 0.2826087 12.7173913],0
s5,1,0.162517,1.95065,[ 4 75] ; [ 2 11],[ 5.15217391 73.84782609] ; [ 0.84782609 12.15217391],0
n4,1,0.18452,1.760836,[51 27] ; [6 7],[48.85714286 29.14285714] ; [8.14285714 4.85714286],0
p2,1,0.197338,1.661965,[51 28] ; [10  2],[52.95604396 26.04395604] ; [8.04395604 3.95604396],0
u2,1,0.220483,1.501225,[16 26] ; [1 6],[14.57142857 27.42857143] ; [2.42857143 4.57142857],0
r4,1,0.230344,1.438734,[47 32] ; [10  3],[48.94565217 30.05434783] ; [8.05434783 4.94565217],0
n5,1,0.23249,1.425565,[55 23] ; [7 6],[53.14285714 24.85714286] ; [8.85714286 4.14285714],0
r2,1,0.237289,1.396626,[61 17] ; [12  1],[62.57142857 15.42857143] ; [10.42857143  2.57142857],0
v1,1,0.263214,1.251776,[31 48] ; [ 3 10],[29.19565217 49.80434783] ; [4.80434783 8.19565217],0
b2,1,0.334875,0.929952,[18 28] ; [2 7],[16.72727273 29.27272727] ; [3.27272727 5.72727273],0
b3,1,0.334875,0.929952,[18 28] ; [2 7],[16.72727273 29.27272727] ; [3.27272727 5.72727273],0
s4,1,0.355661,0.853155,[ 6 73] ; [ 2 11],[ 6.86956522 72.13043478] ; [ 1.13043478 11.86956522],0
n6,1,0.366525,0.815412,[50 28] ; [10  3],[51.42857143 26.57142857] ; [8.57142857 4.42857143],0
a6,1,0.369237,0.806232,[38 41] ; [8 5],[39.5 39.5] ; [6.5 6.5],0
d2,1,0.387583,0.746511,[21 58] ; [ 2 11],[19.75 59.25] ; [3.25 9.75],0
n1,1,0.410073,0.678589,[13 18] ; [2 1],[13.67647059 17.32352941] ; [1.32352941 1.67647059],0
b5,1,0.467513,0.527849,[45 34] ; [6 7],[43.79347826 35.20652174] ; [7.20652174 5.79347826],0
b4,1,0.467513,0.527849,[34 45] ; [7 6],[35.20652174 43.79347826] ; [5.79347826 7.20652174],0
v3,1,0.486931,0.483301,[20 57] ; [ 2 10],[19.03370787 57.96629213] ; [2.96629213 9.03370787],0
p11,1,0.50503,0.444352,[47 32] ; [9 4],[48.08695652 30.91304348] ; [7.91304348 5.08695652],0
b1,1,0.522129,0.409685,[35 44] ; [7 6],[36.06521739 42.93478261] ; [5.93478261 7.06521739],0
d1,1,0.5234,0.407188,[ 3 76] ; [ 1 12],[ 3.43478261 75.56521739] ; [ 0.56521739 12.43478261],0
p1,1,0.527107,0.399965,[12 67] ; [ 1 11],[11.28571429 67.71428571] ; [ 1.71428571 10.28571429],0
d5,1,0.676073,0.17458,[28 51] ; [5 7],[28.64835165 50.35164835] ; [4.35164835 7.64835165],0
p10,1,0.680242,0.169854,[40 37] ; [7 5],[40.66292135 36.33707865] ; [6.33707865 5.66292135],0
v2,1,0.694745,0.153997,[24 49] ; [5 8],[24.61627907 48.38372093] ; [4.38372093 8.61627907],0
p6,1,0.717626,0.130778,[20 57] ; [4 9],[20.53333333 56.46666667] ; [3.46666667 9.53333333],0
r3,1,0.751677,0.100127,[56 21] ; [10  3],[56.46666667 20.53333333] ; [9.53333333 3.46666667],0
p9,1,0.785077,0.07437,[44 32] ; [7 6],[43.5505618 32.4494382] ; [7.4494382 5.5505618],0
a8,1,0.787844,0.072421,[ 5 68] ; [ 1 10],[ 5.21428571 67.78571429] ; [ 0.78571429 10.21428571],0
u3,1,0.803566,0.061869,[14 28] ; [2 5],[13.71428571 28.28571429] ; [2.28571429 4.71428571],0
a7,1,0.803653,0.061813,[42 36] ; [6 6],[41.6 36.4] ; [6.4 5.6],0
v4,1,0.817592,0.053197,[62 15] ; [10  2],[62.29213483 14.70786517] ; [9.70786517 2.29213483],0
r1,1,0.931455,0.007398,[35 43] ; [6 7],[35.14285714 42.85714286] ; [5.85714286 7.14285714],0
a3,1,0.931688,0.007348,[37 41] ; [6 7],[36.85714286 41.14285714] ; [6.14285714 6.85714286],0
p8,1,0.94496,0.004766,[30 46] ; [5 8],[29.88764045 46.11235955] ; [5.11235955 7.88764045],0
p4,1,0.957471,0.002844,[31 48] ; [5 8],[30.91304348 48.08695652] ; [5.08695652 7.91304348],0
d3,1,0.961634,0.002314,[19 59] ; [3 9],[19.06666667 58.93333333] ; [2.93333333 9.06666667],0
a5,1,0.968741,0.001536,[36 43] ; [6 7],[36.06521739 42.93478261] ; [5.93478261 7.06521739],0
p3,1,0.976888,0.000839,[26 53] ; [4 8],[26.04395604 52.95604396] ; [3.95604396 8.04395604],0
