Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.025483,4.990741,[3 3] ; [ 3 24],[1.09090909 4.90909091] ; [ 4.90909091 22.09090909],0
b5,1,0.039393,4.243827,[1 5] ; [17 10],[3.27272727 2.72727273] ; [14.72727273 12.27272727],0
v4,1,0.05899,3.565564,[5 1] ; [11 16],[2.90909091 3.09090909] ; [13.09090909 13.90909091],0
p10,1,0.158147,1.991855,[5 1] ; [14 13],[3.45454545 2.54545455] ; [15.54545455 11.45454545],0
v1,1,0.166994,1.909722,[3 3] ; [ 6 21],[1.63636364 4.36363636] ; [ 7.36363636 19.63636364],0
n3,1,0.196667,1.666955,[4 1] ; [5 6],[2.8125 2.1875] ; [6.1875 4.8125],0
n2,1,0.196667,1.666955,[4 1] ; [5 6],[2.8125 2.1875] ; [6.1875 4.8125],0
u3,1,0.201352,1.63254,[1 1] ; [ 2 13],[0.35294118 1.64705882] ; [ 2.64705882 12.35294118],0
n5,1,0.207821,1.586538,[5 1] ; [15 12],[3.63636364 2.36363636] ; [16.36363636 10.63636364],0
a5,1,0.207821,1.586538,[1 5] ; [12 15],[2.36363636 3.63636364] ; [10.63636364 16.36363636],0
n4,1,0.248652,1.330864,[4 2] ; [11 16],[2.72727273 3.27272727] ; [12.27272727 14.72727273],0
b4,1,0.248652,1.330864,[2 4] ; [16 11],[3.27272727 2.72727273] ; [14.72727273 12.27272727],0
b1,1,0.267505,1.229497,[5 1] ; [16 11],[3.81818182 2.18181818] ; [17.18181818  9.81818182],0
s4,1,0.287416,1.131687,[2 4] ; [ 4 23],[1.09090909 4.90909091] ; [ 4.90909091 22.09090909],0
r4,1,0.287416,1.131687,[2 4] ; [ 4 23],[1.09090909 4.90909091] ; [ 4.90909091 22.09090909],0
p7,1,0.324534,0.970588,[4 2] ; [12 15],[2.90909091 3.09090909] ; [13.09090909 13.90909091],0
d3,1,0.338352,0.916667,[3 3] ; [ 8 19],[2. 4.] ; [ 9. 18.],0
a3,1,0.36503,0.820513,[4 2] ; [12 14],[3. 3.] ; [13. 13.],0
a6,1,0.442695,0.589286,[3 3] ; [ 9 18],[2.18181818 3.81818182] ; [ 9.81818182 17.18181818],0
s6,1,0.442695,0.589286,[3 3] ; [ 9 18],[2.18181818 3.81818182] ; [ 9.81818182 17.18181818],0
v3,1,0.47546,0.509259,[1 5] ; [ 2 25],[0.54545455 5.45454545] ; [ 2.45454545 24.54545455],0
p8,1,0.4829,0.492308,[3 3] ; [ 9 17],[2.25 3.75] ; [ 9.75 16.25],0
p5,1,0.496631,0.462128,[1 5] ; [ 2 24],[0.5625 5.4375] ; [ 2.4375 23.5625],0
n1,1,0.51276,0.42843,[1 4] ; [4 7],[1.5625 3.4375] ; [3.4375 7.5625],0
r1,1,0.518992,0.415895,[1 5] ; [ 8 19],[1.63636364 4.36363636] ; [ 7.36363636 19.63636364],0
s3,1,0.518992,0.415895,[1 5] ; [ 8 19],[1.63636364 4.36363636] ; [ 7.36363636 19.63636364],0
p9,1,0.618402,0.24812,[4 2] ; [15 12],[3.45454545 2.54545455] ; [15.54545455 11.45454545],0
a8,1,0.630954,0.230769,[1 4] ; [ 3 22],[0.66666667 4.33333333] ; [ 3.33333333 21.66666667],0
s8,1,0.632142,0.229167,[1 5] ; [ 7 20],[1.45454545 4.54545455] ; [ 6.54545455 20.45454545],0
p2,1,0.678071,0.172306,[3 3] ; [16 11],[3.45454545 2.54545455] ; [15.54545455 11.45454545],0
s1,1,0.706063,0.142241,[1 5] ; [ 3 24],[0.72727273 5.27272727] ; [ 3.27272727 23.72727273],0
n6,1,0.732074,0.117216,[3 3] ; [15 11],[3.375 2.625] ; [14.625 11.375],0
p6,1,0.732074,0.117216,[1 5] ; [ 3 23],[0.75 5.25] ; [ 3.25 22.75],0
u2,1,0.787221,0.072857,[1 1] ; [6 9],[0.82352941 1.17647059] ; [6.17647059 8.82352941],0
d4,1,0.804748,0.061111,[3 3] ; [12 15],[2.72727273 3.27272727] ; [12.27272727 14.72727273],0
p4,1,0.864547,0.029101,[2 4] ; [10 17],[2.18181818 3.81818182] ; [ 9.81818182 17.18181818],0
p3,1,0.91528,0.011317,[1 5] ; [ 5 22],[1.09090909 4.90909091] ; [ 4.90909091 22.09090909],0
a4,1,0.91528,0.011317,[1 5] ; [ 5 22],[1.09090909 4.90909091] ; [ 4.90909091 22.09090909],0
s2,1,1.0,0.0,[2 4] ; [ 9 18],[2. 4.] ; [ 9. 18.],0
a7,1,1.0,0.0,[2 4] ; [ 9 18],[2. 4.] ; [ 9. 18.],0
