Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000831,11.171005,[ 5 62] ; [6 9],[ 8.98780488 58.01219512] ; [ 2.01219512 12.98780488],1
s7,1,0.001284,10.366079,[10 51] ; [8 6],[14.64 46.36] ; [ 3.36 10.64],0
s4,1,0.059904,3.540043,[ 9 59] ; [ 5 10],[11.46987952 56.53012048] ; [ 2.53012048 12.46987952],0
s5,1,0.06409,3.428237,[ 9 58] ; [ 5 10],[11.43902439 55.56097561] ; [ 2.56097561 12.43902439],0
p2,1,0.123091,2.377541,[35 33] ; [11  4],[37.68674699 30.31325301] ; [8.31325301 6.68674699],0
a3,1,0.123091,2.377541,[35 33] ; [11  4],[37.68674699 30.31325301] ; [8.31325301 6.68674699],0
d5,1,0.141386,2.162809,[46 22] ; [13  2],[48.3373494 19.6626506] ; [10.6626506  4.3373494],0
p7,1,0.151139,2.060717,[27 41] ; [9 6],[29.4939759 38.5060241] ; [6.5060241 8.4939759],0
s3,1,0.170027,1.882707,[23 44] ; [8 7],[25.32926829 41.67073171] ; [5.67073171 9.32926829],0
p11,1,0.184317,1.762466,[28 40] ; [9 6],[30.31325301 37.68674699] ; [6.68674699 8.31325301],0
r4,1,0.196653,1.667061,[48 20] ; [8 7],[45.87951807 22.12048193] ; [10.12048193  4.87951807],0
n1,1,0.222605,1.4875,[ 7 21] ; [3 3],[ 8.23529412 19.76470588] ; [1.76470588 4.23529412],0
a1,1,0.234897,1.41096,[ 1 67] ; [ 1 14],[ 1.63855422 66.36144578] ; [ 0.36144578 14.63855422],0
a8,1,0.251505,1.314924,[ 1 64] ; [ 1 14],[ 1.625 63.375] ; [ 0.375 14.625],0
v1,1,0.252447,1.309711,[24 44] ; [ 3 12],[22.12048193 45.87951807] ; [ 4.87951807 10.12048193],0
r3,1,0.394523,0.724955,[60  8] ; [12  3],[58.98795181  9.01204819] ; [13.01204819  1.98795181],0
b5,1,0.516701,0.420472,[38 30] ; [7 8],[36.86746988 31.13253012] ; [8.13253012 6.86746988],0
a5,1,0.516701,0.420472,[38 30] ; [7 8],[36.86746988 31.13253012] ; [8.13253012 6.86746988],0
b2,1,0.549188,0.358774,[ 8 30] ; [3 7],[ 8.70833333 29.29166667] ; [2.29166667 7.70833333],0
b3,1,0.549188,0.358774,[ 8 30] ; [3 7],[ 8.70833333 29.29166667] ; [2.29166667 7.70833333],0
p6,1,0.549603,0.35803,[13 53] ; [ 4 11],[13.85185185 52.14814815] ; [ 3.14814815 11.85185185],0
n2,1,0.556664,0.345513,[17 10] ; [3 3],[16.36363636 10.63636364] ; [3.63636364 2.36363636],0
p3,1,0.568164,0.325764,[23 44] ; [ 4 11],[22.06097561 44.93902439] ; [ 4.93902439 10.06097561],0
n4,1,0.574248,0.315627,[28 40] ; [ 5 10],[27.03614458 40.96385542] ; [5.96385542 9.03614458],0
n6,1,0.586434,0.295948,[31 37] ; [8 7],[31.95180723 36.04819277] ; [7.04819277 7.95180723],0
a6,1,0.586434,0.295948,[37 31] ; [7 8],[36.04819277 31.95180723] ; [7.95180723 7.04819277],0
v4,1,0.587897,0.29364,[54 14] ; [12  2],[54.73170732 13.26829268] ; [11.26829268  2.73170732],0
b4,1,0.64625,0.210661,[41 27] ; [10  5],[41.78313253 26.21686747] ; [9.21686747 5.78313253],0
a4,1,0.649733,0.206237,[23 45] ; [6 9],[23.75903614 44.24096386] ; [5.24096386 9.75903614],0
s2,1,0.676725,0.173836,[19 49] ; [ 5 10],[19.6626506 48.3373494] ; [ 4.3373494 10.6626506],0
d2,1,0.696731,0.151895,[28 40] ; [7 8],[28.6746988 39.3253012] ; [6.3253012 8.6746988],0
b1,1,0.770849,0.084835,[38 30] ; [9 6],[38.5060241 29.4939759] ; [8.4939759 6.5060241],0
n3,1,0.773117,0.083117,[18  9] ; [3 2],[17.71875  9.28125] ; [3.28125 1.71875],0
d3,1,0.776158,0.080844,[39 29] ; [8 7],[38.5060241 29.4939759] ; [8.4939759 6.5060241],0
s1,1,0.785556,0.074031,[ 6 62] ; [ 1 14],[ 5.73493976 62.26506024] ; [ 1.26506024 13.73493976],0
u1,1,0.785556,0.074031,[ 6 62] ; [ 1 14],[ 5.73493976 62.26506024] ; [ 1.26506024 13.73493976],0
d4,1,0.797055,0.066131,[52 16] ; [11  4],[51.61445783 16.38554217] ; [11.38554217  3.61445783],0
v2,1,0.811372,0.056957,[29 38] ; [7 8],[29.41463415 37.58536585] ; [6.58536585 8.41463415],0
d1,1,0.850948,0.03531,[29 39] ; [6 9],[28.6746988 39.3253012] ; [6.3253012 8.6746988],0
a7,1,0.850948,0.03531,[39 29] ; [9 6],[39.3253012 28.6746988] ; [8.6746988 6.3253012],0
p8,1,0.853034,0.034317,[21 47] ; [ 5 10],[21.30120482 46.69879518] ; [ 4.69879518 10.30120482],0
s6,1,0.855466,0.033178,[24 43] ; [ 5 10],[23.69512195 43.30487805] ; [5.30487805 9.69512195],0
a2,1,0.891174,0.01872,[10 58] ; [ 2 13],[ 9.8313253 58.1686747] ; [ 2.1686747 12.8313253],0
r2,1,0.938356,0.005981,[53 14] ; [12  3],[53.1097561 13.8902439] ; [11.8902439  3.1097561],0
r1,1,0.941519,0.005382,[46 22] ; [10  5],[45.87951807 22.12048193] ; [10.12048193  4.87951807],0
p4,1,0.983192,0.000444,[27 41] ; [6 9],[27.03614458 40.96385542] ; [5.96385542 9.03614458],0
v3,1,0.993442,6.8e-05,[17 47] ; [ 4 11],[17.01265823 46.98734177] ; [ 3.98734177 11.01265823],0
