Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,36.049655,[80 36] ; [28 72],[58. 58.] ; [50. 50.],1
p8,1,0.0,27.739615,[74 41] ; [28 71],[54.81308411 60.18691589] ; [47.18691589 51.81308411],1
p7,1,7e-06,20.14023,[84 30] ; [43 56],[67.97183099 46.02816901] ; [59.02816901 39.97183099],1
p5,1,1.5e-05,18.682262,[27 88] ; [ 3 97],[16.04651163 98.95348837] ; [13.95348837 86.04651163],1
p9,1,2.5e-05,17.762197,[105  11] ; [66 32],[92.69158879 23.30841121] ; [78.30841121 19.69158879],1
p6,1,3.2e-05,17.302631,[55 58] ; [21 78],[40.50943396 72.49056604] ; [35.49056604 63.50943396],1
s6,1,0.000223,13.630794,[85 27] ; [51 48],[72.18957346 39.81042654] ; [63.81042654 35.18957346],1
p2,1,0.000259,13.343027,[100  14] ; [67 33],[88.96261682 25.03738318] ; [78.03738318 21.96261682],1
p10,1,0.000812,11.214073,[98 17] ; [65 34],[87.59345794 27.40654206] ; [75.40654206 23.59345794],1
s8,1,0.002026,9.526245,[68 48] ; [38 63],[56.66359447 59.33640553] ; [49.33640553 51.66359447],0
r3,1,0.002177,9.393593,[109   7] ; [81 20],[101.56682028  14.43317972] ; [88.43317972 12.56682028],0
s5,1,0.002788,8.941463,[50 60] ; [25 73],[39.66346154 70.33653846] ; [35.33653846 62.66346154],0
n5,1,0.003233,8.671233,[107   9] ; [79 22],[99.42857143 16.57142857] ; [86.57142857 14.42857143],0
d3,1,0.007402,7.172635,[60 56] ; [34 67],[50.24884793 65.75115207] ; [43.75115207 57.24884793],0
v4,1,0.00786,7.065104,[107   8] ; [81 19],[100.55813953  14.44186047] ; [87.44186047 12.55813953],0
s7,1,0.011624,6.367347,[72 40] ; [45 51],[63. 49.] ; [54. 42.],0
d5,1,0.015327,5.878528,[92 23] ; [66 35],[84.12037037 30.87962963] ; [73.87962963 27.12037037],0
s2,1,0.017651,5.630484,[64 52] ; [39 61],[55.31481481 60.68518519] ; [47.68518519 52.31481481],0
n6,1,0.020396,5.377655,[103  13] ; [77 23],[96.66666667 19.33333333] ; [83.33333333 16.66666667],0
d1,1,0.023227,5.15144,[65 51] ; [41 60],[56.66359447 59.33640553] ; [49.33640553 51.66359447],0
r4,1,0.028213,4.815025,[98 18] ; [73 28],[91.41013825 24.58986175] ; [79.58986175 21.41013825],0
p11,1,0.029671,4.728241,[96 20] ; [71 30],[89.2718894 26.7281106] ; [77.7281106 23.2718894],0
v3,1,0.042415,4.118549,[55 59] ; [33 63],[47.77142857 66.22857143] ; [40.22857143 55.77142857],0
d4,1,0.049714,3.851079,[90 25] ; [67 34],[83.58796296 31.41203704] ; [73.41203704 27.58796296],0
v2,1,0.064942,3.406458,[60 51] ; [40 57],[53.36538462 57.63461538] ; [46.63461538 50.36538462],0
v1,1,0.077413,3.118401,[64 48] ; [45 55],[57.58490566 54.41509434] ; [51.41509434 48.58490566],0
a6,1,0.094016,2.804228,[41 75] ; [47 54],[47.04147465 68.95852535] ; [40.95852535 60.04147465],0
b5,1,0.109152,2.566462,[46 70] ; [51 50],[51.85253456 64.14746544] ; [45.14746544 55.85253456],0
a8,1,0.109444,2.562237,[16 95] ; [ 7 88],[12.39320388 98.60679612] ; [10.60679612 84.39320388],0
s1,1,0.130873,2.282115,[  3 111] ; [ 7 93],[  5.3271028 108.6728972] ; [ 4.6728972 95.3271028],0
s3,1,0.131983,2.269024,[71 44] ; [51 48],[65.56074766 49.43925234] ; [56.43925234 42.56074766],0
u4,1,0.136778,2.213838,[  5 111] ; [  1 100],[  3.20737327 112.79262673] ; [ 2.79262673 98.20737327],0
u3,1,0.137752,2.202896,[14 19] ; [ 8 24],[11.16923077 21.83076923] ; [10.83076923 21.16923077],0
d2,1,0.195505,1.675636,[63 53] ; [45 54],[58.26976744 57.73023256] ; [49.73023256 49.26976744],0
a4,1,0.200803,1.636524,[56 59] ; [40 60],[51.34883721 63.65116279] ; [44.65116279 55.34883721],0
a1,1,0.399572,0.709614,[  5 111] ; [ 7 94],[  6.41474654 109.58525346] ; [ 5.58525346 95.41474654],0
u1,1,0.411064,0.675722,[  6 110] ; [ 8 93],[  7.48387097 108.51612903] ; [ 6.51612903 94.48387097],0
r1,1,0.429738,0.623532,[86 30] ; [70 31],[83.39170507 32.60829493] ; [72.60829493 28.39170507],0
b1,1,0.537146,0.380856,[60 56] ; [48 53],[57.73271889 58.26728111] ; [50.26728111 50.73271889],0
n1,1,0.549077,0.358974,[13 12] ; [15 19],[11.86440678 13.13559322] ; [16.13559322 17.86440678],0
a3,1,0.603816,0.269279,[83 33] ; [69 32],[81.25345622 34.74654378] ; [70.74654378 30.25345622],0
s4,1,0.613985,0.254413,[19 97] ; [19 81],[20.40740741 95.59259259] ; [17.59259259 82.40740741],0
a5,1,0.744491,0.106219,[78 38] ; [70 31],[79.11520737 36.88479263] ; [68.88479263 32.11520737],0
u2,1,0.801732,0.063054,[15 17] ; [14 18],[14.5 17.5] ; [14.5 17.5],0
n3,1,0.812901,0.05602,[16  8] ; [21 12],[15.57894737  8.42105263] ; [21.42105263 11.57894737],0
p12,1,0.834072,0.043883,[  9 106] ; [ 7 92],[  8.59813084 106.40186916] ; [ 7.40186916 91.59813084],0
p1,1,0.837115,0.042265,[ 10 105] ; [ 8 93],[  9.58333333 105.41666667] ; [ 8.41666667 92.58333333],0
a2,1,0.852082,0.034768,[ 10 106] ; [ 8 93],[  9.62211982 106.37788018] ; [ 8.37788018 92.62211982],0
b2,1,0.85552,0.033153,[36 44] ; [33 38],[36.55629139 43.44370861] ; [32.44370861 38.55629139],0
b3,1,0.85552,0.033153,[36 44] ; [33 38],[36.55629139 43.44370861] ; [32.44370861 38.55629139],0
b4,1,0.900871,0.015515,[63 53] ; [54 47],[62.5437788 53.4562212] ; [54.4562212 46.5437788],0
r2,1,0.910706,0.012577,[100  13] ; [88 12],[99.7370892 13.2629108] ; [88.2629108 11.7370892],0
n2,1,0.955375,0.003131,[16  9] ; [22 12],[16.10169492  8.89830508] ; [21.89830508 12.10169492],0
