Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,7.7e-05,15.618382,[ 8 66] ; [10 10],[14.17021277 59.82978723] ; [ 3.82978723 16.17021277],1
s6,1,0.000126,14.701997,[26 48] ; [16  3],[33.41935484 40.58064516] ; [ 8.58064516 10.41935484],1
s2,1,0.000635,11.670985,[21 53] ; [14  6],[27.55319149 46.44680851] ; [ 7.44680851 12.55319149],1
b4,1,0.000911,11.001059,[32 42] ; [17  3],[38.57446809 35.42553191] ; [10.42553191  9.57446809],1
p1,1,0.004116,8.23213,[ 5 69] ; [ 6 14],[ 8.65957447 65.34042553] ; [ 2.34042553 17.65957447],0
r4,1,0.005141,7.829099,[26 48] ; [14  6],[31.4893617 42.5106383] ; [ 8.5106383 11.4893617],0
d4,1,0.012342,6.261083,[36 38] ; [16  4],[40.93617021 33.06382979] ; [11.06382979  8.93617021],0
p7,1,0.023681,5.117862,[33 41] ; [14  5],[37.39784946 36.60215054] ; [9.60215054 9.39784946],0
a4,1,0.028678,4.786828,[21 52] ; [11  9],[25.11827957 47.88172043] ; [ 6.88172043 13.11827957],0
s7,1,0.044531,4.036323,[20 51] ; [10  9],[23.66666667 47.33333333] ; [ 6.33333333 12.66666667],0
n5,1,0.050709,3.817852,[57 17] ; [11  9],[53.53191489 20.46808511] ; [14.46808511  5.53191489],0
s1,1,0.050895,3.811741,[ 1 73] ; [ 2 18],[ 2.36170213 71.63829787] ; [ 0.63829787 19.36170213],0
p3,1,0.055392,3.670254,[20 53] ; [10 10],[23.5483871 49.4516129] ; [ 6.4516129 13.5483871],0
b5,1,0.056218,3.645584,[40 34] ; [ 6 14],[36.21276596 37.78723404] ; [ 9.78723404 10.21276596],0
a6,1,0.057794,3.599586,[32 42] ; [ 4 16],[28.34042553 45.65957447] ; [ 7.65957447 12.34042553],0
p6,1,0.067872,3.333742,[15 55] ; [ 8 11],[18.08988764 51.91011236] ; [ 4.91011236 14.08988764],0
d1,1,0.068021,3.33015,[21 53] ; [10 10],[24.40425532 49.59574468] ; [ 6.59574468 13.40425532],0
v4,1,0.084804,2.970334,[52 21] ; [18  2],[54.94623656 18.05376344] ; [15.05376344  4.94623656],0
d5,1,0.089529,2.882821,[36 38] ; [14  6],[39.36170213 34.63829787] ; [10.63829787  9.36170213],0
d2,1,0.105675,2.617739,[29 44] ; [12  8],[32.1827957 40.8172043] ; [ 8.8172043 11.1827957],0
n2,1,0.179607,1.800871,[22 13] ; [7 1],[23.60465116 11.39534884] ; [5.39534884 2.60465116],0
n4,1,0.183183,1.771612,[49 25] ; [10 10],[46.44680851 27.55319149] ; [12.55319149  7.44680851],0
s3,1,0.214117,1.543369,[28 43] ; [11  9],[30.42857143 40.57142857] ; [ 8.57142857 11.42857143],0
a5,1,0.221077,1.497363,[33 41] ; [12  8],[35.42553191 38.57446809] ; [ 9.57446809 10.42553191],0
p5,1,0.24112,1.374034,[ 5 69] ; [ 3 17],[ 6.29787234 67.70212766] ; [ 1.70212766 18.29787234],0
a1,1,0.24112,1.374034,[ 5 69] ; [ 3 17],[ 6.29787234 67.70212766] ; [ 1.70212766 18.29787234],0
d3,1,0.243798,1.358498,[23 51] ; [ 9 11],[25.19148936 48.80851064] ; [ 6.80851064 13.19148936],0
r2,1,0.299376,1.076974,[49 23] ; [16  4],[50.86956522 21.13043478] ; [14.13043478  5.86956522],0
u3,1,0.308457,1.037269,[10 27] ; [4 5],[11.26086957 25.73913043] ; [2.73913043 6.26086957],0
u1,1,0.315731,1.006551,[ 1 73] ; [ 1 19],[ 1.57446809 72.42553191] ; [ 0.42553191 19.57446809],0
v1,1,0.321537,0.982686,[22 51] ; [ 8 11],[23.80434783 49.19565217] ; [ 6.19565217 12.80434783],0
r3,1,0.331172,0.944311,[51 23] ; [16  4],[52.74468085 21.25531915] ; [14.25531915  5.74468085],0
n3,1,0.406768,0.688228,[23 12] ; [4 4],[21.97674419 13.02325581] ; [5.02325581 2.97674419],0
v2,1,0.428834,0.625979,[23 48] ; [ 8 11],[24.45555556 46.54444444] ; [ 6.54444444 12.45555556],0
n6,1,0.454643,0.559051,[49 25] ; [15  5],[50.38297872 23.61702128] ; [13.61702128  6.38297872],0
a3,1,0.53905,0.377303,[37 37] ; [11  8],[38.19354839 35.80645161] ; [9.80645161 9.19354839],0
p8,1,0.551559,0.354533,[25 47] ; [ 8 11],[26.10989011 45.89010989] ; [ 6.89010989 12.10989011],0
u2,1,0.603821,0.269271,[13 24] ; [4 5],[13.67391304 23.32608696] ; [3.32608696 5.67391304],0
p12,1,0.612246,0.256918,[ 2 71] ; [ 1 19],[ 2.35483871 70.64516129] ; [ 0.64516129 19.35483871],0
p11,1,0.638473,0.220745,[45 29] ; [11  9],[44.08510638 29.91489362] ; [11.91489362  8.08510638],0
n1,1,0.650014,0.205882,[14 20] ; [4 4],[14.57142857 19.42857143] ; [3.42857143 4.57142857],0
p4,1,0.659026,0.194709,[32 40] ; [10 10],[32.86956522 39.13043478] ; [ 9.13043478 10.86956522],0
b1,1,0.66681,0.185356,[41 33] ; [10 10],[40.14893617 33.85106383] ; [10.85106383  9.14893617],0
s8,1,0.69776,0.150812,[19 55] ; [ 6 14],[19.68085106 54.31914894] ; [ 5.31914894 14.68085106],0
p10,1,0.741103,0.10916,[39 33] ; [10 10],[38.34782609 33.65217391] ; [10.65217391  9.34782609],0
p2,1,0.751316,0.100429,[44 28] ; [13  7],[44.60869565 27.39130435] ; [12.39130435  7.60869565],0
a2,1,0.775521,0.081317,[ 5 69] ; [ 1 19],[ 4.72340426 69.27659574] ; [ 1.27659574 18.72340426],0
p9,1,0.839148,0.041202,[48 23] ; [14  6],[48.37362637 22.62637363] ; [13.62637363  6.37362637],0
v3,1,0.935089,0.006633,[16 57] ; [ 4 15],[15.86956522 57.13043478] ; [ 4.13043478 14.86956522],0
b2,1,0.940172,0.005633,[13 34] ; [ 4 11],[12.88709677 34.11290323] ; [ 4.11290323 10.88709677],0
b3,1,0.940172,0.005633,[13 34] ; [ 4 11],[12.88709677 34.11290323] ; [ 4.11290323 10.88709677],0
