Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.006826,7.31824,[ 5 11] ; [25 10],[9.41176471 6.58823529] ; [20.58823529 14.41176471],0
p10,1,0.01087,6.486528,[9 7] ; [30  4],[12.48  3.52] ; [26.52  7.48],0
a6,1,0.012094,6.297099,[ 4 12] ; [22 13],[8.15686275 7.84313725] ; [17.84313725 17.15686275],0
p6,1,0.040968,4.177323,[ 4 12] ; [19 15],[7.36 8.64] ; [15.64 18.36],0
n4,1,0.059063,3.563491,[ 6 10] ; [23 12],[9.09803922 6.90196078] ; [19.90196078 15.09803922],0
p8,1,0.078609,3.093434,[ 4 12] ; [17 16],[6.85714286 9.14285714] ; [14.14285714 18.85714286],0
a7,1,0.092056,2.83805,[7 9] ; [24 11],[9.7254902 6.2745098] ; [21.2745098 13.7254902],0
n6,1,0.156814,2.004682,[11  5] ; [30  5],[12.8627451  3.1372549] ; [28.1372549  6.8627451],0
s8,1,0.159755,1.976544,[ 4 12] ; [16 19],[6.2745098 9.7254902] ; [13.7254902 21.2745098],0
d1,1,0.1929,1.69533,[ 6 10] ; [20 15],[8.15686275 7.84313725] ; [17.84313725 17.15686275],0
r2,1,0.197029,1.664259,[15  1] ; [27  7],[13.44  2.56] ; [28.56  5.44],0
b1,1,0.201111,1.63429,[9 7] ; [13 22],[6.90196078 9.09803922] ; [15.09803922 19.90196078],0
s3,1,0.203076,1.620113,[8 8] ; [24 11],[10.03921569  5.96078431] ; [21.96078431 13.03921569],0
a4,1,0.203076,1.620113,[8 8] ; [11 24],[ 5.96078431 10.03921569] ; [13.03921569 21.96078431],0
a3,1,0.207712,1.587302,[7 8] ; [23 12],[9. 6.] ; [21. 14.],0
p7,1,0.265948,1.23753,[7 9] ; [20 13],[8.81632653 7.18367347] ; [18.18367347 14.81632653],0
d2,1,0.286179,1.137512,[8 8] ; [12 23],[6.2745098 9.7254902] ; [13.7254902 21.2745098],0
a1,1,0.294211,1.100249,[ 1 15] ; [ 6 29],[ 2.19607843 13.80392157] ; [ 4.80392157 30.19607843],0
u2,1,0.308512,1.037037,[4 5] ; [8 4],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
u3,1,0.308512,1.037037,[4 5] ; [8 4],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
p5,1,0.363082,0.827206,[ 2 14] ; [ 8 26],[ 3.2 12.8] ; [ 6.8 27.2],0
n2,1,0.372374,0.795726,[4 2] ; [11  2],[4.73684211 1.26315789] ; [10.26315789  2.73684211],0
b5,1,0.373934,0.790551,[9 7] ; [15 20],[7.52941176 8.47058824] ; [16.47058824 18.52941176],0
s4,1,0.392899,0.729951,[7 9] ; [11 24],[ 5.64705882 10.35294118] ; [12.35294118 22.64705882],0
u1,1,0.40295,0.699506,[ 2 14] ; [ 2 33],[ 1.25490196 14.74509804] ; [ 2.74509804 32.25490196],0
v2,1,0.412589,0.671329,[ 6 10] ; [16 16],[7.33333333 8.66666667] ; [14.66666667 17.33333333],0
v4,1,0.421051,0.647379,[14  2] ; [32  2],[14.72  1.28] ; [31.28  2.72],0
p4,1,0.503454,0.447649,[8 8] ; [21 14],[9.09803922 6.90196078] ; [19.90196078 15.09803922],0
b4,1,0.514453,0.425,[14  2] ; [28  7],[13.17647059  2.82352941] ; [28.82352941  6.17647059],0
s2,1,0.523373,0.40724,[11  5] ; [27  8],[11.92156863  4.07843137] ; [26.07843137  8.92156863],0
s7,1,0.575403,0.313725,[7 7] ; [20 14],[7.875 6.125] ; [19.125 14.875],0
d5,1,0.586412,0.295982,[13  3] ; [26  9],[12.23529412  3.76470588] ; [26.76470588  8.23529412],0
n1,1,0.598802,0.276807,[2 4] ; [6 7],[2.52631579 3.47368421] ; [5.47368421 7.52631579],0
p1,1,0.643293,0.214461,[ 2 14] ; [ 6 28],[ 2.56 13.44] ; [ 5.44 28.56],0
r3,1,0.672263,0.178966,[14  2] ; [29  6],[13.49019608  2.50980392] ; [29.50980392  5.49019608],0
d4,1,0.672263,0.178966,[14  2] ; [29  6],[13.49019608  2.50980392] ; [29.50980392  5.49019608],0
r4,1,0.681041,0.168957,[11  5] ; [26  9],[11.60784314  4.39215686] ; [25.39215686  9.60784314],0
p9,1,0.73633,0.113379,[13  2] ; [29  6],[12.6  2.4] ; [29.4  5.6],0
b2,1,0.763361,0.090643,[2 4] ; [10 15],[2.32258065 3.67741935] ; [ 9.67741935 15.32258065],0
b3,1,0.763361,0.090643,[2 4] ; [10 15],[2.32258065 3.67741935] ; [ 9.67741935 15.32258065],0
a2,1,0.774783,0.081867,[ 1 15] ; [ 3 32],[ 1.25490196 14.74509804] ; [ 2.74509804 32.25490196],0
s1,1,0.774783,0.081867,[ 1 15] ; [ 3 32],[ 1.25490196 14.74509804] ; [ 2.74509804 32.25490196],0
a5,1,0.823629,0.049675,[10  6] ; [23 12],[10.35294118  5.64705882] ; [22.64705882 12.35294118],0
v1,1,0.829672,0.046278,[8 7] ; [17 17],[7.65306122 7.34693878] ; [17.34693878 16.65306122],0
d3,1,0.831022,0.045536,[11  5] ; [23 12],[10.66666667  5.33333333] ; [23.33333333 11.66666667],0
n3,1,0.875975,0.024359,[3 3] ; [6 7],[2.84210526 3.15789474] ; [6.15789474 6.84210526],0
v3,1,0.90278,0.014921,[ 4 11] ; [ 8 24],[ 3.82978723 11.17021277] ; [ 8.17021277 23.82978723],0
p2,1,0.909573,0.0129,[12  4] ; [26  8],[12.16  3.84] ; [25.84  8.16],0
p3,1,0.924558,0.008967,[8 8] ; [17 18],[7.84313725 8.15686275] ; [17.15686275 17.84313725],0
s6,1,1.0,0.0,[12  3] ; [28  7],[12.  3.] ; [28.  7.],0
