Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,31.606161,[84 10] ; [17 22],[71.38345865 22.61654135] ; [29.61654135  9.38345865],1
n6,1,3.2e-05,17.287944,[86  8] ; [24 15],[77.7443609 16.2556391] ; [32.2556391  6.7443609],1
b1,1,0.02103,5.324312,[47 47] ; [11 28],[40.9924812 53.0075188] ; [17.0075188 21.9924812],0
s7,1,0.026355,4.932574,[73 19] ; [23 15],[67.93846154 24.06153846] ; [28.06153846  9.93846154],0
a5,1,0.028583,4.792558,[73 21] ; [23 16],[67.84962406 26.15037594] ; [28.15037594 10.84962406],0
r2,1,0.037438,4.330389,[91  2] ; [34  4],[88.74045802  4.25954198] ; [36.25954198  1.74045802],0
a2,1,0.081754,3.029676,[22 72] ; [ 4 35],[18.37593985 75.62406015] ; [ 7.62406015 31.37593985],0
d1,1,0.125156,2.351576,[57 37] ; [18 21],[53.0075188 40.9924812] ; [21.9924812 17.0075188],0
p6,1,0.160843,1.96628,[26 67] ; [ 6 31],[22.89230769 70.10769231] ; [ 9.10769231 27.89230769],0
s3,1,0.180544,1.79314,[71 23] ; [25 14],[67.84962406 26.15037594] ; [28.15037594 10.84962406],0
p8,1,0.184083,1.764347,[33 58] ; [19 20],[36.4 54.6] ; [15.6 23.4],0
a3,1,0.197427,1.66131,[72 21] ; [26 13],[69.04545455 23.95454545] ; [28.95454545 10.04545455],0
s4,1,0.203182,1.61935,[15 78] ; [10 29],[17.61363636 75.38636364] ; [ 7.38636364 31.61363636],0
p10,1,0.213796,1.545534,[81 12] ; [29  8],[78.69230769 14.30769231] ; [31.30769231  5.69230769],0
p5,1,0.240166,1.379619,[ 3 91] ; [ 3 35],[ 4.27272727 89.72727273] ; [ 1.72727273 36.27272727],0
u2,1,0.240848,1.375624,[12 10] ; [9 3],[13.58823529  8.41176471] ; [7.41176471 4.58823529],0
p7,1,0.25398,1.301276,[52 37] ; [17 19],[49.128 39.872] ; [19.872 16.128],0
u1,1,0.259667,1.270532,[17 77] ; [ 4 35],[14.84210526 79.15789474] ; [ 6.15789474 32.84210526],0
d2,1,0.31334,1.016543,[50 44] ; [17 22],[47.35338346 46.64661654] ; [19.64661654 19.35338346],0
s2,1,0.376805,0.7811,[63 31] ; [23 16],[60.78195489 33.21804511] ; [25.21804511 13.78195489],0
p11,1,0.389588,0.740227,[74 20] ; [28 11],[72.09022556 21.90977444] ; [29.90977444  9.09022556],0
b5,1,0.400982,0.70538,[58 36] ; [21 18],[55.83458647 38.16541353] ; [23.16541353 15.83458647],0
d5,1,0.427192,0.630446,[80 14] ; [31  8],[78.45112782 15.54887218] ; [32.54887218  6.45112782],0
p2,1,0.431755,0.618097,[66 28] ; [30  9],[67.84962406 26.15037594] ; [28.15037594 10.84962406],0
a7,1,0.44126,0.593004,[61 33] ; [28 11],[62.90225564 31.09774436] ; [26.09774436 12.90225564],0
a6,1,0.449123,0.572864,[59 34] ; [22 17],[57.06818182 35.93181818] ; [23.93181818 15.06818182],0
v3,1,0.460117,0.54561,[45 47] ; [15 21],[43.125 48.875] ; [16.875 19.125],0
b2,1,0.47127,0.518998,[27 36] ; [ 9 17],[25.48314607 37.51685393] ; [10.51685393 15.48314607],0
b3,1,0.47127,0.518998,[27 36] ; [ 9 17],[25.48314607 37.51685393] ; [10.51685393 15.48314607],0
d3,1,0.47674,0.506312,[54 40] ; [25 14],[55.83458647 38.16541353] ; [23.16541353 15.83458647],0
r3,1,0.485862,0.485676,[89  5] ; [38  1],[89.7593985  4.2406015] ; [37.2406015  1.7593985],0
p9,1,0.494581,0.466545,[79 14] ; [34  4],[80.22137405 12.77862595] ; [32.77862595  5.22137405],0
r1,1,0.544644,0.367,[78 15] ; [31  8],[76.79545455 16.20454545] ; [32.20454545  6.79545455],0
u3,1,0.598901,0.276657,[17  5] ; [9 4],[16.34285714  5.65714286] ; [9.65714286 3.34285714],0
n3,1,0.608874,0.261818,[16  8] ; [9 3],[16.66666667  7.33333333] ; [8.33333333 3.66666667],0
s1,1,0.610015,0.260152,[ 3 89] ; [ 2 37],[ 3.51145038 88.48854962] ; [ 1.48854962 37.51145038],0
a4,1,0.617995,0.248695,[43 51] ; [16 23],[41.69924812 52.30075188] ; [17.30075188 21.69924812],0
p12,1,0.631821,0.2296,[ 7 85] ; [ 2 36],[ 6.36923077 85.63076923] ; [ 2.63076923 35.36923077],0
d4,1,0.633595,0.227217,[78 16] ; [31  8],[77.03759398 16.96240602] ; [31.96240602  7.03759398],0
a8,1,0.690001,0.159084,[15 72] ; [ 5 30],[14.26229508 72.73770492] ; [ 5.73770492 29.26229508],0
v2,1,0.749676,0.101804,[55 33] ; [22 15],[54.208 33.792] ; [22.792 14.208],0
p3,1,0.804131,0.061506,[31 63] ; [12 27],[30.39097744 63.60902256] ; [12.60902256 26.39097744],0
n2,1,0.808514,0.05873,[20  5] ; [10  2],[20.27027027  4.72972973] ; [9.72972973 2.27027027],0
a1,1,0.825247,0.048753,[ 4 90] ; [ 2 37],[ 4.2406015 89.7593985] ; [ 1.7593985 37.2406015],0
p1,1,0.876047,0.02433,[ 8 86] ; [ 3 36],[ 7.77443609 86.22556391] ; [ 3.22556391 35.77443609],0
r4,1,0.876047,0.02433,[86  8] ; [36  3],[86.22556391  7.77443609] ; [35.77443609  3.22556391],0
b4,1,0.876496,0.024153,[52 42] ; [21 18],[51.59398496 42.40601504] ; [21.40601504 17.59398496],0
v1,1,0.941013,0.005475,[48 42] ; [20 17],[48.18897638 41.81102362] ; [19.81102362 17.18897638],0
v4,1,0.964191,0.002016,[89  5] ; [37  2],[89.05263158  4.94736842] ; [36.94736842  2.05263158],0
s6,1,0.984844,0.000361,[76 17] ; [31  7],[75.96183206 17.03816794] ; [31.03816794  6.96183206],0
s5,1,1.0,0.0,[36 54] ; [14 21],[36. 54.] ; [14. 21.],0
n1,1,1.0,0.0,[12 12] ; [6 6],[12. 12.] ; [6. 6.],0
