Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.026125,4.947694,[6 4] ; [ 5 19],[3.23529412 6.76470588] ; [ 7.76470588 16.23529412],0
v3,1,0.032135,4.591304,[4 6] ; [ 2 21],[1.81818182 8.18181818] ; [ 4.18181818 18.81818182],0
p8,1,0.039624,4.233924,[6 4] ; [ 5 17],[3.4375 6.5625] ; [ 7.5625 14.4375],0
s2,1,0.044708,4.02963,[5 5] ; [ 4 20],[2.64705882 7.35294118] ; [ 6.35294118 17.64705882],0
s6,1,0.053239,3.736413,[5 5] ; [ 4 19],[2.72727273 7.27272727] ; [ 6.27272727 16.72727273],0
r4,1,0.07077,3.265079,[4 6] ; [ 3 21],[2.05882353 7.94117647] ; [ 4.94117647 19.05882353],0
a3,1,0.080438,3.05602,[7 2] ; [10 13],[4.78125 4.21875] ; [12.21875 10.78125],0
b2,1,0.107936,2.584189,[4 2] ; [ 5 12],[2.34782609 3.65217391] ; [ 6.65217391 10.34782609],0
b3,1,0.107936,2.584189,[4 2] ; [ 5 12],[2.34782609 3.65217391] ; [ 6.65217391 10.34782609],0
r2,1,0.157845,1.99475,[8 2] ; [13 11],[6.17647059 3.82352941] ; [14.82352941  9.17647059],0
p9,1,0.159565,1.978348,[6 4] ; [ 7 14],[4.19354839 5.80645161] ; [ 8.80645161 12.19354839],0
u3,1,0.201352,1.63254,[1 2] ; [ 1 13],[0.35294118 2.64705882] ; [ 1.64705882 12.35294118],0
a6,1,0.246762,1.34154,[5 5] ; [ 7 17],[3.52941176 6.47058824] ; [ 8.47058824 15.52941176],0
d4,1,0.248397,1.332296,[4 6] ; [ 5 19],[2.64705882 7.35294118] ; [ 6.35294118 17.64705882],0
n5,1,0.248397,1.332296,[6 4] ; [19  5],[7.35294118 2.64705882] ; [17.64705882  6.35294118],0
p7,1,0.282932,1.15295,[5 5] ; [ 7 16],[3.63636364 6.36363636] ; [ 8.36363636 14.63636364],0
p10,1,0.282932,1.15295,[5 5] ; [ 7 16],[3.63636364 6.36363636] ; [ 8.36363636 14.63636364],0
b4,1,0.284543,1.145263,[7 3] ; [12 12],[5.58823529 4.41176471] ; [13.41176471 10.58823529],0
s1,1,0.33602,0.925556,[2 8] ; [ 2 22],[1.17647059 8.82352941] ; [ 2.82352941 21.17647059],0
p6,1,0.360505,0.836132,[2 8] ; [ 2 21],[1.21212121 8.78787879] ; [ 2.78787879 20.21212121],0
n4,1,0.362191,0.830281,[5 5] ; [16  8],[6.17647059 3.82352941] ; [14.82352941  9.17647059],0
v4,1,0.451587,0.566667,[6 4] ; [11 13],[5. 5.] ; [12. 12.],0
p5,1,0.531725,0.391094,[1 9] ; [ 1 22],[0.60606061 9.39393939] ; [ 1.39393939 21.60606061],0
v2,1,0.554628,0.349091,[1 9] ; [ 1 21],[0.625 9.375] ; [ 1.375 20.625],0
p3,1,0.565867,0.329647,[3 7] ; [ 5 19],[2.35294118 7.64705882] ; [ 5.64705882 18.35294118],0
s8,1,0.586287,0.29618,[1 9] ; [ 4 19],[1.51515152 8.48484848] ; [ 3.48484848 19.51515152],0
s7,1,0.659658,0.193939,[3 7] ; [ 5 17],[2.5 7.5] ; [ 5.5 16.5],0
p11,1,0.676701,0.173864,[3 7] ; [ 9 15],[3.52941176 6.47058824] ; [ 8.47058824 15.52941176],0
a4,1,0.691801,0.157143,[1 8] ; [ 4 20],[1.36363636 7.63636364] ; [ 3.63636364 20.36363636],0
n1,1,0.700668,0.147778,[3 2] ; [7 7],[2.63157895 2.36842105] ; [7.36842105 6.63157895],0
a5,1,0.710906,0.137374,[4 6] ; [ 8 16],[3.52941176 6.47058824] ; [ 8.47058824 15.52941176],0
s3,1,0.71271,0.135585,[3 5] ; [ 7 16],[2.58064516 5.41935484] ; [ 7.41935484 15.58064516],0
b5,1,0.75494,0.097427,[4 6] ; [11 13],[4.41176471 5.58823529] ; [10.58823529 13.41176471],0
b1,1,0.75494,0.097427,[6 4] ; [13 11],[5.58823529 4.41176471] ; [13.41176471 10.58823529],0
d3,1,0.763331,0.090667,[3 7] ; [ 6 18],[2.64705882 7.35294118] ; [ 6.35294118 17.64705882],0
s5,1,0.816297,0.053968,[2 8] ; [ 4 20],[1.76470588 8.23529412] ; [ 4.23529412 19.76470588],0
p1,1,0.816297,0.053968,[2 8] ; [ 4 20],[1.76470588 8.23529412] ; [ 4.23529412 19.76470588],0
a1,1,0.83667,0.0425,[1 9] ; [ 3 21],[1.17647059 8.82352941] ; [ 2.82352941 21.17647059],0
r1,1,0.891284,0.018681,[4 6] ; [ 9 15],[3.82352941 6.17647059] ; [ 9.17647059 14.82352941],0
p4,1,0.961245,0.002361,[3 7] ; [ 7 17],[2.94117647 7.05882353] ; [ 7.05882353 16.94117647],0
n6,1,1.0,0.0,[5 5] ; [12 12],[5. 5.] ; [12. 12.],0
p2,1,1.0,0.0,[5 5] ; [12 12],[5. 5.] ; [12. 12.],0
