Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,28.715969,[86 92] ; [67 13],[105.55813953  72.44186047] ; [47.44186047 32.55813953],1
p4,1,0.0,27.045029,[ 72 109] ; [61 21],[91.53231939 89.46768061] ; [41.46768061 40.53231939],1
p3,1,7e-06,20.11894,[ 60 123] ; [51 31],[ 76.65283019 106.34716981] ; [34.34716981 47.65283019],1
p5,1,9e-06,19.646563,[  9 172] ; [19 63],[ 19.26996198 161.73003802] ; [ 8.73003802 73.26996198],1
p8,1,2.2e-05,18.04767,[ 72 108] ; [56 26],[87.9389313 92.0610687] ; [40.0610687 41.9389313],1
s7,1,8.3e-05,15.48178,[ 52 120] ; [43 33],[ 65.88709677 106.11290323] ; [29.11290323 46.88709677],1
b3,1,0.000466,12.24709,[17 76] ; [21 24],[25.60869565 67.39130435] ; [12.39130435 32.60869565],1
b2,1,0.000466,12.24709,[17 76] ; [21 24],[25.60869565 67.39130435] ; [12.39130435 32.60869565],1
p12,1,0.000831,11.170359,[  3 177] ; [ 9 73],[  8.24427481 171.75572519] ; [ 3.75572519 78.24427481],1
s8,1,0.008085,7.014629,[ 46 136] ; [34 48],[ 55.15151515 126.84848485] ; [24.84848485 57.15151515],0
v2,1,0.011252,6.425024,[74 99] ; [49 33],[83.44705882 89.55294118] ; [39.55294118 42.44705882],0
p1,1,0.023784,5.110348,[ 11 169] ; [12 70],[ 15.80152672 164.19847328] ; [ 7.19847328 74.80152672],0
s5,1,0.025457,4.992502,[ 41 138] ; [29 51],[ 48.37837838 130.62162162] ; [21.62162162 58.37837838],0
n6,1,0.033584,4.51577,[136  46] ; [70 11],[142.55513308  39.44486692] ; [63.44486692 17.55513308],0
p11,1,0.036496,4.373757,[127  56] ; [67 15],[133.96981132  49.03018868] ; [60.03018868 21.96981132],0
s2,1,0.038743,4.272121,[ 67 114] ; [41 40],[ 74.61068702 106.38931298] ; [33.38931298 47.61068702],0
u2,1,0.048198,3.903069,[37 43] ; [22 11],[41.7699115 38.2300885] ; [17.2300885 15.7699115],0
d5,1,0.049554,3.856499,[115  68] ; [41 41],[107.72830189  75.27169811] ; [48.27169811 33.72830189],0
a4,1,0.112734,2.515468,[ 41 141] ; [26 56],[ 46.18939394 135.81060606] ; [20.81060606 61.18939394],0
