Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,3.5e-05,17.149436,[29 35] ; [58 15],[40.64233577 23.35766423] ; [46.35766423 26.64233577],1
d3,1,3.7e-05,17.0,[20 44] ; [48 24],[32. 32.] ; [36. 36.],1
a6,1,0.000953,10.917413,[24 40] ; [48 25],[33.6350365 30.3649635] ; [38.3649635 34.6350365],1
b5,1,0.002108,9.452677,[30 34] ; [53 20],[38.77372263 25.22627737] ; [44.22627737 28.77372263],0
d5,1,0.003761,8.395575,[31 33] ; [53 20],[39.24087591 24.75912409] ; [44.75912409 28.24087591],0
p10,1,0.007309,7.195314,[31 32] ; [51 20],[38.55223881 24.44776119] ; [43.44776119 27.55223881],0
b1,1,0.01043,6.559876,[34 30] ; [23 50],[26.62773723 37.37226277] ; [30.37226277 42.62773723],0
n5,1,0.021135,5.315594,[48 16] ; [41 32],[41.57664234 22.42335766] ; [47.42335766 25.57664234],0
r3,1,0.029789,4.721421,[42 22] ; [59 13],[47.52941176 16.47058824] ; [53.47058824 18.52941176],0
v3,1,0.032094,4.593494,[10 54] ; [22 48],[15.28358209 48.71641791] ; [16.71641791 53.28358209],0
r4,1,0.045637,3.994928,[25 39] ; [41 32],[30.83211679 33.16788321] ; [35.16788321 37.83211679],0
a5,1,0.062051,3.4817,[24 40] ; [39 34],[29.43065693 34.56934307] ; [33.56934307 39.43065693],0
d1,1,0.073815,3.196075,[17 47] ; [30 43],[21.95620438 42.04379562] ; [25.04379562 47.95620438],0
s4,1,0.119856,2.419199,[ 9 55] ; [18 55],[12.61313869 51.38686131] ; [14.38686131 58.61313869],0
a3,1,0.145217,2.121792,[31 32] ; [45 28],[35.20588235 27.79411765] ; [40.79411765 32.20588235],0
s6,1,0.174614,1.842881,[22 41] ; [33 38],[25.85820896 37.14179104] ; [29.14179104 41.85820896],0
u2,1,0.177544,1.818065,[12 21] ; [15 13],[14.60655738 18.39344262] ; [12.39344262 15.60655738],0
b4,1,0.181095,1.788612,[34 30] ; [47 26],[37.83941606 26.16058394] ; [43.16058394 29.83941606],0
p11,1,0.19512,1.678532,[37 27] ; [50 23],[40.64233577 23.35766423] ; [46.35766423 26.64233577],0
u3,1,0.201747,1.629685,[ 9 24] ; [12 16],[11.36065574 21.63934426] ; [ 9.63934426 18.36065574],0
u1,1,0.204562,1.609504,[ 2 62] ; [ 6 67],[ 3.73722628 60.26277372] ; [ 4.26277372 68.73722628],0
a8,1,0.218617,1.513424,[ 4 57] ; [ 9 60],[ 6.1 54.9] ; [ 6.9 62.1],0
a2,1,0.225788,1.4672,[ 4 60] ; [ 9 64],[ 6.0729927 57.9270073] ; [ 6.9270073 66.0729927],0
v1,1,0.233682,1.418308,[14 48] ; [22 47],[17.03816794 44.96183206] ; [18.96183206 50.03816794],0
r2,1,0.245661,1.347814,[43 19] ; [54 15],[45.90839695 16.09160305] ; [51.09160305 17.90839695],0
s2,1,0.270542,1.213998,[18 46] ; [27 46],[21.02189781 42.97810219] ; [23.97810219 49.02189781],0
s5,1,0.310537,1.028389,[10 53] ; [16 54],[12.31578947 50.68421053] ; [13.68421053 56.31578947],0
p9,1,0.366588,0.815197,[40 21] ; [51 19],[42.3740458 18.6259542] ; [48.6259542 21.3740458],0
s1,1,0.369625,0.804924,[ 1 63] ; [ 3 69],[ 1.88235294 62.11764706] ; [ 2.11764706 69.88235294],0
n3,1,0.375842,0.784259,[19 13] ; [17  7],[20.57142857 11.42857143] ; [15.42857143  8.57142857],0
p2,1,0.423266,0.64123,[36 27] ; [46 26],[38.26666667 24.73333333] ; [43.73333333 28.26666667],0
b2,1,0.459215,0.547808,[12 25] ; [17 25],[13.58227848 23.41772152] ; [15.41772152 26.58227848],0
b3,1,0.459215,0.547808,[12 25] ; [17 25],[13.58227848 23.41772152] ; [15.41772152 26.58227848],0
p6,1,0.48556,0.486351,[11 49] ; [17 56],[12.63157895 47.36842105] ; [15.36842105 57.63157895],0
s8,1,0.487418,0.482221,[11 53] ; [16 57],[12.61313869 51.38686131] ; [14.38686131 58.61313869],0
p7,1,0.528049,0.398144,[24 39] ; [23 47],[22.26315789 40.73684211] ; [24.73684211 45.26315789],0
v4,1,0.529394,0.395555,[47 16] ; [57 15],[48.53333333 14.46666667] ; [55.46666667 16.53333333],0
n4,1,0.554136,0.349959,[40 24] ; [42 31],[38.30656934 25.69343066] ; [43.69343066 29.30656934],0
