Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,25.23307,[244  48] ; [21 21],[231.67664671  60.32335329] ; [33.32335329  8.67664671],1
n4,1,3e-06,21.671213,[245  47] ; [23 20],[233.6  58.4] ; [34.4  8.6],1
r4,1,2.4e-05,17.870696,[274  18] ; [32 11],[266.72238806  25.27761194] ; [39.27761194  3.72238806],1
p10,1,2.9e-05,17.458331,[256  33] ; [27 15],[247.09063444  41.90936556] ; [35.90936556  6.09063444],1
p9,1,8.5e-05,15.447036,[264  24] ; [30 12],[256.58181818  31.41818182] ; [37.41818182  4.58181818],1
p11,1,0.000292,13.117875,[240  52] ; [25 18],[230.98507463  61.01492537] ; [34.01492537  8.98507463],1
v4,1,0.003832,8.361727,[280  11] ; [36  6],[276.14414414  14.85585586] ; [39.85585586  2.14414414],0
a4,1,0.008619,6.900133,[136 154] ; [11 32],[128.01801802 161.98198198] ; [18.98198198 24.01801802],0
s8,1,0.014578,5.966775,[172 118] ; [17 26],[164.59459459 125.40540541] ; [24.40540541 18.59459459],0
u1,1,0.018145,5.582067,[ 75 217] ; [ 4 39],[ 68.85970149 223.14029851] ; [10.14029851 32.85970149],0
v3,1,0.018418,5.555931,[165 123] ; [15 25],[158.04878049 129.95121951] ; [21.95121951 18.04878049],0
r2,1,0.019267,5.477159,[278  11] ; [36  5],[274.98787879  14.01212121] ; [39.01212121  1.98787879],0
p6,1,0.025466,4.991911,[130 157] ; [11 30],[123.375 163.625] ; [17.625 23.375],0
s7,1,0.033903,4.499608,[187  93] ; [21 21],[180.86956522  99.13043478] ; [27.13043478 14.86956522],0
p2,1,0.036166,4.389269,[247  44] ; [31 12],[242.20958084  48.79041916] ; [35.79041916  7.20958084],0
p3,1,0.041025,4.174974,[170 121] ; [18 25],[163.79640719 127.20359281] ; [24.20359281 18.79640719],0
b1,1,0.057616,3.604704,[ 93 199] ; [20 23],[ 98.49552239 193.50447761] ; [14.50447761 28.49552239],0
b4,1,0.06114,3.506198,[186 106] ; [21 22],[180.42985075 111.57014925] ; [26.57014925 16.42985075],0
a2,1,0.07842,3.097351,[ 85 207] ; [ 7 36],[ 80.19104478 211.80895522] ; [11.80895522 31.19104478],0
s5,1,0.079713,3.070738,[130 151] ; [13 28],[124.79192547 156.20807453] ; [18.20807453 22.79192547],0
u2,1,0.094238,2.800454,[38 31] ; [9 2],[40.5375 28.4625] ; [6.4625 4.5375],0
v1,1,0.12973,2.295729,[197  89] ; [24 18],[192.70121951  93.29878049] ; [28.29878049 13.70121951],0
p8,1,0.158758,1.98602,[158 126] ; [18 23],[153.79692308 130.20307692] ; [22.20307692 18.79692308],0
p7,1,0.16935,1.888685,[196  87] ; [24 17],[192.16049383  90.83950617] ; [27.83950617 13.16049383],0
p5,1,0.181336,1.786644,[ 42 249] ; [ 3 40],[ 39.20658683 251.79341317] ; [ 5.79341317 37.20658683],0
r1,1,0.23529,1.408592,[250  42] ; [33  9],[247.41317365  44.58682635] ; [35.58682635  6.41317365],0
a6,1,0.293017,1.105709,[205  85] ; [27 16],[202.04204204  87.95795796] ; [29.95795796 13.04204204],0
p12,1,0.300811,1.070595,[ 36 254] ; [ 3 40],[ 33.96396396 256.03603604] ; [ 5.03603604 37.96396396],0
p4,1,0.331358,0.943582,[197  93] ; [26 17],[194.2042042  95.7957958] ; [28.7957958 14.2042042],0
d2,1,0.339605,0.911923,[158 133] ; [20 23],[155.08383234 135.91616766] ; [22.91616766 20.08383234],0
s2,1,0.388591,0.743347,[194  95] ; [26 17],[191.5060241  97.4939759] ; [28.4939759 14.5060241],0
