Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,59.792906,[101   7] ; [12 25],[84.16551724 23.83448276] ; [28.83448276  8.16551724],1
s7,1,5.7e-05,16.186649,[53 48] ; [ 5 31],[42.75912409 58.24087591] ; [15.24087591 20.75912409],1
p11,1,0.000276,13.229471,[91 17] ; [21 17],[82.84931507 25.15068493] ; [29.15068493  8.84931507],1
s6,1,0.001158,10.555794,[71 33] ; [14 23],[62.69503546 41.30496454] ; [22.30496454 14.69503546],0
n5,1,0.006325,7.455341,[86 21] ; [22 16],[79.69655172 27.30344828] ; [28.30344828  9.69655172],0
p8,1,0.011689,6.357431,[57 49] ; [11 26],[50.40559441 55.59440559] ; [17.59440559 19.40559441],0
a7,1,0.012102,6.295907,[75 32] ; [18 20],[68.62758621 38.37241379] ; [24.37241379 13.62758621],0
a6,1,0.0127,6.210415,[73 35] ; [17 21],[66.57534247 41.42465753] ; [23.42465753 14.57534247],0
s2,1,0.014465,5.980514,[47 59] ; [ 8 29],[40.76923077 65.23076923] ; [14.23076923 22.76923077],0
r3,1,0.020516,5.367428,[106   2] ; [34  4],[103.56164384   4.43835616] ; [36.43835616  1.56164384],0
v2,1,0.026365,4.931912,[51 49] ; [11 26],[45.25547445 54.74452555] ; [16.74452555 20.25547445],0
s8,1,0.048101,3.906457,[46 62] ; [ 9 28],[40.96551724 67.03448276] ; [14.03448276 22.96551724],0
a5,1,0.053761,3.720103,[65 43] ; [16 22],[59.91780822 48.08219178] ; [21.08219178 16.91780822],0
n6,1,0.056114,3.648678,[94 14] ; [28 10],[90.24657534 17.75342466] ; [31.75342466  6.24657534],0
s5,1,0.079253,3.080148,[29 75] ; [ 5 32],[25.07801418 78.92198582] ; [ 8.92198582 28.07801418],0
a8,1,0.087124,2.926733,[ 9 90] ; [ 7 28],[11.82089552 87.17910448] ; [ 4.17910448 30.82089552],0
s1,1,0.105459,2.620983,[  4 103] ; [ 4 33],[  5.94444444 101.05555556] ; [ 2.05555556 34.94444444],0
p2,1,0.112162,2.523493,[85 23] ; [25 13],[81.36986301 26.63013699] ; [28.63013699  9.36986301],0
b1,1,0.151474,2.05734,[37 71] ; [18 20],[40.68493151 67.31506849] ; [14.31506849 23.68493151],0
r2,1,0.17174,1.86769,[105   3] ; [35  3],[103.56164384   4.43835616] ; [36.43835616  1.56164384],0
d5,1,0.206214,1.597809,[55 52] ; [15 23],[51.65517241 55.34482759] ; [18.34482759 19.65517241],0
p1,1,0.22634,1.463716,[17 91] ; [ 3 35],[14.79452055 93.20547945] ; [ 5.20547945 32.79452055],0
p12,1,0.231387,1.432314,[ 9 99] ; [ 1 37],[  7.39726027 100.60273973] ; [ 2.60273973 35.39726027],0
v1,1,0.265966,1.237434,[52 52] ; [15 23],[49.07042254 54.92957746] ; [17.92957746 20.07042254],0
a3,1,0.271984,1.206716,[58 50] ; [16 21],[55.11724138 52.88275862] ; [18.88275862 18.11724138],0
n4,1,0.273553,1.198846,[81 27] ; [25 13],[78.4109589 29.5890411] ; [27.5890411 10.4109589],0
s4,1,0.313919,1.014116,[22 85] ; [ 5 33],[19.92413793 87.07586207] ; [ 7.07586207 30.92413793],0
n2,1,0.31445,1.011894,[18  4] ; [14  1],[19.02702703  2.97297297] ; [12.97297297  2.02702703],0
b3,1,0.325238,0.967765,[16 46] ; [ 4 21],[14.25287356 47.74712644] ; [ 5.74712644 19.25287356],0
b2,1,0.325238,0.967765,[16 46] ; [ 4 21],[14.25287356 47.74712644] ; [ 5.74712644 19.25287356],0
v3,1,0.329901,0.949288,[41 65] ; [11 26],[38.54545455 67.45454545] ; [13.45454545 23.54545455],0
b5,1,0.365138,0.820146,[62 46] ; [25 13],[64.35616438 43.64383562] ; [22.64383562 15.35616438],0
a1,1,0.436574,0.60527,[  1 107] ; [ 1 37],[  1.47945205 106.52054795] ; [ 0.52054795 37.47945205],0
u2,1,0.446847,0.578637,[23 27] ; [ 8 14],[21.52777778 28.47222222] ; [ 9.47222222 12.52777778],0
d1,1,0.468084,0.526496,[  6 102] ; [ 1 37],[  5.17808219 102.82191781] ; [ 1.82191781 36.17808219],0
d2,1,0.47563,0.508867,[25 83] ; [11 27],[26.63013699 81.36986301] ; [ 9.36986301 28.63013699],0
p4,1,0.501366,0.452044,[58 50] ; [18 20],[56.21917808 51.78082192] ; [19.78082192 18.21917808],0
u3,1,0.503951,0.446607,[27 23] ; [10 12],[25.69444444 24.30555556] ; [11.30555556 10.69444444],0
b4,1,0.51161,0.430773,[53 55] ; [21 17],[54.73972603 53.26027397] ; [19.26027397 18.73972603],0
n1,1,0.607052,0.26449,[ 8 13] ; [7 8],[ 8.75 12.25] ; [6.25 8.75],0
a2,1,0.680025,0.170098,[11 97] ; [ 3 35],[10.35616438 97.64383562] ; [ 3.64383562 34.35616438],0
s3,1,0.695159,0.153557,[57 49] ; [18 18],[55.98591549 50.01408451] ; [19.01408451 16.98591549],0
p7,1,0.788918,0.071672,[64 42] ; [22 16],[63.30555556 42.69444444] ; [22.69444444 15.30555556],0
p5,1,0.802808,0.062358,[13 95] ; [ 4 34],[12.57534247 95.42465753] ; [ 4.42465753 33.57534247],0
p3,1,0.818663,0.052562,[53 54] ; [18 20],[52.39310345 54.60689655] ; [18.60689655 19.39310345],0
d3,1,0.827006,0.047761,[29 78] ; [11 27],[29.51724138 77.48275862] ; [10.48275862 27.51724138],0
