Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1e-06,24.551736,[19  2] ; [ 6 24],[10.29411765 10.70588235] ; [14.70588235 15.29411765],1
d5,1,1.7e-05,18.532879,[21  1] ; [11 19],[13.53846154  8.46153846] ; [18.46153846 11.53846154],1
d3,1,4e-05,16.877852,[17  5] ; [ 6 24],[ 9.73076923 12.26923077] ; [13.26923077 16.73076923],1
d4,1,0.00045,12.310606,[21  1] ; [15 15],[15.23076923  6.76923077] ; [20.76923077  9.23076923],1
a4,1,0.000905,11.011837,[12  9] ; [ 4 26],[ 6.58823529 14.41176471] ; [ 9.41176471 20.58823529],1
a3,1,0.002428,9.1939,[17  5] ; [10 19],[11.64705882 10.35294118] ; [15.35294118 13.64705882],0
r2,1,0.005247,7.792208,[16  4] ; [12 18],[11.2  8.8] ; [16.8 13.2],0
s5,1,0.038869,4.266585,[ 7 14] ; [ 3 27],[ 4.11764706 16.88235294] ; [ 5.88235294 24.11764706],0
p10,1,0.050817,3.814299,[12 10] ; [ 8 21],[ 8.62745098 13.37254902] ; [11.37254902 17.62745098],0
p11,1,0.109038,2.56811,[13  9] ; [11 19],[10.15384615 11.84615385] ; [13.84615385 16.15384615],0
v2,1,0.116526,2.463401,[ 9 13] ; [ 6 23],[ 6.47058824 15.52941176] ; [ 8.52941176 20.47058824],0
a5,1,0.147697,2.095874,[14  8] ; [13 17],[11.42307692 10.57692308] ; [15.57692308 14.42307692],0
p5,1,0.180141,1.796463,[ 3 19] ; [ 1 28],[ 1.7254902 20.2745098] ; [ 2.2745098 26.7254902],0
s7,1,0.241567,1.371429,[ 5 16] ; [ 3 24],[ 3.5 17.5] ; [ 4.5 22.5],0
s2,1,0.25567,1.292051,[ 3 19] ; [ 8 22],[ 4.65384615 17.34615385] ; [ 6.34615385 23.65384615],0
r3,1,0.280982,1.162333,[15  7] ; [16 14],[13.11538462  8.88461538] ; [17.88461538 12.11538462],0
r4,1,0.305522,1.049937,[ 8 14] ; [ 7 23],[ 6.34615385 15.65384615] ; [ 8.65384615 21.34615385],0
b4,1,0.340545,0.908378,[16  6] ; [18 12],[14.38461538  7.61538462] ; [19.61538462 10.38461538],0
a2,1,0.379,0.773944,[ 2 20] ; [ 1 29],[ 1.26923077 20.73076923] ; [ 1.73076923 28.26923077],0
s3,1,0.388744,0.742866,[11 11] ; [11 18],[ 9.49019608 12.50980392] ; [12.50980392 16.49019608],0
p8,1,0.390008,0.738916,[ 3 18] ; [ 7 22],[ 4.2 16.8] ; [ 5.8 23.2],0
p1,1,0.393094,0.729351,[ 4 18] ; [ 3 27],[ 2.96153846 19.03846154] ; [ 4.03846154 25.96153846],0
v3,1,0.465668,0.532236,[ 2 19] ; [ 5 25],[ 2.88235294 18.11764706] ; [ 4.11764706 25.88235294],0
s1,1,0.465843,0.531818,[ 1 21] ; [ 3 27],[ 1.69230769 20.30769231] ; [ 2.30769231 27.69230769],0
a6,1,0.473179,0.514543,[11 11] ; [12 18],[ 9.73076923 12.26923077] ; [13.26923077 16.73076923],0
u3,1,0.538253,0.378788,[1 4] ; [ 2 18],[0.6 4.4] ; [ 2.4 17.6],0
p3,1,0.538578,0.378182,[ 6 16] ; [ 6 24],[ 5.07692308 16.92307692] ; [ 6.92307692 23.07692308],0
p9,1,0.540031,0.375482,[11 11] ; [12 17],[ 9.92156863 12.07843137] ; [13.07843137 15.92156863],0
n3,1,0.547617,0.361604,[3 6] ; [6 7],[3.68181818 5.31818182] ; [5.31818182 7.68181818],0
n5,1,0.575147,0.314146,[13  9] ; [20 10],[13.96153846  8.03846154] ; [19.03846154 10.96153846],0
b5,1,0.633769,0.226984,[11 11] ; [13 17],[10.15384615 11.84615385] ; [13.84615385 16.15384615],0
s4,1,0.685113,0.164427,[ 3 19] ; [ 3 27],[ 2.53846154 19.46153846] ; [ 3.46153846 26.53846154],0
p4,1,0.685404,0.164106,[ 7 15] ; [ 8 22],[ 6.34615385 15.65384615] ; [ 8.65384615 21.34615385],0
a8,1,0.686133,0.163304,[ 3 19] ; [ 5 23],[ 3.52 18.48] ; [ 4.48 23.52],0
n6,1,0.687865,0.161407,[11 10] ; [14 16],[10.29411765 10.70588235] ; [14.70588235 15.29411765],0
b2,1,0.687922,0.161345,[8 9] ; [6 9],[7.4375 9.5625] ; [6.5625 8.4375],0
b3,1,0.687922,0.161345,[8 9] ; [6 9],[7.4375 9.5625] ; [6.5625 8.4375],0
n4,1,0.716544,0.131828,[15  7] ; [19 11],[14.38461538  7.61538462] ; [19.61538462 10.38461538],0
b1,1,0.745851,0.105051,[12 10] ; [15 15],[11.42307692 10.57692308] ; [15.57692308 14.42307692],0
s8,1,0.764773,0.089532,[ 3 19] ; [ 5 25],[ 3.38461538 18.61538462] ; [ 4.61538462 25.38461538],0
r1,1,0.790018,0.070909,[ 8 14] ; [12 18],[ 8.46153846 13.53846154] ; [11.53846154 18.46153846],0
p12,1,0.795891,0.06691,[ 1 20] ; [ 1 29],[ 0.82352941 20.17647059] ; [ 1.17647059 28.82352941],0
s6,1,0.800664,0.06375,[ 7 14] ; [ 9 21],[ 6.58823529 14.41176471] ; [ 9.41176471 20.58823529],0
p2,1,0.806336,0.060101,[ 7 14] ; [11 19],[ 7.41176471 13.58823529] ; [10.58823529 19.41176471],0
u1,1,0.822327,0.050424,[ 1 21] ; [ 1 29],[ 0.84615385 21.15384615] ; [ 1.15384615 28.84615385],0
p7,1,0.830185,0.045995,[ 6 16] ; [ 9 21],[ 6.34615385 15.65384615] ; [ 8.65384615 21.34615385],0
