Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000123,14.745906,[103  25] ; [69 50],[89.13360324 38.86639676] ; [82.86639676 36.13360324],1
v2,1,0.000194,13.883803,[85 38] ; [52 63],[70.80252101 52.19747899] ; [66.19747899 48.80252101],1
p3,1,0.000278,13.213807,[65 60] ; [35 85],[51.02040816 73.97959184] ; [48.97959184 71.02040816],1
p9,1,0.000278,13.210447,[111  15] ; [83 37],[99.36585366 26.63414634] ; [94.63414634 25.36585366],1
p4,1,0.000313,12.989947,[84 43] ; [51 67],[69.97959184 57.02040816] ; [65.02040816 52.97959184],1
p8,1,0.000335,12.86629,[77 49] ; [45 73],[63. 63.] ; [59. 59.],1
v4,1,0.000356,12.748438,[126   2] ; [104  16],[118.70967742   9.29032258] ; [111.29032258   8.70967742],1
p2,1,0.000486,12.168903,[113  13] ; [86 33],[102.34285714  23.65714286] ; [96.65714286 22.34285714],1
p10,1,0.000634,11.674154,[109  18] ; [81 39],[97.69230769 29.30769231] ; [92.30769231 27.69230769],1
p11,1,0.001488,10.093277,[110  18] ; [83 37],[99.61290323 28.38709677] ; [93.38709677 26.61290323],0
p7,1,0.003475,8.539755,[84 41] ; [58 61],[72.74590164 52.25409836] ; [69.25409836 49.74590164],0
s5,1,0.004685,7.997015,[42 84] ; [20 95],[32.41493776 93.58506224] ; [29.58506224 85.41493776],0
p5,1,0.008176,6.994449,[ 14 113] ; [  3 117],[  8.74089069 118.25910931] ; [  8.25910931 111.74089069],0
b2,1,0.008367,6.953159,[35 38] ; [17 48],[27.50724638 45.49275362] ; [24.49275362 40.50724638],0
b3,1,0.008367,6.953159,[35 38] ; [17 48],[27.50724638 45.49275362] ; [24.49275362 40.50724638],0
s6,1,0.010592,6.532574,[73 54] ; [49 70],[62.98373984 64.01626016] ; [59.01626016 59.98373984],0
p6,1,0.013243,6.136355,[45 78] ; [26 92],[36.23651452 86.76348548] ; [34.76348548 83.23651452],0
s2,1,0.014397,5.988786,[47 80] ; [27 92],[38.20325203 88.79674797] ; [35.79674797 83.20325203],0
n4,1,0.020409,5.376568,[102  26] ; [80 40],[93.93548387 34.06451613] ; [88.06451613 31.93548387],0
r4,1,0.021151,5.314286,[118  10] ; [99 21],[112.  16.] ; [105.  15.],0
v3,1,0.023379,5.140137,[50 69] ; [33 85],[41.67510549 77.32489451] ; [41.32489451 76.67510549],0
r3,1,0.026399,4.929692,[124   4] ; [107  12],[119.70850202   8.29149798] ; [111.29149798   7.70850202],0
d3,1,0.031599,4.620138,[107  21] ; [111   9],[112.51612903  15.48387097] ; [105.48387097  14.51612903],0
r1,1,0.093498,2.813099,[106  21] ; [89 30],[100.67073171  26.32926829] ; [94.32926829 24.67073171],0
a5,1,0.121098,2.403067,[109  19] ; [93 27],[104.25806452  23.74193548] ; [97.74193548 22.25806452],0
s8,1,0.174679,1.842319,[35 93] ; [24 96],[30.4516129 97.5483871] ; [28.5483871 91.4516129],0
n3,1,0.175566,1.834764,[20  6] ; [25 16],[17.46268657  8.53731343] ; [27.53731343 13.46268657],0
