Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,34.495975,[ 9 23] ; [77 15],[22.19354839  9.80645161] ; [63.80645161 28.19354839],1
a2,1,0.000335,12.865004,[ 4 28] ; [45 48],[12.544 19.456] ; [36.456 56.544],1
b1,1,0.000587,11.816527,[24  8] ; [37 56],[15.616 16.384] ; [45.384 47.616],1
d3,1,0.000665,11.584886,[24  8] ; [88  4],[28.90322581  3.09677419] ; [83.09677419  8.90322581],1
b5,1,0.002557,9.099502,[14 18] ; [68 25],[20.992 11.008] ; [61.008 31.992],0
u1,1,0.004904,7.914557,[ 3 29] ; [33 60],[ 9.216 22.784] ; [26.784 66.216],0
r1,1,0.019983,5.41336,[21 11] ; [78 14],[25.5483871  6.4516129] ; [73.4516129 18.5483871],0
d2,1,0.033863,4.50161,[29  2] ; [70 22],[24.95121951  6.04878049] ; [74.04878049 17.95121951],0
r3,1,0.077661,3.113174,[24  8] ; [81 11],[27.09677419  4.90322581] ; [77.90322581 14.09677419],0
s5,1,0.083253,3.000219,[15 16] ; [26 58],[11.05217391 19.94782609] ; [29.94782609 54.05217391],0
s4,1,0.088236,2.906265,[11 21] ; [18 74],[ 7.48387097 24.51612903] ; [21.51612903 70.48387097],0
r4,1,0.091308,2.851157,[22 10] ; [77 16],[25.344  6.656] ; [73.656 19.344],0
v4,1,0.160633,1.968254,[26  5] ; [86  7],[28.  3.] ; [84.  9.],0
p2,1,0.2517,1.313845,[17 14] ; [61 31],[19.65853659 11.34146341] ; [58.34146341 33.65853659],0
p1,1,0.270398,1.214725,[ 5 27] ; [ 8 84],[ 3.35483871 28.64516129] ; [ 9.64516129 82.35483871],0
n1,1,0.3908,0.736453,[10  8] ; [16 21],[8.50909091 9.49090909] ; [17.49090909 19.50909091],0
p5,1,0.392085,0.732467,[ 1 30] ; [ 7 85],[ 2.01626016 28.98373984] ; [ 5.98373984 86.01626016],0
p3,1,0.397459,0.716,[16 15] ; [39 52],[13.97540984 17.02459016] ; [41.02459016 49.97540984],0
n4,1,0.445728,0.581491,[22  9] ; [59 34],[20.25 10.75] ; [60.75 32.25],0
p9,1,0.507335,0.43956,[18 12] ; [60 30],[19.5 10.5] ; [58.5 31.5],0
s6,1,0.581644,0.303584,[21 10] ; [56 34],[19.72727273 11.27272727] ; [57.27272727 32.72727273],0
a4,1,0.589791,0.29067,[21 10] ; [58 35],[19.75 11.25] ; [59.25 33.75],0
n5,1,0.60026,0.274604,[19 12] ; [52 41],[17.75 13.25] ; [53.25 39.75],0
r2,1,0.619252,0.24692,[28  2] ; [87  4],[28.51239669  1.48760331] ; [86.48760331  4.51239669],0
v2,1,0.634481,0.226032,[15 16] ; [48 42],[16.14049587 14.85950413] ; [46.85950413 43.14049587],0
n3,1,0.636583,0.223239,[11  7] ; [25 12],[11.78181818  6.21818182] ; [24.21818182 12.78181818],0
