Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,5e-06,20.883059,[24  5] ; [ 7 23],[15.23728814 13.76271186] ; [15.76271186 14.23728814],1
v4,1,0.000176,14.066063,[26  4] ; [13 19],[18.87096774 11.12903226] ; [20.12903226 11.87096774],1
p2,1,0.000577,11.848149,[19 10] ; [ 7 25],[12.36065574 16.63934426] ; [13.63934426 18.36065574],1
p8,1,0.001015,10.8,[16 14] ; [ 4 26],[10. 20.] ; [10. 20.],0
s6,1,0.003846,8.355361,[14 16] ; [ 4 27],[ 8.85245902 21.14754098] ; [ 9.14754098 21.85245902],0
s8,1,0.00828,6.971875,[10 20] ; [ 2 29],[ 5.90163934 24.09836066] ; [ 6.09836066 24.90163934],0
p11,1,0.020721,5.350142,[15 15] ; [ 7 25],[10.64516129 19.35483871] ; [11.35483871 20.64516129],0
v1,1,0.020721,5.350142,[15 15] ; [ 7 25],[10.64516129 19.35483871] ; [11.35483871 20.64516129],0
u3,1,0.021985,5.246983,[5 5] ; [ 1 12],[2.60869565 7.39130435] ; [3.39130435 9.60869565],0
r1,1,0.02301,5.167752,[18 12] ; [10 22],[13.5483871 16.4516129] ; [14.4516129 17.5483871],0
b4,1,0.025451,4.992944,[24  6] ; [17 15],[19.83870968 10.16129032] ; [21.16129032 10.83870968],0
n6,1,0.028826,4.777994,[20 10] ; [12 19],[15.73770492 14.26229508] ; [16.26229508 14.73770492],0
s7,1,0.032512,4.571276,[10 19] ; [ 3 25],[ 6.61403509 22.38596491] ; [ 6.38596491 21.61403509],0
s2,1,0.039953,4.219875,[ 9 21] ; [ 3 29],[ 5.80645161 24.19354839] ; [ 6.19354839 25.80645161],0
s5,1,0.039953,4.219875,[ 9 21] ; [ 3 29],[ 5.80645161 24.19354839] ; [ 6.19354839 25.80645161],0
r2,1,0.045525,3.999083,[24  5] ; [19 13],[20.44262295  8.55737705] ; [22.55737705  9.44262295],0
p5,1,0.055202,3.67598,[ 7 22] ; [ 2 29],[ 4.35 24.65] ; [ 4.65 26.35],0
