Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,28.542381,[23 33] ; [110  27],[38.59067358 17.40932642] ; [94.40932642 42.59067358],1
d3,1,0.0,25.787117,[39 17] ; [132   6],[49.36082474  6.63917526] ; [121.63917526  16.36082474],1
u1,1,2e-06,23.081248,[ 3 53] ; [56 83],[16.94358974 39.05641026] ; [42.05641026 96.94358974],1
b5,1,4e-06,21.057229,[16 40] ; [90 49],[30.44102564 25.55897436] ; [75.55897436 63.44102564],1
b1,1,0.000127,14.684693,[33 23] ; [41 98],[21.25128205 34.74871795] ; [52.74871795 86.25128205],1
a2,1,0.000174,14.091405,[10 46] ; [65 74],[21.53846154 34.46153846] ; [53.46153846 85.53846154],1
p12,1,0.014954,5.921869,[ 2 53] ; [ 23 115],[ 7.12435233 47.87564767] ; [ 17.87564767 120.12435233],0
s2,1,0.025685,4.977124,[35 21] ; [107  30],[41.20207254 14.79792746] ; [100.79792746  36.20207254],0
u4,1,0.038718,4.273196,[ 3 53] ; [  1 138],[ 1.14871795 54.85128205] ; [  2.85128205 136.14871795],0
v2,1,0.116997,2.457072,[30 26] ; [88 46],[34.77894737 21.22105263] ; [83.22105263 50.77894737],0
p10,1,0.125684,2.345024,[48  8] ; [128  10],[50.80412371  5.19587629] ; [125.19587629  12.80412371],0
r2,1,0.145345,2.120437,[54  2] ; [137   1],[55.13402062  0.86597938] ; [135.86597938   2.13402062],0
a1,1,0.150367,2.068529,[ 6 50] ; [  7 132],[ 3.73333333 52.26666667] ; [  9.26666667 129.73333333],0
v4,1,0.177908,1.815011,[52  4] ; [134   4],[53.69072165  2.30927835] ; [132.30927835   5.69072165],0
p11,1,0.210244,1.569743,[41 15] ; [113  26],[44.22564103 11.77435897] ; [109.77435897  29.22564103],0
s6,1,0.226282,1.464083,[45 10] ; [122  16],[47.59067358  7.40932642] ; [119.40932642  18.59067358],0
a4,1,0.227851,1.454228,[39 17] ; [84 55],[35.32307692 20.67692308] ; [87.67692308 51.32307692],0
b4,1,0.227851,1.454228,[39 17] ; [84 55],[35.32307692 20.67692308] ; [87.67692308 51.32307692],0
p2,1,0.245926,1.346303,[46 10] ; [122  16],[48.49484536  7.50515464] ; [119.50515464  18.49484536],0
p9,1,0.253822,1.302145,[49  7] ; [126  10],[51.04166667  4.95833333] ; [123.95833333  12.04166667],0
r1,1,0.2539,1.301714,[46 10] ; [121  16],[48.45595855  7.54404145] ; [118.54404145  18.45595855],0
s4,1,0.290303,1.118215,[17 38] ; [ 32 104],[14.10994764 40.89005236] ; [ 34.89005236 101.10994764],0
v1,1,0.292,1.110377,[34 22] ; [94 43],[37.13989637 18.86010363] ; [90.86010363 46.13989637],0
s7,1,0.303942,1.056818,[33 21] ; [91 41],[36. 18.] ; [88. 44.],0
s3,1,0.339967,0.910554,[38 18] ; [100  34],[40.67368421 15.32631579] ; [97.32631579 36.67368421],0
