Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,26.05042,[ 7 27] ; [24  4],[17. 17.] ; [14. 14.],1
p2,1,0.000183,13.996542,[ 8 27] ; [19  8],[15.24193548 19.75806452] ; [11.75806452 15.24193548],1
n6,1,0.000418,12.451202,[11 23] ; [21  6],[17.83606557 16.16393443] ; [14.16393443 12.83606557],1
r3,1,0.001423,10.176188,[16 19] ; [23  4],[22.01612903 12.98387097] ; [16.98387097 10.01612903],0
s8,1,0.002585,9.079412,[ 2 33] ; [10 18],[ 6.66666667 28.33333333] ; [ 5.33333333 22.66666667],0
p11,1,0.004017,8.275909,[11 24] ; [19  9],[16.66666667 18.33333333] ; [13.33333333 14.66666667],0
p6,1,0.016763,5.721038,[ 3 31] ; [ 9 18],[ 6.68852459 27.31147541] ; [ 5.31147541 21.68852459],0
n5,1,0.026179,4.94413,[18 17] ; [22  6],[22.22222222 12.77777778] ; [17.77777778 10.22222222],0
s3,1,0.029241,4.753345,[ 9 25] ; [15 13],[13.16129032 20.83870968] ; [10.83870968 17.16129032],0
p5,1,0.048047,3.908338,[ 1 33] ; [ 5 23],[ 3.29032258 30.70967742] ; [ 2.70967742 25.29032258],0
p7,1,0.048595,3.889286,[ 8 27] ; [13 15],[11.66666667 23.33333333] ; [ 9.33333333 18.66666667],0
s6,1,0.055265,3.674061,[ 8 27] ; [12 14],[11.47540984 23.52459016] ; [ 8.52459016 17.47540984],0
n3,1,0.072461,3.226364,[6 9] ; [5 1],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
a1,1,0.088531,2.900893,[ 6 29] ; [ 1 27],[ 3.88888889 31.11111111] ; [ 3.11111111 24.88888889],0
p3,1,0.092423,2.831649,[ 6 29] ; [10 18],[ 8.88888889 26.11111111] ; [ 7.11111111 20.88888889],0
s7,1,0.103416,2.652055,[ 4 28] ; [ 8 19],[ 6.50847458 25.49152542] ; [ 5.49152542 21.50847458],0
b3,1,0.10564,2.618257,[ 6 17] ; [10 10],[ 8.55813953 14.44186047] ; [ 7.44186047 12.55813953],0
b2,1,0.10564,2.618257,[ 6 17] ; [10 10],[ 8.55813953 14.44186047] ; [ 7.44186047 12.55813953],0
v2,1,0.143507,2.139946,[10 25] ; [13 15],[12.77777778 22.22222222] ; [10.22222222 17.77777778],0
a8,1,0.153029,2.04179,[ 4 30] ; [ 7 20],[ 6.13114754 27.86885246] ; [ 4.86885246 22.13114754],0
s2,1,0.164827,1.929375,[ 6 29] ; [ 9 19],[ 8.33333333 26.66666667] ; [ 6.66666667 21.33333333],0
a6,1,0.175806,1.832727,[21 14] ; [12 16],[18.33333333 16.66666667] ; [14.66666667 13.33333333],0
n4,1,0.176875,1.823684,[22 13] ; [22  6],[24.44444444 10.55555556] ; [19.55555556  8.44444444],0
a5,1,0.188134,1.732173,[18 17] ; [19  9],[20.55555556 14.44444444] ; [16.44444444 11.55555556],0
u1,1,0.203784,1.615042,[ 1 34] ; [ 3 25],[ 2.22222222 32.77777778] ; [ 1.77777778 26.22222222],0
b4,1,0.209482,1.575,[21 14] ; [21  7],[23.33333333 11.66666667] ; [18.66666667  9.33333333],0
s5,1,0.224271,1.476828,[ 4 31] ; [ 6 20],[ 5.73770492 29.26229508] ; [ 4.26229508 21.73770492],0
p4,1,0.250186,1.322267,[ 9 26] ; [11 17],[11.11111111 23.88888889] ; [ 8.88888889 19.11111111],0
u3,1,0.285683,1.139855,[ 1 15] ; [2 8],[ 1.84615385 14.15384615] ; [1.15384615 8.84615385],0
r4,1,0.390136,0.738517,[ 9 26] ; [10 18],[10.55555556 24.44444444] ; [ 8.44444444 19.55555556],0
a7,1,0.397489,0.715909,[20 15] ; [13 15],[18.33333333 16.66666667] ; [14.66666667 13.33333333],0
p12,1,0.407745,0.685368,[ 1 34] ; [ 2 25],[ 1.69354839 33.30645161] ; [ 1.30645161 25.69354839],0
u2,1,0.420113,0.65,[ 4 12] ; [4 6],[ 4.92307692 11.07692308] ; [3.07692308 6.92307692],0
v1,1,0.449296,0.572428,[ 8 26] ; [ 9 19],[ 9.32258065 24.67741935] ; [ 7.67741935 20.32258065],0
n1,1,0.451967,0.565714,[6 9] ; [4 3],[6.81818182 8.18181818] ; [3.18181818 3.81818182],0
p1,1,0.473289,0.514286,[ 3 32] ; [ 4 24],[ 3.88888889 31.11111111] ; [ 3.11111111 24.88888889],0
d1,1,0.486339,0.484615,[12 23] ; [12 16],[13.33333333 21.66666667] ; [10.66666667 17.33333333],0
a3,1,0.502049,0.450602,[19 15] ; [18 10],[20.29032258 13.70967742] ; [16.70967742 11.29032258],0
d5,1,0.519798,0.414293,[21 14] ; [19  9],[22.22222222 12.77777778] ; [17.77777778 10.22222222],0
d4,1,0.574628,0.315,[24 11] ; [21  7],[25. 10.] ; [20.  8.],0
r2,1,0.586094,0.296486,[20 14] ; [14 13],[18.95081967 15.04918033] ; [15.04918033 11.95081967],0
v3,1,0.635256,0.225,[ 7 28] ; [ 7 21],[ 7.77777778 27.22222222] ; [ 6.22222222 21.77777778],0
n2,1,0.647141,0.209524,[7 8] ; [4 3],[7.5 7.5] ; [3.5 3.5],0
a2,1,0.672254,0.178977,[ 5 30] ; [ 3 25],[ 4.44444444 30.55555556] ; [ 3.55555556 24.44444444],0
p8,1,0.679264,0.170956,[ 7 27] ; [ 7 21],[ 7.67741935 26.32258065] ; [ 6.32258065 21.67741935],0
d2,1,0.779447,0.078423,[17 17] ; [13 15],[16.4516129 17.5483871] ; [13.5483871 14.4516129],0
a4,1,0.794159,0.068076,[12 22] ; [ 9 19],[11.51612903 22.48387097] ; [ 9.48387097 18.51612903],0
s1,1,0.834883,0.043448,[ 3 32] ; [ 2 26],[ 2.77777778 32.22222222] ; [ 2.22222222 25.77777778],0
b5,1,0.865621,0.028636,[18 17] ; [15 13],[18.33333333 16.66666667] ; [14.66666667 13.33333333],0
b1,1,0.865621,0.028636,[18 17] ; [15 13],[18.33333333 16.66666667] ; [14.66666667 13.33333333],0
d3,1,0.954926,0.003195,[16 19] ; [13 15],[16.11111111 18.88888889] ; [12.88888889 15.11111111],0
r1,1,1.0,0.0,[15 20] ; [12 16],[15. 20.] ; [12. 16.],0
