Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.002304,9.290062,[26  1] ; [19 11],[21.31578947  5.68421053] ; [23.68421053  6.31578947],0
a4,1,0.004121,8.229608,[13 14] ; [ 4 26],[ 8.05263158 18.94736842] ; [ 8.94736842 21.05263158],0
s2,1,0.006514,7.402293,[22  5] ; [14 16],[17.05263158  9.94736842] ; [18.94736842 11.05263158],0
s3,1,0.006514,7.402293,[22  5] ; [14 16],[17.05263158  9.94736842] ; [18.94736842 11.05263158],0
s7,1,0.010445,6.557319,[17  8] ; [10 20],[12.27272727 12.72727273] ; [14.72727273 15.27272727],0
b5,1,0.025836,4.966975,[13 14] ; [23  7],[17.05263158  9.94736842] ; [18.94736842 11.05263158],0
p1,1,0.030048,4.706571,[ 6 21] ; [ 1 29],[ 3.31578947 23.68421053] ; [ 3.68421053 26.31578947],0
r4,1,0.03092,4.657378,[25  2] ; [21  9],[21.78947368  5.21052632] ; [24.21052632  5.78947368],0
d1,1,0.049737,3.850289,[16 11] ; [10 20],[12.31578947 14.68421053] ; [13.68421053 16.31578947],0
d2,1,0.049986,3.841937,[13 14] ; [ 7 23],[ 9.47368421 17.52631579] ; [10.52631579 19.47368421],0
s8,1,0.049986,3.841937,[13 14] ; [ 7 23],[ 9.47368421 17.52631579] ; [10.52631579 19.47368421],0
p3,1,0.049986,3.841937,[13 14] ; [ 7 23],[ 9.47368421 17.52631579] ; [10.52631579 19.47368421],0
b2,1,0.059635,3.547513,[7 8] ; [ 2 12],[ 4.65517241 10.34482759] ; [4.34482759 9.65517241],0
b3,1,0.059635,3.547513,[7 8] ; [ 2 12],[ 4.65517241 10.34482759] ; [4.34482759 9.65517241],0
p6,1,0.060969,3.510827,[13 14] ; [ 7 22],[ 9.64285714 17.35714286] ; [10.35714286 18.64285714],0
p4,1,0.091374,2.85,[15 12] ; [10 20],[11.84210526 15.15789474] ; [13.15789474 16.84210526],0
a7,1,0.094622,2.793924,[17 10] ; [24  5],[19.76785714  7.23214286] ; [21.23214286  7.76785714],0
b4,1,0.105049,2.62716,[20  7] ; [16 14],[17.05263158  9.94736842] ; [18.94736842 11.05263158],0
a5,1,0.128668,2.3085,[18  9] ; [14 16],[15.15789474 11.84210526] ; [16.84210526 13.15789474],0
d4,1,0.137305,2.207905,[24  3] ; [22  8],[21.78947368  5.21052632] ; [24.21052632  5.78947368],0
d5,1,0.150855,2.063583,[23  4] ; [20  9],[20.73214286  6.26785714] ; [22.26785714  6.73214286],0
d3,1,0.164645,1.931034,[18  9] ; [24  5],[20.25  6.75] ; [21.75  7.25],0
p9,1,0.1726,1.860213,[22  4] ; [20  9],[19.85454545  6.14545455] ; [22.14545455  6.85454545],0
v1,1,0.188311,1.730779,[12 15] ; [ 8 21],[ 9.64285714 17.35714286] ; [10.35714286 18.64285714],0
a6,1,0.248664,1.330792,[13 14] ; [19 11],[15.15789474 11.84210526] ; [16.84210526 13.15789474],0
p2,1,0.253692,1.302857,[18  9] ; [24  6],[19.89473684  7.10526316] ; [22.10526316  7.89473684],0
p10,1,0.27978,1.168157,[22  5] ; [20  9],[20.25  6.75] ; [21.75  7.25],0
n3,1,0.285049,1.142857,[5 5] ; [10  4],[6.25 3.75] ; [8.75 5.25],0
u3,1,0.403713,0.697239,[8 2] ; [9 5],[7.08333333 2.91666667] ; [9.91666667 4.08333333],0
u2,1,0.407626,0.685714,[6 4] ; [6 8],[5. 5.] ; [7. 7.],0
n5,1,0.438727,0.59961,[ 9 18] ; [13 17],[10.42105263 16.57894737] ; [11.57894737 18.42105263],0
a3,1,0.462196,0.540572,[17 10] ; [16 14],[15.63157895 11.36842105] ; [17.36842105 12.63157895],0
v4,1,0.466671,0.529847,[25  2] ; [26  4],[24.15789474  2.84210526] ; [26.84210526  3.15789474],0
p8,1,0.550944,0.355629,[11 15] ; [10 19],[ 9.92727273 16.07272727] ; [11.07272727 17.92727273],0
u1,1,0.553678,0.350769,[ 3 24] ; [ 2 28],[ 2.36842105 24.63157895] ; [ 2.63157895 27.36842105],0
a2,1,0.553678,0.350769,[ 3 24] ; [ 2 28],[ 2.36842105 24.63157895] ; [ 2.63157895 27.36842105],0
n1,1,0.558185,0.342857,[4 6] ; [ 4 10],[3.33333333 6.66666667] ; [4.66666667 9.33333333],0
r2,1,0.61693,0.250206,[26  1] ; [28  2],[25.57894737  1.42105263] ; [28.42105263  1.57894737],0
v2,1,0.619472,0.246611,[11 15] ; [10 18],[10.11111111 15.88888889] ; [10.88888889 17.11111111],0
r1,1,0.628531,0.234058,[17 10] ; [17 13],[16.10526316 10.89473684] ; [17.89473684 12.10526316],0
n2,1,0.632585,0.228571,[8 2] ; [10  4],[7.5 2.5] ; [10.5  3.5],0
p11,1,0.652577,0.202667,[16 11] ; [16 14],[15.15789474 11.84210526] ; [16.84210526 13.15789474],0
n6,1,0.672407,0.178799,[20  7] ; [20  9],[19.28571429  7.71428571] ; [20.71428571  8.28571429],0
b1,1,0.7639,0.090218,[ 8 19] ; [10 20],[ 8.52631579 18.47368421] ; [ 9.47368421 20.52631579],0
v3,1,0.812864,0.056043,[ 7 19] ; [ 7 22],[ 6.61818182 19.38181818] ; [ 7.38181818 21.61818182],0
p7,1,0.833098,0.044407,[15 10] ; [16 12],[14.62264151 10.37735849] ; [16.37735849 11.62264151],0
