Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2.6e-05,17.671602,[30 68] ; [18  5],[38.87603306 59.12396694] ; [ 9.12396694 13.87603306],1
s4,1,0.0006,11.775324,[10 88] ; [ 9 14],[15.38842975 82.61157025] ; [ 3.61157025 19.38842975],1
s7,1,0.000921,10.980788,[18 73] ; [12 10],[24.15929204 66.84070796] ; [ 5.84070796 16.15929204],1
p12,1,0.001178,10.525124,[ 3 95] ; [ 5 18],[ 6.47933884 91.52066116] ; [ 1.52066116 21.47933884],0
s8,1,0.006752,7.337877,[17 81] ; [10 13],[21.8677686 76.1322314] ; [ 5.1322314 17.8677686],0
n6,1,0.011238,6.427229,[57 40] ; [20  3],[62.24166667 34.75833333] ; [14.75833333  8.24166667],0
r3,1,0.038827,4.268439,[69 29] ; [21  2],[72.89256198 25.10743802] ; [17.10743802  5.89256198],0
p4,1,0.048527,3.891632,[20 76] ; [ 9 13],[23.59322034 72.40677966] ; [ 5.40677966 16.59322034],0
r4,1,0.05253,3.758799,[60 38] ; [19  4],[63.98347107 34.01652893] ; [15.01652893  7.98347107],0
d2,1,0.064162,3.4264,[42 54] ; [15  8],[45.98319328 50.01680672] ; [11.01680672 11.98319328],0
v2,1,0.066647,3.363735,[33 60] ; [12  9],[36.71052632 56.28947368] ; [ 8.28947368 12.71052632],0
p1,1,0.07733,3.120153,[ 6 92] ; [ 4 19],[ 8.09917355 89.90082645] ; [ 1.90082645 21.09917355],0
d4,1,0.100324,2.700379,[68 29] ; [20  3],[71.13333333 25.86666667] ; [16.86666667  6.13333333],0
a5,1,0.117768,2.446761,[55 43] ; [17  6],[58.31404959 39.68595041] ; [13.68595041  9.31404959],0
p6,1,0.136175,2.220657,[10 87] ; [ 5 18],[12.125 84.875] ; [ 2.875 20.125],0
p10,1,0.193248,1.69268,[42 54] ; [13  9],[44.74576271 51.25423729] ; [10.25423729 11.74576271],0
