Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,99.350563,[ 49 129] ; [277 107],[103.25266904  74.74733096] ; [222.74733096 161.25266904],1
s2,1,0.0,98.254024,[ 38 141] ; [256 132],[92.81481481 86.18518519] ; [201.18518519 186.81481481],1
s7,1,0.0,63.151469,[ 47 122] ; [245 135],[89.8870674 79.1129326] ; [202.1129326 177.8870674],1
s8,1,0.0,52.720678,[ 47 134] ; [228 161],[87.3245614 93.6754386] ; [187.6754386 201.3245614],1
s5,1,0.0,40.334191,[ 26 149] ; [161 220],[ 58.85791367 116.14208633] ; [128.14208633 252.85791367],1
s4,1,0.000199,13.836553,[ 11 170] ; [ 68 316],[ 25.3079646 155.6920354] ; [ 53.6920354 330.3079646],1
p12,1,0.000206,13.772552,[  6 172] ; [ 53 336],[ 18.52204586 159.47795414] ; [ 40.47795414 348.52204586],1
p9,1,0.000271,13.264281,[146  33] ; [356  31],[158.75971731  20.24028269] ; [343.24028269  43.75971731],1
n5,1,0.000309,13.013356,[142  38] ; [351  39],[155.68421053  24.31578947] ; [337.31578947  52.68421053],1
p6,1,0.000713,11.454898,[ 52 125] ; [171 214],[ 70.23309609 106.76690391] ; [152.76690391 232.23309609],1
p5,1,0.000947,10.927855,[ 11 168] ; [ 63 326],[ 23.32042254 155.67957746] ; [ 50.67957746 338.32042254],1
p4,1,0.001271,10.384338,[100  80] ; [270 119],[117.04745167  62.95254833] ; [252.95254833 136.04745167],0
u1,1,0.007355,7.184152,[ 23 158] ; [ 87 305],[ 34.7469459 146.2530541] ; [ 75.2530541 316.7469459],0
p10,1,0.009184,6.786703,[147  32] ; [348  39],[156.5459364  22.4540636] ; [338.4540636  48.5459364],0
n6,1,0.016265,5.773979,[154  26] ; [359  31],[162.  18.] ; [351.  39.],0
p7,1,0.03835,4.289434,[110  70] ; [265 114],[120.75134168  59.24865832] ; [254.24865832 124.75134168],0
v1,1,0.042032,4.133919,[92 85] ; [231 147],[103.01081081  73.98918919] ; [219.98918919 158.01081081],0
a2,1,0.042739,4.105699,[ 36 145] ; [109 283],[ 45.80279232 135.19720768] ; [ 99.19720768 292.80279232],0
r1,1,0.049175,3.869369,[140  41] ; [329  62],[148.40734266  32.59265734] ; [320.59265734  70.40734266],0
v4,1,0.057994,3.593838,[169  11] ; [379  11],[173.05263158   6.94736842] ; [374.94736842  15.05263158],0
d5,1,0.06871,3.313581,[143  38] ; [332  58],[150.56917688  30.43082312] ; [324.43082312  65.56917688],0
p2,1,0.089829,2.877437,[148  31] ; [343  47],[154.46221441  24.53778559] ; [336.53778559  53.46221441],0
r4,1,0.091453,2.848612,[161  20] ; [365  27],[166.15357766  14.84642234] ; [359.84642234  32.15357766],0
b5,1,0.11058,2.54592,[99 82] ; [242 150],[107.71553229  73.28446771] ; [233.28446771 158.71553229],0
u2,1,0.113595,2.503475,[27 25] ; [62 33],[31.4829932 20.5170068] ; [57.5170068 37.4829932],0
u3,1,0.123737,2.369373,[26 27] ; [59 36],[30.43918919 22.56081081] ; [54.56081081 40.43918919],0
p1,1,0.130409,2.287624,[ 22 158] ; [ 32 357],[ 17.08260105 162.91739895] ; [ 36.91739895 352.08260105],0
p3,1,0.136891,2.212568,[89 90] ; [220 170],[97.20738137 81.79261863] ; [211.79261863 178.20738137],0
d4,1,0.15056,2.066564,[144  36] ; [330  59],[149.94727592  30.05272408] ; [324.05272408  64.94727592],0
