Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.7e-05,17.615697,[17  6] ; [16 49],[ 8.625 14.375] ; [24.375 40.625],1
p11,1,7.1e-05,15.794447,[24  3] ; [29 37],[15.38709677 11.61290323] ; [37.61290323 28.38709677],1
p4,1,0.000185,13.974047,[19  7] ; [20 46],[11.02173913 14.97826087] ; [27.97826087 38.02173913],1
p5,1,0.001717,9.829536,[ 8 18] ; [ 4 61],[ 3.42857143 22.57142857] ; [ 8.57142857 56.42857143],0
p3,1,0.004962,7.89319,[15 12] ; [16 48],[ 9.1978022 17.8021978] ; [21.8021978 42.1978022],0
p10,1,0.013195,6.142717,[18  5] ; [32 34],[12.92134831 10.07865169] ; [37.07865169 28.92134831],0
p6,1,0.020214,5.393351,[11 15] ; [12 52],[ 6.64444444 19.35555556] ; [16.35555556 47.64444444],0
v4,1,0.029671,4.728261,[20  3] ; [40 24],[15.86206897  7.13793103] ; [44.13793103 19.86206897],0
n2,1,0.036807,4.35932,[11  3] ; [13 16],[7.81395349 6.18604651] ; [16.18604651 12.81395349],0
p2,1,0.081231,3.040099,[19  7] ; [34 30],[15.31111111 10.68888889] ; [37.68888889 26.31111111],0
p9,1,0.137761,2.202797,[19  7] ; [36 28],[15.88888889 10.11111111] ; [39.11111111 24.88888889],0
u3,1,0.169084,1.891045,[7 4] ; [ 8 13],[5.15625 5.84375] ; [ 9.84375 11.15625],0
b1,1,0.179625,1.800723,[11 16] ; [37 29],[13.93548387 13.06451613] ; [34.06451613 31.93548387],0
s4,1,0.187741,1.735256,[ 6 20] ; [ 8 58],[ 3.95652174 22.04347826] ; [10.04347826 55.95652174],0
s7,1,0.203491,1.617138,[12 13] ; [20 40],[ 9.41176471 15.58823529] ; [22.58823529 37.41176471],0
a2,1,0.222361,1.48907,[ 7 20] ; [10 56],[ 4.93548387 22.06451613] ; [12.06451613 53.93548387],0
a3,1,0.24803,1.334366,[15 12] ; [45 21],[17.41935484  9.58064516] ; [42.58064516 23.41935484],0
s8,1,0.254565,1.298076,[ 8 18] ; [13 53],[ 5.93478261 20.06521739] ; [15.06521739 50.93478261],0
v1,1,0.254832,1.29662,[12 14] ; [21 42],[ 9.64044944 16.35955056] ; [23.35955056 39.64044944],0
n3,1,0.274689,1.193182,[5 9] ; [15 13],[6.66666667 7.33333333] ; [13.33333333 14.66666667],0
n6,1,0.290001,1.119617,[18  7] ; [39 26],[15.83333333  9.16666667] ; [41.16666667 23.83333333],0
b4,1,0.291915,1.11077,[14 13] ; [42 24],[16.25806452 10.74193548] ; [39.74193548 26.25806452],0
d1,1,0.291915,1.11077,[14 13] ; [42 24],[16.25806452 10.74193548] ; [39.74193548 26.25806452],0
n1,1,0.316642,1.002766,[6 8] ; [ 8 21],[4.55813953 9.44186047] ; [ 9.44186047 19.55813953],0
d4,1,0.322011,0.980761,[21  6] ; [56  9],[22.59782609  4.40217391] ; [54.40217391 10.59782609],0
r3,1,0.376543,0.781958,[17  8] ; [37 27],[15.16853933  9.83146067] ; [38.83146067 25.16853933],0
s2,1,0.384583,0.756002,[10 14] ; [21 45],[ 8.26666667 15.73333333] ; [22.73333333 43.26666667],0
a6,1,0.450431,0.569567,[19  8] ; [41 25],[17.41935484  9.58064516] ; [42.58064516 23.41935484],0
a4,1,0.457357,0.552356,[11 16] ; [32 33],[12.61956522 14.38043478] ; [30.38043478 34.61956522],0
n5,1,0.483216,0.491597,[17  8] ; [39 26],[15.55555556  9.44444444] ; [40.44444444 24.55555556],0
p1,1,0.5436,0.368909,[ 3 23] ; [ 5 61],[ 2.26086957 23.73913043] ; [ 5.73913043 60.26086957],0
a7,1,0.548673,0.359699,[18  9] ; [39 26],[16.72826087 10.27173913] ; [40.27173913 24.72826087],0
u1,1,0.568348,0.325455,[ 4 23] ; [ 7 59],[ 3.19354839 23.80645161] ; [ 7.80645161 58.19354839],0
s1,1,0.578599,0.308506,[ 2 25] ; [ 3 63],[ 1.4516129 25.5483871] ; [ 3.5483871 62.4516129],0
b5,1,0.613801,0.254676,[14 13] ; [38 28],[15.09677419 11.90322581] ; [36.90322581 29.09677419],0
d2,1,0.664301,0.188341,[13 14] ; [34 30],[13.94505495 13.05494505] ; [33.05494505 30.94505495],0
b3,1,0.709083,0.139194,[ 6 15] ; [12 24],[ 6.63157895 14.36842105] ; [11.36842105 24.63157895],0
b2,1,0.709083,0.139194,[ 6 15] ; [12 24],[ 6.63157895 14.36842105] ; [11.36842105 24.63157895],0
s5,1,0.755388,0.097059,[ 6 18] ; [14 50],[ 5.45454545 18.54545455] ; [14.54545455 49.45454545],0
s6,1,0.772875,0.083299,[11 13] ; [28 38],[10.4 13.6] ; [28.6 37.4],0
a5,1,0.774612,0.081995,[18  9] ; [46 20],[18.58064516  8.41935484] ; [45.41935484 20.58064516],0
r1,1,0.798005,0.0655,[ 8 17] ; [23 43],[ 8.51648352 16.48351648] ; [22.48351648 43.51648352],0
d3,1,0.80952,0.058103,[18  9] ; [45 20],[18.48913043  8.51086957] ; [44.51086957 20.48913043],0
n4,1,0.841304,0.04009,[17 10] ; [43 23],[17.41935484  9.58064516] ; [42.58064516 23.41935484],0
u2,1,0.854,0.033862,[7 5] ; [11  9],[6.75 5.25] ; [11.25  8.75],0
v2,1,0.893083,0.018064,[13 13] ; [31 33],[12.71111111 13.28888889] ; [31.28888889 32.71111111],0
s3,1,0.914478,0.011533,[10 13] ; [27 37],[ 9.7816092 13.2183908] ; [27.2183908 36.7816092],0
v3,1,0.9408,0.005515,[ 7 18] ; [19 47],[ 7.14285714 17.85714286] ; [18.85714286 47.14285714],0
a1,1,0.943107,0.005093,[ 3 24] ; [ 7 59],[ 2.90322581 24.09677419] ; [ 7.09677419 58.90322581],0
r2,1,0.985167,0.000346,[15  8] ; [39 21],[14.96385542  8.03614458] ; [39.03614458 20.96385542],0
