Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3e-06,21.754538,[21 23] ; [56  7],[31.6635514 12.3364486] ; [45.3364486 17.6635514],1
p4,1,0.000102,15.100621,[ 6 44] ; [29 34],[15.48672566 34.51327434] ; [19.51327434 43.48672566],1
p10,1,0.00086,11.107119,[20 28] ; [46 17],[28.54054054 19.45945946] ; [37.45945946 25.54054054],1
v4,1,0.000921,10.979866,[29 21] ; [54  9],[36.72566372 13.27433628] ; [46.27433628 16.72566372],1
r3,1,0.000994,10.83871,[30 20] ; [54  8],[37.5 12.5] ; [46.5 15.5],1
p1,1,0.001839,9.703623,[11 39] ; [ 2 61],[ 5.75221239 44.24778761] ; [ 7.24778761 55.75221239],0
a1,1,0.004945,7.899575,[ 8 42] ; [ 1 62],[ 3.98230088 46.01769912] ; [ 5.01769912 57.98230088],0
p11,1,0.006096,7.521622,[23 27] ; [45 18],[30.08849558 19.91150442] ; [37.91150442 25.08849558],0
s2,1,0.006299,7.462846,[10 40] ; [28 35],[16.81415929 33.18584071] ; [21.18584071 41.81415929],0
r4,1,0.014346,5.995092,[17 33] ; [36 27],[23.45132743 26.54867257] ; [29.54867257 33.45132743],0
s6,1,0.015446,5.864861,[13 37] ; [30 32],[19.19642857 30.80357143] ; [23.80357143 38.19642857],0
n3,1,0.025767,4.971591,[ 9 13] ; [15  5],[12.57142857  9.42857143] ; [11.42857143  8.57142857],0
s3,1,0.028788,4.780247,[12 37] ; [28 35],[17.5 31.5] ; [22.5 40.5],0
p6,1,0.031985,4.599297,[ 4 44] ; [15 48],[ 8.21621622 39.78378378] ; [10.78378378 52.21621622],0
p8,1,0.033125,4.539289,[ 5 45] ; [16 46],[ 9.375 40.625] ; [11.625 50.375],0
n6,1,0.041856,4.141022,[31 19] ; [50 13],[35.84070796 14.15929204] ; [45.15929204 17.84070796],0
p3,1,0.048406,3.895846,[ 7 42] ; [19 44],[11.375 37.625] ; [14.625 48.375],0
a8,1,0.052309,3.765846,[ 2 47] ; [ 9 49],[ 5.03738318 43.96261682] ; [ 5.96261682 52.03738318],0
s8,1,0.074044,3.191014,[ 6 44] ; [16 47],[ 9.73451327 40.26548673] ; [12.26548673 50.73451327],0
