Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-06,22.837693,[ 3 27] ; [20  8],[11.89655172 18.10344828] ; [11.10344828 16.89655172],1
r4,1,0.000143,14.464286,[12 20] ; [24  4],[19.2 12.8] ; [16.8 11.2],1
s8,1,0.002807,8.928571,[ 3 29] ; [12 16],[ 8. 24.] ; [ 7. 21.],0
s7,1,0.007728,7.095517,[ 5 25] ; [13 13],[ 9.64285714 20.35714286] ; [ 8.35714286 17.64285714],0
a7,1,0.022693,5.191883,[13 18] ; [20  8],[17.33898305 13.66101695] ; [15.66101695 12.33898305],0
v4,1,0.023897,5.102111,[19 13] ; [24  4],[22.93333333  9.06666667] ; [20.06666667  7.93333333],0
s3,1,0.030855,4.661028,[10 22] ; [16 11],[14.10169492 17.89830508] ; [11.89830508 15.10169492],0
r3,1,0.039241,4.250392,[17 15] ; [22  6],[20.8 11.2] ; [18.2  9.8],0
a5,1,0.041327,4.162548,[11 21] ; [17 11],[14.93333333 17.06666667] ; [13.06666667 14.93333333],0
u3,1,0.057681,3.602826,[ 5 15] ; [8 6],[ 7.64705882 12.35294118] ; [5.35294118 8.64705882],0
s5,1,0.08232,3.018495,[ 2 29] ; [ 6 21],[ 4.27586207 26.72413793] ; [ 3.72413793 23.27586207],0
v1,1,0.143235,2.142857,[ 8 24] ; [12 16],[10.66666667 21.33333333] ; [ 9.33333333 18.66666667],0
s2,1,0.143235,2.142857,[ 8 24] ; [12 16],[10.66666667 21.33333333] ; [ 9.33333333 18.66666667],0
n6,1,0.145727,2.116418,[17 15] ; [20  8],[19.73333333 12.26666667] ; [17.26666667 10.73333333],0
r2,1,0.153662,2.035516,[24  8] ; [25  3],[26.13333333  5.86666667] ; [22.86666667  5.13333333],0
d2,1,0.194238,1.685177,[ 9 23] ; [ 4 24],[ 6.93333333 25.06666667] ; [ 6.06666667 21.93333333],0
b3,1,0.200618,1.637868,[ 6 10] ; [ 3 14],[ 4.36363636 11.63636364] ; [ 4.63636364 12.36363636],0
b2,1,0.200618,1.637868,[ 6 10] ; [ 3 14],[ 4.36363636 11.63636364] ; [ 4.63636364 12.36363636],0
s4,1,0.211894,1.558442,[ 4 28] ; [ 7 21],[ 5.86666667 26.13333333] ; [ 5.13333333 22.86666667],0
a1,1,0.211894,1.558442,[ 4 28] ; [ 1 27],[ 2.66666667 29.33333333] ; [ 2.33333333 25.66666667],0
a3,1,0.213174,1.549741,[12 20] ; [14 12],[14.34482759 17.65517241] ; [11.65517241 14.34482759],0
n2,1,0.2261,1.465231,[5 6] ; [11  5],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
p10,1,0.254978,1.295823,[10 20] ; [13 14],[12.10526316 17.89473684] ; [10.89473684 16.10526316],0
a8,1,0.272464,1.204301,[ 3 28] ; [ 5 20],[ 4.42857143 26.57142857] ; [ 3.57142857 21.42857143],0
