Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,9.1e-05,15.319334,[28 12] ; [36 70],[17.53424658 22.46575342] ; [46.46575342 59.53424658],1
r4,1,0.016114,5.790379,[38  2] ; [86 24],[33.06666667  6.93333333] ; [90.93333333 19.06666667],0
a3,1,0.022841,5.180534,[32  8] ; [66 44],[26.13333333 13.86666667] ; [71.86666667 38.13333333],0
s7,1,0.078949,3.086412,[27 11] ; [58 48],[22.43055556 15.56944444] ; [62.56944444 43.43055556],0
d1,1,0.084146,2.982955,[26 14] ; [54 56],[21.33333333 18.66666667] ; [58.66666667 51.33333333],0
d4,1,0.090317,2.868722,[35  5] ; [82 28],[31.2  8.8] ; [85.8 24.2],0
r2,1,0.100261,2.701387,[39  1] ; [96 12],[36.48648649  3.51351351] ; [98.51351351  9.48648649],0
p3,1,0.132618,2.261584,[23 17] ; [48 62],[18.93333333 21.06666667] ; [52.06666667 57.93333333],0
a8,1,0.14831,2.089552,[ 3 32] ; [  3 102],[ 1.5 33.5] ; [  4.5 100.5],0
s8,1,0.151538,2.056704,[22 18] ; [46 64],[18.13333333 21.86666667] ; [49.86666667 60.13333333],0
p7,1,0.168746,1.894049,[27 12] ; [60 46],[23.4 15.6] ; [63.6 42.4],0
n6,1,0.20127,1.633138,[35  5] ; [86 24],[32.26666667  7.73333333] ; [88.73333333 21.26666667],0
d2,1,0.205989,1.599395,[21 19] ; [45 65],[17.6 22.4] ; [48.4 61.6],0
r3,1,0.207752,1.587019,[38  2] ; [95 13],[35.94594595  4.05405405] ; [97.05405405 10.94594595],0
v4,1,0.213293,1.548932,[39  1] ; [100   9],[37.31543624  2.68456376] ; [101.68456376   7.31543624],0
p1,1,0.21733,1.521916,[ 1 39] ; [  9 101],[ 2.66666667 37.33333333] ; [  7.33333333 102.66666667],0
n1,1,0.223474,1.48192,[ 2 11] ; [11 22],[3.67391304 9.32608696] ; [ 9.32608696 23.67391304],0
a2,1,0.229965,1.441079,[10 30] ; [18 92],[ 7.46666667 32.53333333] ; [20.53333333 89.46666667],0
d5,1,0.243538,1.359999,[34  6] ; [83 26],[31.40939597  8.59060403] ; [85.59060403 23.40939597],0
d3,1,0.253344,1.304769,[32  8] ; [77 32],[29.26174497 10.73825503] ; [79.73825503 29.26174497],0
