Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.011108,6.447932,[ 5 16] ; [6 2],[ 7.96551724 13.03448276] ; [3.03448276 4.96551724],0
b1,1,0.012585,6.226517,[22 37] ; [19 10],[27.48863636 31.51136364] ; [13.51136364 15.48863636],0
p6,1,0.016927,5.703979,[12 46] ; [12 14],[16.57142857 41.42857143] ; [ 7.42857143 18.57142857],0
s8,1,0.050089,3.83847,[15 44] ; [13 15],[18.98850575 40.01149425] ; [ 9.01149425 18.98850575],0
a6,1,0.053317,3.733957,[41 18] ; [14 15],[36.875 22.125] ; [18.125 10.875],0
p8,1,0.069341,3.298559,[18 39] ; [15 14],[21.87209302 35.12790698] ; [11.12790698 17.87209302],0
b2,1,0.069768,3.288462,[ 9 29] ; [ 9 10],[12. 26.] ; [ 6. 13.],0
b3,1,0.069768,3.288462,[ 9 29] ; [ 9 10],[12. 26.] ; [ 6. 13.],0
a5,1,0.126809,2.331143,[35 24] ; [22  7],[38.21590909 20.78409091] ; [18.78409091 10.21590909],0
p4,1,0.128836,2.306469,[24 34] ; [17 12],[27.33333333 30.66666667] ; [13.66666667 15.33333333],0
s6,1,0.135067,2.233275,[30 29] ; [19  9],[33.22988506 25.77011494] ; [15.77011494 12.22988506],0
p11,1,0.15071,2.065054,[36 23] ; [13 16],[32.85227273 26.14772727] ; [16.14772727 12.85227273],0
p7,1,0.191804,1.703709,[23 34] ; [16 13],[25.84883721 31.15116279] ; [13.15116279 15.84883721],0
a2,1,0.192331,1.699673,[11 48] ; [ 9 20],[13.40909091 45.59090909] ; [ 6.59090909 22.40909091],0
a4,1,0.197218,1.662856,[22 37] ; [15 14],[24.80681818 34.19318182] ; [12.19318182 16.80681818],0
b4,1,0.230124,1.440094,[35 24] ; [21  8],[37.54545455 21.45454545] ; [18.45454545 10.54545455],0
r4,1,0.238631,1.388662,[42 17] ; [24  5],[44.25 14.75] ; [21.75  7.25],0
s3,1,0.249231,1.327607,[23 34] ; [15 13],[25.48235294 31.51764706] ; [12.51764706 15.48235294],0
n5,1,0.254207,1.300035,[26 33] ; [16 12],[28.48275862 30.51724138] ; [13.51724138 14.48275862],0
r3,1,0.264921,1.242857,[52  6] ; [28  1],[53.33333333  4.66666667] ; [26.66666667  2.33333333],0
b5,1,0.278156,1.176076,[38 21] ; [22  7],[40.22727273 18.77272727] ; [19.77272727  9.22727273],0
v3,1,0.326311,0.963482,[25 31] ; [ 9 18],[22.93975904 33.06024096] ; [11.06024096 15.93975904],0
a8,1,0.330995,0.945,[ 9 43] ; [ 2 21],[ 7.62666667 44.37333333] ; [ 3.37333333 19.62666667],0
s2,1,0.341396,0.905184,[22 37] ; [13 14],[24.01162791 34.98837209] ; [10.98837209 16.01162791],0
u1,1,0.411809,0.673573,[10 49] ; [ 3 26],[ 8.71590909 50.28409091] ; [ 4.28409091 24.71590909],0
u4,1,0.457886,0.551056,[ 2 57] ; [ 2 27],[ 2.68181818 56.31818182] ; [ 1.31818182 27.68181818],0
p1,1,0.457886,0.551056,[ 2 57] ; [ 2 27],[ 2.68181818 56.31818182] ; [ 1.31818182 27.68181818],0
s7,1,0.468138,0.526368,[21 37] ; [12 15],[22.51764706 35.48235294] ; [10.48235294 16.51764706],0
v1,1,0.496103,0.463263,[29 28] ; [17 12],[30.48837209 26.51162791] ; [15.51162791 13.48837209],0
s4,1,0.573867,0.316254,[ 6 53] ; [ 4 24],[ 6.7816092 52.2183908] ; [ 3.2183908 24.7816092],0
r1,1,0.643418,0.2143,[42 17] ; [22  7],[42.90909091 16.09090909] ; [21.09090909  7.90909091],0
p2,1,0.658876,0.194892,[40 19] ; [21  8],[40.89772727 18.10227273] ; [20.10227273  8.89772727],0
v4,1,0.668225,0.183685,[51  8] ; [26  3],[51.625  7.375] ; [25.375  3.625],0
d5,1,0.683916,0.165751,[47 12] ; [22  7],[46.26136364 12.73863636] ; [22.73863636  6.26136364],0
d3,1,0.709699,0.138578,[39 20] ; [18 11],[38.21590909 20.78409091] ; [18.78409091 10.21590909],0
u3,1,0.716866,0.131515,[ 7 14] ; [4 6],[ 7.4516129 13.5483871] ; [3.5483871 6.4516129],0
p9,1,0.802948,0.062267,[22 35] ; [12 17],[22.53488372 34.46511628] ; [11.46511628 17.53488372],0
d1,1,0.81085,0.057279,[33 26] ; [17 12],[33.52272727 25.47727273] ; [16.47727273 12.52272727],0
n6,1,0.853702,0.034002,[41 18] ; [20  8],[41.36781609 17.63218391] ; [19.63218391  8.36781609],0
n4,1,0.867774,0.027718,[39 20] ; [18 10],[38.65517241 20.34482759] ; [18.34482759  9.65517241],0
a7,1,0.871093,0.026332,[39 19] ; [20  9],[39.33333333 18.66666667] ; [19.66666667  9.33333333],0
d2,1,0.879479,0.022992,[29 29] ; [15 14],[29.33333333 28.66666667] ; [14.66666667 14.33333333],0
s5,1,0.892704,0.018194,[14 43] ; [ 7 20],[14.25 42.75] ; [ 6.75 20.25],0
a3,1,0.918355,0.010508,[38 21] ; [19 10],[38.21590909 20.78409091] ; [18.78409091 10.21590909],0
u2,1,0.977797,0.000775,[ 9 11] ; [4 5],[ 8.96551724 11.03448276] ; [4.03448276 4.96551724],0
d4,1,1.0,0.0,[48 10] ; [24  5],[48. 10.] ; [24.  5.],0
