Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,30.878274,[62 14] ; [19 37],[46.63636364 29.36363636] ; [34.36363636 21.63636364],1
s6,1,0.000126,14.703556,[41 34] ; [12 44],[30.34351145 44.65648855] ; [22.65648855 33.34351145],1
d5,1,0.000187,13.958691,[62 14] ; [28 27],[52.21374046 23.78625954] ; [37.78625954 17.21374046],1
d4,1,0.000553,11.926584,[63 13] ; [31 25],[54.12121212 21.87878788] ; [39.87878788 16.12121212],1
r2,1,0.001082,10.680963,[70  5] ; [39 15],[63.37209302 11.62790698] ; [45.62790698  8.37209302],0
r3,1,0.001131,10.599078,[63 13] ; [32 24],[54.6969697 21.3030303] ; [40.3030303 15.6969697],0
a5,1,0.005441,7.726727,[51 25] ; [24 32],[43.18181818 32.81818182] ; [31.81818182 24.18181818],0
a7,1,0.007313,7.194353,[56 20] ; [28 27],[48.73282443 27.26717557] ; [35.26717557 19.73282443],0
v4,1,0.008387,6.948828,[65 11] ; [37 19],[58.72727273 17.27272727] ; [43.27272727 12.72727273],0
a2,1,0.011726,6.35188,[18 58] ; [ 4 52],[12.66666667 63.33333333] ; [ 9.33333333 46.66666667],0
d1,1,0.013332,6.124542,[38 38] ; [16 40],[31.09090909 44.90909091] ; [22.90909091 33.09090909],0
n3,1,0.014478,5.978875,[23  8] ; [ 7 11],[18.97959184 12.02040816] ; [11.02040816  6.97959184],0
v2,1,0.015131,5.901149,[32 40] ; [13 42],[25.51181102 46.48818898] ; [19.48818898 35.51181102],0
a3,1,0.016346,5.765214,[48 26] ; [24 31],[41.30232558 32.69767442] ; [30.69767442 24.30232558],0
a6,1,0.034465,4.471465,[48 28] ; [25 31],[42.03030303 33.96969697] ; [30.96969697 25.03030303],0
u3,1,0.046432,3.96585,[14 12] ; [ 9 23],[10.31034483 15.68965517] ; [12.68965517 19.31034483],0
b3,1,0.049481,3.858958,[ 9 31] ; [13 16],[12.75362319 27.24637681] ; [ 9.24637681 19.75362319],0
b2,1,0.049481,3.858958,[ 9 31] ; [13 16],[12.75362319 27.24637681] ; [ 9.24637681 19.75362319],0
a1,1,0.066461,3.368335,[ 3 73] ; [ 7 49],[ 5.75757576 70.24242424] ; [ 4.24242424 51.75757576],0
