Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,114.264632,[583  11] ; [97 36],[555.59834938  38.40165062] ; [124.40165062   8.59834938],1
a5,1,0.0,25.276219,[468 126] ; [77 56],[445.2957359 148.7042641] ; [99.7042641 33.2957359],1
r3,1,2e-06,22.469021,[578  14] ; [118  15],[568.32  23.68] ; [127.68   5.32],1
v4,1,3e-06,22.015767,[584   9] ; [120  12],[575.82344828  17.17655172] ; [128.17655172   3.82344828],1
u1,1,5e-06,20.688216,[127 467] ; [  6 127],[108.66850069 485.33149931] ; [ 24.33149931 108.66850069],1
d3,1,1.9e-05,18.301501,[437 155] ; [72 59],[416.77455048 175.22544952] ; [92.22544952 38.77455048],1
a6,1,2.1e-05,18.078358,[431 160] ; [72 61],[410.5980663 180.4019337] ; [92.4019337 40.5980663],1
d1,1,3e-05,17.440999,[384 210] ; [60 73],[362.77303989 231.22696011] ; [81.22696011 51.77303989],1
v2,1,5.2e-05,16.38296,[350 217] ; [54 74],[329.5942446 237.4057554] ; [74.4057554 53.5942446],1
d4,1,0.000184,13.990571,[506  85] ; [96 37],[491.41160221  99.58839779] ; [110.58839779  22.41160221],1
s6,1,0.000191,13.920128,[426 158] ; [72 56],[408.47191011 175.52808989] ; [89.52808989 38.47191011],1
a2,1,0.00027,13.26661,[166 428] ; [ 17 116],[149.5213205 444.4786795] ; [33.4786795 99.5213205],1
a3,1,0.000602,11.7686,[449 142] ; [81 51],[433.23651452 157.76348548] ; [96.76348548 35.23651452],1
s8,1,0.000652,11.621373,[296 294] ; [45 88],[278.27109267 311.72890733] ; [62.72890733 70.27109267],1
a7,1,0.000653,11.617291,[450 143] ; [81 51],[434.32137931 158.67862069] ; [96.67862069 35.32137931],1
n4,1,0.000674,11.559369,[477 116] ; [89 44],[462.31129477 130.68870523] ; [103.68870523  29.31129477],1
p7,1,0.00094,10.94214,[394 185] ; [68 61],[377.8220339 201.1779661] ; [84.1779661 44.8220339],1
p4,1,0.001162,10.550494,[379 212] ; [64 67],[362.62188366 228.37811634] ; [80.37811634 50.62188366],0
d2,1,0.003469,8.54269,[303 289] ; [49 83],[287.82320442 304.17679558] ; [64.17679558 67.82320442],0
p8,1,0.00626,7.473917,[337 250] ; [57 72],[323.01396648 263.98603352] ; [70.98603352 58.01396648],0
d5,1,0.01007,6.622481,[495  96] ; [98 34],[484.73443983 106.26556017] ; [108.26556017  23.73443983],0
a4,1,0.011196,6.433912,[290 302] ; [49 84],[276.81103448 315.18896552] ; [62.18896552 70.81103448],0
s7,1,0.011532,6.381465,[309 262] ; [53 74],[296.13467049 274.86532951] ; [65.86532951 61.13467049],0
v1,1,0.019054,5.496563,[341 237] ; [61 67],[329.11614731 248.88385269] ; [72.88385269 55.11614731],0
n6,1,0.034485,4.4705,[516  74] ; [107  26],[508.395574  81.604426] ; [114.604426  18.395574],0
a8,1,0.034743,4.457776,[ 81 454] ; [ 10 116],[ 73.65355522 461.34644478] ; [ 17.34644478 108.65355522],0
s3,1,0.038491,4.283191,[353 233] ; [66 65],[342.44630404 243.55369596] ; [76.55369596 54.44630404],0
n5,1,0.047954,3.9116,[464 126] ; [94 39],[455.3526971 134.6473029] ; [102.6473029  30.3526971],0
p12,1,0.057139,3.618526,[ 58 534] ; [  6 125],[ 52.40387275 539.59612725] ; [ 11.59612725 119.40387275],0
p10,1,0.058554,3.577883,[544  50] ; [113  18],[538.28689655  55.71310345] ; [118.71310345  12.28689655],0
s5,1,0.060091,3.534877,[215 355] ; [36 89],[205.85611511 364.14388489] ; [45.14388489 79.85611511],0
v3,1,0.069268,3.300271,[240 327] ; [43 85],[230.87913669 336.12086331] ; [52.12086331 75.87913669],0
u3,1,0.075977,3.148923,[89 54] ; [25 27],[83.6 59.4] ; [30.4 21.6],0
b4,1,0.100879,2.691589,[338 256] ; [86 47],[346.43191197 247.56808803] ; [77.56808803 55.43191197],0
a1,1,0.106988,2.598158,[ 25 569] ; [ 10 123],[ 28.59697387 565.40302613] ; [  6.40302613 126.59697387],0
u2,1,0.117889,2.445141,[84 59] ; [24 28],[79.2 63.8] ; [28.8 23.2],0
p3,1,0.140413,2.17343,[320 272] ; [62 70],[312.35359116 279.64640884] ; [69.64640884 62.35359116],0
s2,1,0.144701,2.127236,[324 264] ; [64 69],[316.42718447 271.57281553] ; [71.57281553 61.42718447],0
b5,1,0.16069,1.967723,[354 240] ; [88 45],[361.1389271 232.8610729] ; [80.8610729 52.1389271],0
p11,1,0.175106,1.838679,[494 100] ; [104  29],[488.5997249 105.4002751] ; [109.4002751  23.5997249],0
p2,1,0.200154,1.641248,[512  79] ; [107  23],[507.39112344  83.60887656] ; [111.60887656  18.39112344],0
p1,1,0.237064,1.397966,[ 52 539] ; [ 16 116],[ 55.58506224 535.41493776] ; [ 12.41493776 119.58506224],0
u4,1,0.424749,0.637138,[ 16 578] ; [  2 131],[ 14.70701513 579.29298487] ; [  3.29298487 129.70701513],0
b1,1,0.431996,0.61745,[202 392] ; [50 83],[205.89821183 388.10178817] ; [46.10178817 86.89821183],0
b3,1,0.457213,0.552708,[144 215] ; [27 49],[141.12413793 217.87586207] ; [29.87586207 46.12413793],0
