Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,54.96529,[272 114] ; [37 78],[238.07185629 147.92814371] ; [70.92814371 44.07185629],1
a3,1,0.0,52.692266,[324  61] ; [58 55],[295.32128514  89.67871486] ; [86.67871486 26.32128514],1
d2,1,0.0,51.597171,[220 164] ; [22 93],[186.22845691 197.77154309] ; [55.77154309 59.22845691],1
a4,1,0.0,42.783954,[214 171] ; [24 91],[183.26 201.74] ; [54.74 60.26],1
u1,1,0.0,26.83083,[ 94 292] ; [  3 112],[ 74.73453094 311.26546906] ; [22.26546906 92.73453094],1
d5,1,0.0,26.255722,[339  44] ; [78 36],[321.3501006  61.6498994] ; [95.6498994 18.3501006],1
a6,1,3e-06,22.109476,[285  98] ; [59 56],[264.562249 118.437751] ; [79.437751 35.562249],1
r1,1,1.6e-05,18.557116,[332  51] ; [79 35],[316.72635815  66.27364185] ; [94.27364185 19.72635815],1
d4,1,2.6e-05,17.693896,[336  47] ; [82 33],[321.47389558  61.52610442] ; [96.52610442 18.47389558],1
s5,1,0.000321,12.944915,[168 206] ; [29 83],[151.60082305 222.39917695] ; [45.39917695 66.60082305],1
d3,1,0.000389,12.583096,[290  94] ; [66 47],[275.0583501 108.9416499] ; [80.9416499 32.0583501],1
b2,1,0.000411,12.479509,[112 138] ; [15 55],[ 99.21875 150.78125] ; [27.78125 42.21875],1
b3,1,0.000411,12.479509,[112 138] ; [15 55],[ 99.21875 150.78125] ; [27.78125 42.21875],1
p4,1,0.00052,12.041511,[290  93] ; [68 47],[275.32931727 107.67068273] ; [82.67068273 32.32931727],1
s8,1,0.000727,11.419551,[212 171] ; [43 72],[196.11445783 186.88554217] ; [58.88554217 56.11445783],1
p3,1,0.002263,9.322746,[254 130] ; [58 57],[240.09619238 143.90380762] ; [71.90380762 43.09619238],0
s7,1,0.011662,6.361534,[219 149] ; [50 59],[207.53039832 160.46960168] ; [61.46960168 47.53039832],0
v3,1,0.042433,4.117833,[171 199] ; [40 73],[161.63561077 208.36438923] ; [49.36438923 63.63561077],0
r4,1,0.04533,4.006302,[361  25] ; [101  14],[355.95209581  30.04790419] ; [106.04790419   8.95209581],0
v2,1,0.05406,3.710846,[238 135] ; [59 51],[229.36024845 143.63975155] ; [67.63975155 42.36024845],0
s6,1,0.072749,3.219873,[277  98] ; [73 39],[269.50718686 105.49281314] ; [80.49281314 31.50718686],0
