Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4.9e-05,16.487031,[32 13] ; [114 179],[19.43786982 25.56213018] ; [126.56213018 166.43786982],1
s2,1,0.000169,14.144247,[25 21] ; [ 79 215],[14.07058824 31.92941176] ; [ 89.92941176 204.07058824],1
n4,1,0.003452,8.551771,[21 27] ; [194 101],[30.08746356 17.91253644] ; [184.91253644 110.08746356],0
b1,1,0.0102,6.599555,[ 9 39] ; [112 184],[16.88372093 31.11627907] ; [104.11627907 191.88372093],0
d1,1,0.013508,6.101295,[14 34] ; [143 153],[21.90697674 26.09302326] ; [135.09302326 160.90697674],0
a4,1,0.017712,5.624408,[10 38] ; [113 180],[17.31378299 30.68621701] ; [105.68621701 187.31378299],0
a2,1,0.01791,5.604897,[ 2 46] ; [ 52 244],[ 7.53488372 40.46511628] ; [ 46.46511628 249.53488372],0
d2,1,0.018443,5.553569,[11 37] ; [119 173],[18.35294118 29.64705882] ; [111.64705882 180.35294118],0
s5,1,0.030804,4.663838,[13 31] ; [ 47 244],[ 7.88059701 36.11940299] ; [ 52.11940299 238.88059701],0
s3,1,0.048372,3.896998,[24 23] ; [104 185],[17.9047619 29.0952381] ; [110.0952381 178.9047619],0
a8,1,0.051142,3.803611,[ 1 42] ; [ 34 242],[ 4.71786834 38.28213166] ; [ 30.28213166 245.71786834],0
s7,1,0.062147,3.479134,[14 34] ; [ 50 233],[ 9.28096677 38.71903323] ; [ 54.71903323 228.28096677],0
u1,1,0.070744,3.265664,[ 1 47] ; [ 30 266],[ 4.3255814 43.6744186] ; [ 26.6744186 269.3255814],0
d4,1,0.079271,3.079779,[31 17] ; [224  69],[35.89442815 12.10557185] ; [219.10557185  73.89442815],0
n6,1,0.136038,2.222213,[38  9] ; [206  87],[33.72941176 13.27058824] ; [210.27058824  82.72941176],0
r1,1,0.141575,2.160758,[28 20] ; [203  91],[32.42105263 15.57894737] ; [198.57894737  95.42105263],0
p8,1,0.1563,2.00966,[10 35] ; [ 95 195],[14.10447761 30.89552239] ; [ 90.89552239 199.10447761],0
p10,1,0.161507,1.960062,[34 13] ; [179 111],[29.70623145 17.29376855] ; [183.29376855 106.70623145],0
a6,1,0.173022,1.856562,[26 22] ; [190 105],[30.22740525 17.77259475] ; [185.77259475 109.22740525],0
p4,1,0.187231,1.739276,[10 38] ; [ 88 204],[13.83529412 34.16470588] ; [ 84.16470588 207.83529412],0
d5,1,0.188067,1.732697,[29 18] ; [210  85],[32.84502924 14.15497076] ; [206.15497076  88.84502924],0
p7,1,0.207793,1.586735,[15 31] ; [121 164],[18.90030211 27.09969789] ; [117.09969789 167.90030211],0
d3,1,0.220779,1.499303,[33 14] ; [179 115],[29.21994135 17.78005865] ; [182.78005865 111.21994135],0
a5,1,0.234576,1.412898,[25 23] ; [181 115],[28.74418605 19.25581395] ; [177.25581395 118.74418605],0
v1,1,0.238928,1.38691,[14 33] ; [112 177],[17.625 29.375] ; [108.375 180.625],0
p1,1,0.285503,1.140706,[ 1 47] ; [ 17 276],[ 2.53372434 45.46627566] ; [ 15.46627566 277.53372434],0
s1,1,0.338414,0.916432,[ 1 45] ; [ 16 275],[ 2.32047478 43.67952522] ; [ 14.67952522 276.32047478],0
a3,1,0.339945,0.910639,[26 22] ; [180 113],[28.99706745 19.00293255] ; [177.00293255 115.99706745],0
v3,1,0.353313,0.861522,[ 9 36] ; [ 75 208],[11.52439024 33.47560976] ; [ 72.47560976 210.52439024],0
n1,1,0.358203,0.844184,[ 5 15] ; [36 65],[ 6.7768595 13.2231405] ; [34.2231405 66.7768595],0
b3,1,0.360867,0.834873,[ 5 16] ; [ 54 106],[ 6.84530387 14.15469613] ; [ 52.15469613 107.84530387],0
b2,1,0.360867,0.834873,[ 5 16] ; [ 54 106],[ 6.84530387 14.15469613] ; [ 52.15469613 107.84530387],0
b5,1,0.389352,0.740964,[32 16] ; [178 118],[29.30232558 18.69767442] ; [180.69767442 115.30232558],0
a1,1,0.40494,0.693608,[ 1 47] ; [ 14 282],[ 2.09302326 45.90697674] ; [ 12.90697674 283.09302326],0
r3,1,0.414647,0.665438,[39  8] ; [255  37],[40.76106195  6.23893805] ; [253.23893805  38.76106195],0
n5,1,0.437123,0.603823,[28 20] ; [188 105],[30.40469208 17.59530792] ; [185.59530792 107.40469208],0
p6,1,0.47161,0.518202,[ 6 41] ; [ 49 240],[ 7.69345238 39.30654762] ; [ 47.30654762 241.69345238],0
p11,1,0.489015,0.478694,[30 18] ; [200  96],[32.09302326 15.90697674] ; [197.90697674  98.09302326],0
u2,1,0.504646,0.445153,[ 9 13] ; [55 58],[10.42962963 11.57037037] ; [53.57037037 59.42962963],0
