Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,93.174985,[ 5 56] ; [230  83],[38.32887701 22.67112299] ; [196.67112299 116.32887701],1
d5,1,0.0,88.899282,[23 38] ; [280  33],[49.4197861 11.5802139] ; [253.5802139  59.4197861],1
d3,1,0.0,59.669072,[17 44] ; [243  70],[42.40641711 18.59358289] ; [217.59358289  95.40641711],1
a3,1,0.0,29.33275,[27 33] ; [245  66],[43.98921833 16.01078167] ; [228.01078167  82.98921833],1
d2,1,2e-06,22.186018,[14 47] ; [175 138],[30.82620321 30.17379679] ; [158.17379679 154.82620321],1
a5,1,1.1e-05,19.247494,[34 27] ; [255  58],[47.13636364 13.86363636] ; [241.86363636  71.13636364],1
p2,1,0.000142,14.474339,[49 12] ; [296  17],[56.27005348  4.72994652] ; [288.72994652  24.27005348],1
n6,1,0.000216,13.688801,[50 11] ; [296  15],[56.73655914  4.26344086] ; [289.26344086  21.73655914],1
p4,1,0.000449,12.31471,[37 24] ; [253  59],[47.42627346 13.57372654] ; [242.57372654  69.42627346],1
v1,1,0.000584,11.824719,[26 34] ; [205 102],[37.76566757 22.23433243] ; [193.23433243 113.76566757],1
a4,1,0.003681,8.434728,[17 43] ; [152 160],[27.25806452 32.74193548] ; [141.74193548 170.25806452],0
s2,1,0.003999,8.28408,[23 38] ; [178 130],[33.22764228 27.77235772] ; [167.77235772 140.22764228],0
a2,1,0.004488,8.074834,[ 6 55] ; [ 84 229],[14.67914439 46.32085561] ; [ 75.32085561 237.67914439],0
u1,1,0.00778,7.08335,[ 4 57] ; [ 66 247],[11.4171123 49.5828877] ; [ 58.5828877 254.4171123],0
r1,1,0.018987,5.502703,[45 16] ; [267  44],[51.16129032  9.83870968] ; [260.83870968  50.16129032],0
s8,1,0.019613,5.446039,[24 37] ; [172 137],[32.31351351 28.68648649] ; [163.68648649 145.31351351],0
a7,1,0.04112,4.171063,[38 23] ; [234  78],[44.48257373 16.51742627] ; [227.51742627  84.48257373],0
r2,1,0.044145,4.051008,[54  6] ; [297  12],[57.07317073  2.92682927] ; [293.92682927  15.07317073],0
r3,1,0.047467,3.928741,[55  6] ; [298  12],[58.04043127  2.95956873] ; [294.95956873  15.04043127],0
u3,1,0.048852,3.880435,[14 20] ; [42 26],[18.66666667 15.33333333] ; [37.33333333 30.66666667],0
s3,1,0.049832,3.847097,[28 31] ; [189 120],[34.79076087 24.20923913] ; [182.20923913 126.79076087],0
r4,1,0.051799,3.782237,[53  8] ; [294  19],[56.59625668  4.40374332] ; [290.40374332  22.59625668],0
s6,1,0.051936,3.777823,[36 23] ; [222  80],[42.16620499 16.83379501] ; [215.83379501  86.16620499],0
b3,1,0.064095,3.428124,[ 9 26] ; [ 83 113],[13.93939394 21.06060606] ; [ 78.06060606 117.93939394],0
b2,1,0.064095,3.428124,[ 9 26] ; [ 83 113],[13.93939394 21.06060606] ; [ 78.06060606 117.93939394],0
p1,1,0.068798,3.311472,[12 49] ; [ 35 277],[ 7.68632708 53.31367292] ; [ 39.31367292 272.68632708],0
n3,1,0.093866,2.806784,[11  2] ; [28 19],[8.45 4.55] ; [30.55 16.45],0
v2,1,0.116361,2.465636,[29 28] ; [189 116],[34.32596685 22.67403315] ; [183.67403315 121.32596685],0
a1,1,0.159371,1.980181,[ 1 60] ; [ 19 294],[ 3.26203209 57.73796791] ; [ 16.73796791 296.26203209],0
a8,1,0.18221,1.779508,[ 6 49] ; [ 52 232],[ 9.4100295 45.5899705] ; [ 48.5899705 235.4100295],0
n1,1,0.224598,1.474749,[8 5] ; [20 27],[6.06666667 6.93333333] ; [21.93333333 25.06666667],0
s1,1,0.226676,1.461598,[ 3 57] ; [  7 305],[ 1.61290323 58.38709677] ; [  8.38709677 303.61290323],0
n4,1,0.226839,1.46057,[52  9] ; [283  30],[54.63903743  6.36096257] ; [280.36096257  32.63903743],0
b4,1,0.23048,1.4379,[30 31] ; [180 133],[34.2513369 26.7486631] ; [175.7486631 137.2513369],0
v3,1,0.241985,1.368992,[23 37] ; [142 163],[27.12328767 32.87671233] ; [137.87671233 167.12328767],0
p6,1,0.306614,1.045206,[28 33] ; [165 146],[31.64784946 29.35215054] ; [161.35215054 149.64784946],0
p10,1,0.316561,1.0031,[53  8] ; [284  28],[55.11260054  5.88739946] ; [281.88739946  30.11260054],0
p3,1,0.3874,0.747088,[36 24] ; [206 107],[38.92761394 21.07238606] ; [203.07238606 109.92761394],0
s5,1,0.391429,0.734497,[21 39] ; [122 176],[23.96648045 36.03351955] ; [119.03351955 178.96648045],0
s4,1,0.416687,0.659641,[13 47] ; [ 53 254],[10.79019074 49.20980926] ; [ 55.20980926 251.79019074],0
u2,1,0.481726,0.494953,[17 17] ; [39 29],[18.66666667 15.33333333] ; [37.33333333 30.66666667],0
s7,1,0.516176,0.421526,[30 27] ; [169 126],[32.22443182 24.77556818] ; [166.77556818 128.22443182],0
a6,1,0.541062,0.373575,[39 22] ; [212 100],[41.04825737 19.95174263] ; [209.95174263 102.04825737],0
v4,1,0.617774,0.249008,[58  2] ; [304   7],[58.54447439  1.45552561] ; [303.45552561   7.54447439],0
p5,1,0.627349,0.235672,[11 50] ; [ 65 248],[12.39572193 48.60427807] ; [ 63.60427807 249.39572193],0
p12,1,0.74643,0.104555,[ 6 55] ; [ 35 276],[ 6.72311828 54.27688172] ; [ 34.27688172 276.72311828],0
n2,1,0.779501,0.078383,[11  2] ; [39  9],[10.6557377  2.3442623] ; [39.3442623  8.6557377],0
p7,1,0.868005,0.02762,[50 11] ; [256  53],[50.44864865 10.55135135] ; [255.55135135  53.44864865],0
p11,1,0.887776,0.019915,[53  8] ; [274  39],[53.3342246  7.6657754] ; [273.6657754  39.3342246],0
p9,1,0.896212,0.017017,[56  5] ; [283  27],[55.73854447  5.26145553] ; [283.26145553  26.73854447],0
b1,1,0.952611,0.003532,[25 36] ; [127 186],[24.79144385 36.20855615] ; [127.20855615 185.79144385],0
b5,1,0.983174,0.000445,[34 27] ; [174 139],[33.92513369 27.07486631] ; [174.07486631 138.92513369],0
