Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.007076,7.253524,[40 86] ; [16 11],[46.11764706 79.88235294] ; [ 9.88235294 17.11764706],0
b3,1,0.01044,6.558257,[26 50] ; [11  5],[30.56521739 45.43478261] ; [6.43478261 9.56521739],0
b2,1,0.01044,6.558257,[26 50] ; [11  5],[30.56521739 45.43478261] ; [6.43478261 9.56521739],0
s7,1,0.032631,4.565038,[46 73] ; [16 10],[50.88275862 68.11724138] ; [11.11724138 14.88275862],0
d1,1,0.049561,3.856265,[63 64] ; [19  8],[67.62337662 59.37662338] ; [14.37662338 12.62337662],0
v2,1,0.05047,3.825772,[68 53] ; [20  6],[72.43537415 48.56462585] ; [15.56462585 10.43537415],0
p1,1,0.060595,3.521027,[  9 118] ; [ 5 22],[ 11.54545455 115.45454545] ; [ 2.45454545 24.54545455],0
p4,1,0.063037,3.455626,[55 72] ; [17 10],[59.37662338 67.62337662] ; [12.62337662 14.37662338],0
b5,1,0.065057,3.403519,[80 47] ; [22  5],[84.11688312 42.88311688] ; [17.88311688  9.11688312],0
u4,1,0.08357,2.99407,[  2 125] ; [ 2 25],[  3.2987013 123.7012987] ; [ 0.7012987 26.2987013],0
p8,1,0.107485,2.590818,[32 94] ; [11 16],[35.41176471 90.58823529] ; [ 7.58823529 19.41176471],0
d3,1,0.12356,2.371603,[79 48] ; [21  6],[82.46753247 44.53246753] ; [17.53246753  9.46753247],0
p3,1,0.137597,2.204634,[42 85] ; [13 14],[45.35714286 81.64285714] ; [ 9.64285714 17.35714286],0
s2,1,0.153142,2.040676,[62 62] ; [17  9],[65.30666667 58.69333333] ; [13.69333333 12.30666667],0
a4,1,0.161637,1.958848,[56 70] ; [16 11],[59.29411765 66.70588235] ; [12.70588235 14.29411765],0
n1,1,0.223946,1.478905,[14 21] ; [4 2],[15.36585366 19.63414634] ; [2.63414634 3.36585366],0
r4,1,0.226882,1.460302,[106  21] ; [25  2],[108.03246753  18.96753247] ; [22.96753247  4.03246753],0
u1,1,0.242073,1.368483,[ 17 110] ; [ 6 21],[ 18.96753247 108.03246753] ; [ 4.03246753 22.96753247],0
d2,1,0.277954,1.177069,[56 71] ; [15 12],[58.55194805 68.44805195] ; [12.44805195 14.55194805],0
d5,1,0.279986,1.167159,[96 31] ; [23  4],[98.13636364 28.86363636] ; [20.86363636  6.13636364],0
d4,1,0.279986,1.167159,[96 31] ; [23  4],[98.13636364 28.86363636] ; [20.86363636  6.13636364],0
a5,1,0.294067,1.100907,[91 36] ; [22  5],[93.18831169 33.81168831] ; [19.81168831  7.18831169],0
s3,1,0.3112,1.025576,[66 58] ; [11 15],[63.65333333 60.34666667] ; [13.34666667 12.65333333],0
p9,1,0.318636,0.994538,[101  24] ; [24  3],[102.79605263  22.20394737] ; [22.20394737  4.79605263],0
r3,1,0.32499,0.96876,[114  12] ; [26  1],[115.29411765  10.70588235] ; [24.70588235  2.29411765],0
s6,1,0.341293,0.905568,[80 44] ; [20  7],[82.1192053 41.8807947] ; [17.8807947  9.1192053],0
v4,1,0.37799,0.777229,[115  11] ; [26  1],[116.11764706   9.88235294] ; [24.88235294  2.11764706],0
a7,1,0.378566,0.775354,[88 39] ; [21  6],[89.88961039 37.11038961] ; [19.11038961  7.88961039],0
p10,1,0.440199,0.595763,[88 37] ; [21  6],[89.63815789 35.36184211] ; [19.36184211  7.63815789],0
n2,1,0.465985,0.531481,[28  7] ; [4 2],[27.31707317  7.68292683] ; [4.68292683 1.31707317],0
v3,1,0.519733,0.414423,[52 69] ; [ 9 16],[50.55479452 70.44520548] ; [10.44520548 14.55479452],0
b1,1,0.548347,0.360286,[44 83] ; [11 16],[45.35714286 81.64285714] ; [ 9.64285714 17.35714286],0
n4,1,0.568836,0.324633,[92 35] ; [21  6],[93.18831169 33.81168831] ; [19.81168831  7.18831169],0
s4,1,0.583951,0.29989,[ 19 106] ; [ 3 24],[ 18.09210526 106.90789474] ; [ 3.90789474 23.09210526],0
a3,1,0.59478,0.28294,[86 40] ; [17 10],[84.82352941 41.17647059] ; [18.17647059  8.82352941],0
s5,1,0.604121,0.268825,[32 87] ; [ 8 17],[33.05555556 85.94444444] ; [ 6.94444444 18.05555556],0
