Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,4.4e-05,16.680786,[3 4] ; [ 1 52],[0.46666667 6.53333333] ; [ 3.53333333 49.46666667],1
s6,1,0.002656,9.029982,[5 1] ; [13 41],[1.8 4.2] ; [16.2 37.8],0
s7,1,0.006602,7.378269,[3 3] ; [ 5 47],[0.82758621 5.17241379] ; [ 7.17241379 44.82758621],0
p11,1,0.014274,6.003884,[6 1] ; [20 34],[2.98360656 4.01639344] ; [23.01639344 30.98360656],0
b4,1,0.061131,3.506443,[6 1] ; [26 28],[3.67213115 3.32786885] ; [28.32786885 25.67213115],0
s1,1,0.086192,2.944087,[2 5] ; [ 4 48],[0.71186441 6.28813559] ; [ 5.28813559 46.71186441],0
d2,1,0.08841,2.903094,[4 3] ; [14 40],[2.06557377 4.93442623] ; [15.93442623 38.06557377],0
s2,1,0.107703,2.587601,[3 4] ; [ 9 44],[1.4 5.6] ; [10.6 42.4],0
s8,1,0.128735,2.307692,[2 4] ; [ 6 48],[0.8 5.2] ; [ 7.2 46.8],0
a7,1,0.139516,2.183288,[1 6] ; [23 30],[2.8 4.2] ; [21.2 31.8],0
v3,1,0.205097,1.605699,[3 4] ; [11 41],[1.66101695 5.33898305] ; [12.33898305 39.66101695],0
n5,1,0.2215,1.494624,[6 1] ; [33 20],[4.55 2.45] ; [34.45 18.55],0
r1,1,0.265607,1.239293,[5 2] ; [26 27],[3.61666667 3.38333333] ; [27.38333333 25.61666667],0
n1,1,0.278664,1.173595,[2 1] ; [ 9 17],[1.13793103 1.86206897] ; [ 9.86206897 16.13793103],0
a6,1,0.328101,0.956378,[2 5] ; [26 28],[3.21311475 3.78688525] ; [24.78688525 29.21311475],0
v1,1,0.347195,0.883683,[3 4] ; [14 40],[1.95081967 5.04918033] ; [15.04918033 38.95081967],0
s4,1,0.354971,0.855607,[2 5] ; [ 8 46],[1.14754098 5.85245902] ; [ 8.85245902 45.14754098],0
p3,1,0.410483,0.677402,[3 4] ; [15 39],[2.06557377 4.93442623] ; [15.93442623 38.06557377],0
p2,1,0.424287,0.638409,[5 2] ; [30 24],[4.01639344 2.98360656] ; [30.98360656 23.01639344],0
r2,1,0.486087,0.485175,[6 1] ; [39 14],[5.25 1.75] ; [39.75 13.25],0
a3,1,0.487335,0.482405,[2 5] ; [22 30],[2.84745763 4.15254237] ; [21.15254237 30.84745763],0
n6,1,0.511368,0.431267,[5 2] ; [31 22],[4.2 2.8] ; [31.8 21.2],0
u3,1,0.523103,0.407771,[1 4] ; [11 21],[1.62162162 3.37837838] ; [10.37837838 21.62162162],0
r4,1,0.535184,0.384539,[5 2] ; [32 22],[4.24590164 2.75409836] ; [32.75409836 21.24590164],0
p4,1,0.546358,0.363882,[3 4] ; [17 37],[2.29508197 4.70491803] ; [17.70491803 36.29508197],0
p6,1,0.546358,0.363881,[2 5] ; [10 43],[1.4 5.6] ; [10.6 42.4],0
p7,1,0.554429,0.349442,[4 3] ; [24 29],[3.26666667 3.73333333] ; [24.73333333 28.26666667],0
u2,1,0.58901,0.291892,[2 3] ; [ 9 23],[1.48648649 3.51351351] ; [ 9.51351351 22.48648649],0
p8,1,0.638741,0.220393,[2 4] ; [13 40],[1.52542373 4.47457627] ; [13.47457627 39.52542373],0
r3,1,0.642845,0.215041,[4 3] ; [35 18],[4.55 2.45] ; [34.45 18.55],0
b1,1,0.654244,0.200592,[4 3] ; [26 28],[3.44262295 3.55737705] ; [26.55737705 27.44262295],0
p1,1,0.674368,0.176535,[1 6] ; [ 5 49],[0.68852459 6.31147541] ; [ 5.31147541 48.68852459],0
s3,1,0.745516,0.105337,[3 4] ; [19 33],[2.61016949 4.38983051] ; [19.38983051 32.61016949],0
d5,1,0.800644,0.063763,[2 5] ; [18 36],[2.29508197 4.70491803] ; [17.70491803 36.29508197],0
a4,1,0.816397,0.053908,[2 5] ; [13 40],[1.75 5.25] ; [13.25 39.75],0
v2,1,0.838568,0.041504,[2 5] ; [13 39],[1.77966102 5.22033898] ; [13.22033898 38.77966102],0
a5,1,0.839752,0.040889,[3 4] ; [21 33],[2.75409836 4.24590164] ; [21.24590164 32.75409836],0
b5,1,0.839752,0.040889,[4 3] ; [33 21],[4.24590164 2.75409836] ; [32.75409836 21.24590164],0
d3,1,0.964853,0.001942,[2 5] ; [15 39],[1.95081967 5.04918033] ; [15.04918033 38.95081967],0
a8,1,1.0,0.0,[1 6] ; [ 7 42],[1. 6.] ; [ 7. 42.],0
