Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,36.904517,[ 27 128] ; [78 78],[ 52.33118971 102.66881029] ; [ 52.66881029 103.33118971],1
v1,1,1e-06,23.713898,[58 98] ; [101  55],[79.5 76.5] ; [79.5 76.5],1
r3,1,8.8e-05,15.379013,[129  27] ; [153   6],[139.65714286  16.34285714] ; [142.34285714  16.65714286],1
p10,1,0.000707,11.471438,[102  52] ; [131  27],[115.00641026  38.99358974] ; [117.99358974  40.00641026],1
d1,1,0.002012,9.538741,[73 84] ; [102  58],[86.67192429 70.32807571] ; [88.32807571 71.67192429],0
d4,1,0.003511,8.520688,[112  45] ; [135  24],[122.71835443  34.28164557] ; [124.28164557  34.71835443],0
d3,1,0.003518,8.517044,[86 71] ; [113  47],[98.55835962 58.44164038] ; [100.44164038  59.55835962],0
p3,1,0.004362,8.126507,[57 99] ; [83 75],[69.55414013 86.44585987] ; [70.44585987 87.55414013],0
p11,1,0.005143,7.828296,[112  45] ; [135  25],[122.33123028  34.66876972] ; [124.66876972  35.33123028],0
r1,1,0.00987,6.658288,[106  50] ; [129  31],[116.01265823  39.98734177] ; [118.98734177  41.01265823],0
p9,1,0.010993,6.466447,[109  45] ; [131  27],[118.46153846  35.53846154] ; [121.53846154  36.46153846],0
p7,1,0.016901,5.706606,[79 76] ; [101  56],[89.42307692 65.57692308] ; [90.57692308 66.42307692],0
n6,1,0.021216,5.308973,[121  35] ; [139  20],[128.76190476  27.23809524] ; [131.23809524  27.76190476],0
r4,1,0.021333,5.299374,[127  30] ; [144  16],[134.21766562  22.78233438] ; [136.78233438  23.21766562],0
n3,1,0.024564,5.054379,[22 13] ; [23  3],[25.81967213  9.18032787] ; [19.18032787  6.81967213],0
p4,1,0.040721,4.187572,[76 80] ; [94 62],[85. 71.] ; [85. 71.],0
d5,1,0.043059,4.093067,[117  40] ; [134  26],[124.31230284  32.68769716] ; [126.68769716  33.31230284],0
n2,1,0.047018,3.944758,[23 15] ; [21  4],[26.53968254 11.46031746] ; [17.46031746  7.53968254],0
p8,1,0.047195,3.938421,[65 91] ; [82 73],[73.73633441 82.26366559] ; [73.26366559 81.73633441],0
p12,1,0.08567,2.953909,[  5 151] ; [ 12 146],[  8.44585987 147.55414013] ; [  8.55414013 149.44585987],0
v4,1,0.094454,2.796783,[135  22] ; [147  13],[139.66561514  17.33438486] ; [142.33438486  17.66561514],0
b1,1,0.103966,2.643625,[71 86] ; [ 58 102],[63.88958991 93.11041009] ; [65.11041009 94.88958991],0
