Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000548,11.944618,[49 47] ; [31  6],[57.7443609 38.2556391] ; [22.2556391 14.7443609],1
p3,1,0.001172,10.534712,[21 73] ; [19 18],[28.70229008 65.29770992] ; [11.29770992 25.70229008],0
p2,1,0.001442,10.151259,[40 55] ; [27 10],[48.21969697 46.78030303] ; [18.78030303 18.21969697],0
p6,1,0.001801,9.742309,[11 83] ; [13 24],[17.22137405 76.77862595] ; [ 6.77862595 30.22137405],0
r1,1,0.001818,9.724473,[51 44] ; [30  6],[58.74045802 36.25954198] ; [22.25954198 13.74045802],0
p7,1,0.002361,9.245469,[30 64] ; [22 14],[37.6 56.4] ; [14.4 21.6],0
p4,1,0.002902,8.868071,[22 73] ; [18 18],[29.00763359 65.99236641] ; [10.99236641 25.00763359],0
v4,1,0.003804,8.375009,[67 27] ; [35  2],[73.19083969 20.80916031] ; [28.80916031  8.19083969],0
p10,1,0.004281,8.160418,[30 63] ; [22 15],[37.2 55.8] ; [14.8 22.2],0
s7,1,0.016315,5.768554,[13 77] ; [12 24],[17.85714286 72.14285714] ; [ 7.14285714 28.85714286],0
p9,1,0.018228,5.574079,[35 57] ; [22 14],[40.96875 51.03125] ; [16.03125 19.96875],0
r2,1,0.030739,4.667457,[73 20] ; [34  2],[77.13953488 15.86046512] ; [29.86046512  6.13953488],0
n6,1,0.042923,4.09845,[51 44] ; [27 10],[56.13636364 38.86363636] ; [21.86363636 15.13636364],0
b1,1,0.044208,4.048608,[55 41] ; [14 23],[49.80451128 46.19548872] ; [19.19548872 17.80451128],0
n2,1,0.04891,3.878433,[22 23] ; [9 2],[24.91071429 20.08928571] ; [6.08928571 4.91071429],0
d1,1,0.050776,3.81565,[39 57] ; [22 15],[44.03007519 51.96992481] ; [16.96992481 20.03007519],0
n1,1,0.052171,3.770292,[16 28] ; [7 3],[18.74074074 25.25925926] ; [4.25925926 5.74074074],0
v1,1,0.055061,3.680228,[27 68] ; [17 20],[31.66666667 63.33333333] ; [12.33333333 24.66666667],0
r3,1,0.059926,3.539425,[61 34] ; [30  7],[65.49242424 29.50757576] ; [25.50757576 11.49242424],0
s8,1,0.095236,2.783559,[10 85] ; [ 8 29],[12.95454545 82.04545455] ; [ 5.04545455 31.95454545],0
d3,1,0.096436,2.763513,[49 46] ; [25 12],[53.25757576 41.74242424] ; [20.74242424 16.25757576],0
u1,1,0.12041,2.411974,[ 7 89] ; [ 6 31],[ 9.38345865 86.61654135] ; [ 3.61654135 33.38345865],0
b2,1,0.217923,1.517997,[21 33] ; [ 5 16],[18.72 35.28] ; [ 7.28 13.72],0
b3,1,0.217923,1.517997,[21 33] ; [ 5 16],[18.72 35.28] ; [ 7.28 13.72],0
v3,1,0.234907,1.410901,[21 70] ; [12 24],[23.64566929 67.35433071] ; [ 9.35433071 26.64566929],0
a3,1,0.250528,1.320356,[54 40] ; [24 11],[56.8372093 37.1627907] ; [21.1627907 13.8372093],0
a7,1,0.272655,1.203341,[57 38] ; [26 11],[59.73484848 35.26515152] ; [23.26515152 13.73484848],0
a5,1,0.312136,1.021617,[53 43] ; [24 13],[55.57894737 40.42105263] ; [21.42105263 15.57894737],0
s3,1,0.314939,1.009847,[21 74] ; [11 25],[23.20610687 71.79389313] ; [ 8.79389313 27.20610687],0
s6,1,0.329266,0.951783,[30 65] ; [15 22],[32.38636364 62.61363636] ; [12.61363636 24.38636364],0
p5,1,0.369445,0.80553,[ 4 91] ; [ 3 34],[ 5.03787879 89.96212121] ; [ 1.96212121 35.03787879],0
b4,1,0.383188,0.760451,[49 47] ; [22 15],[51.2481203 44.7518797] ; [19.7518797 17.2481203],0
b5,1,0.383894,0.758195,[57 39] ; [25 12],[59.18796992 36.81203008] ; [22.81203008 14.18796992],0
p12,1,0.480607,0.497487,[ 1 95] ; [ 1 36],[ 1.44360902 94.55639098] ; [ 0.55639098 36.44360902],0
n5,1,0.532008,0.390555,[56 39] ; [24 13],[57.57575758 37.42424242] ; [22.42424242 14.57575758],0
