Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.009087,6.805556,[9 7] ; [12 42],[ 4.8 11.2] ; [16.2 37.8],0
s1,1,0.097744,2.74197,[ 3 13] ; [ 3 51],[ 1.37142857 14.62857143] ; [ 4.62857143 49.37142857],0
s6,1,0.142922,2.146216,[12  4] ; [30 25],[9.46478873 6.53521127] ; [32.53521127 22.46478873],0
a2,1,0.153845,2.033711,[ 4 12] ; [ 6 49],[ 2.25352113 13.74647887] ; [ 7.74647887 47.25352113],0
a8,1,0.159933,1.974857,[ 2 12] ; [ 2 48],[ 0.875 13.125] ; [ 3.125 46.875],0
d2,1,0.183716,1.767304,[10  6] ; [24 31],[7.66197183 8.33802817] ; [26.33802817 28.66197183],0
s4,1,0.20024,1.640625,[ 5 11] ; [ 9 45],[ 3.2 12.8] ; [10.8 43.2],0
v1,1,0.206866,1.593225,[8 8] ; [18 37],[ 5.85915493 10.14084507] ; [20.14084507 34.85915493],0
a7,1,0.209686,1.573595,[9 7] ; [40 15],[11.04225352  4.95774648] ; [37.95774648 17.04225352],0
a3,1,0.230019,1.440747,[10  6] ; [25 30],[7.88732394 8.11267606] ; [27.11267606 27.88732394],0
n3,1,0.262193,1.257143,[3 3] ; [12  4],[4.09090909 1.90909091] ; [10.90909091  5.09090909],0
p6,1,0.269004,1.221818,[6 9] ; [14 41],[ 4.28571429 10.71428571] ; [15.71428571 39.28571429],0
s7,1,0.274664,1.193302,[7 8] ; [17 37],[5.2173913 9.7826087] ; [18.7826087 35.2173913],0
u3,1,0.295971,1.09226,[2 4] ; [17 13],[3.16666667 2.83333333] ; [15.83333333 14.16666667],0
n1,1,0.305507,1.05,[3 3] ; [ 4 11],[2. 4.] ; [ 5. 10.],0
d5,1,0.336829,0.922462,[14  2] ; [42 13],[12.61971831  3.38028169] ; [43.38028169 11.61971831],0
v3,1,0.339235,0.913321,[7 9] ; [17 38],[ 5.4084507 10.5915493] ; [18.5915493 36.4084507],0
p5,1,0.34347,0.897436,[ 2 14] ; [ 3 51],[ 1.14285714 14.85714286] ; [ 3.85714286 50.14285714],0
n5,1,0.373277,0.792728,[7 9] ; [31 24],[8.56338028 7.43661972] ; [29.43661972 25.56338028],0
