Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.001706,9.841648,[ 2 10] ; [21  9],[6.57142857 5.42857143] ; [16.42857143 13.57142857],0
p11,1,0.032671,4.562963,[7 5] ; [28  4],[9.54545455 2.45454545] ; [25.45454545  6.54545455],0
b2,1,0.067889,3.333333,[1 5] ; [14 10],[3. 3.] ; [12. 12.],0
b3,1,0.067889,3.333333,[1 5] ; [14 10],[3. 3.] ; [12. 12.],0
p8,1,0.079084,3.083623,[6 6] ; [24  7],[8.37209302 3.62790698] ; [21.62790698  9.37209302],0
r2,1,0.088773,2.896477,[9 3] ; [29  2],[10.60465116  1.39534884] ; [27.39534884  3.60465116],0
v2,1,0.096264,2.766369,[ 2 10] ; [14 18],[4.36363636 7.63636364] ; [11.63636364 20.36363636],0
r4,1,0.110553,2.546296,[8 4] ; [28  4],[9.81818182 2.18181818] ; [26.18181818  5.81818182],0
a3,1,0.112819,2.514286,[6 6] ; [24  8],[8.18181818 3.81818182] ; [21.81818182 10.18181818],0
p1,1,0.117942,2.444444,[5 7] ; [ 6 26],[3. 9.] ; [ 8. 24.],0
p2,1,0.120705,2.408154,[10  2] ; [30  1],[11.1627907  0.8372093] ; [28.8372093  2.1627907],0
n3,1,0.124541,2.359259,[1 2] ; [8 2],[2.07692308 0.92307692] ; [6.92307692 3.07692308],0
a6,1,0.249537,1.325893,[6 6] ; [22 10],[7.63636364 4.36363636] ; [20.36363636 11.63636364],0
n2,1,0.252244,1.310833,[1 2] ; [7 3],[1.84615385 1.15384615] ; [6.15384615 3.84615385],0
p3,1,0.303932,1.056863,[8 4] ; [26  6],[9.27272727 2.72727273] ; [24.72727273  7.27272727],0
d1,1,0.322748,0.977778,[8 4] ; [16 16],[6.54545455 5.45454545] ; [17.45454545 14.54545455],0
b5,1,0.388395,0.743961,[5 7] ; [18 14],[6.27272727 5.72727273] ; [16.72727273 15.27272727],0
r1,1,0.390399,0.737698,[7 5] ; [23  9],[8.18181818 3.81818182] ; [21.81818182 10.18181818],0
a5,1,0.390399,0.737698,[7 5] ; [23  9],[8.18181818 3.81818182] ; [21.81818182 10.18181818],0
a2,1,0.400158,0.707851,[ 1 11] ; [ 6 26],[ 1.90909091 10.09090909] ; [ 5.09090909 26.90909091],0
s4,1,0.400158,0.707851,[ 1 11] ; [ 6 26],[ 1.90909091 10.09090909] ; [ 5.09090909 26.90909091],0
s6,1,0.413783,0.667904,[9 3] ; [24  4],[9.9 2.1] ; [23.1  4.9],0
d3,1,0.435959,0.606897,[9 3] ; [20 12],[7.90909091 4.09090909] ; [21.09090909 10.90909091],0
s8,1,0.438302,0.600725,[5 7] ; [17 14],[6.13953488 5.86046512] ; [15.86046512 15.13953488],0
p4,1,0.472714,0.515625,[9 3] ; [27  5],[9.81818182 2.18181818] ; [26.18181818  5.81818182],0
s7,1,0.475263,0.509713,[6 5] ; [20 10],[6.97560976 4.02439024] ; [19.02439024 10.97560976],0
r3,1,0.497305,0.460684,[10  2] ; [29  3],[10.63636364  1.36363636] ; [28.36363636  3.63636364],0
s1,1,0.497305,0.460684,[ 2 10] ; [ 3 29],[ 1.36363636 10.63636364] ; [ 3.63636364 28.36363636],0
s2,1,0.498404,0.458333,[5 7] ; [17 15],[6. 6.] ; [16. 16.],0
s5,1,0.582626,0.302009,[5 6] ; [16 13],[5.775 5.225] ; [15.225 13.775],0
u3,1,0.639994,0.21875,[3 3] ; [5 3],[3.42857143 2.57142857] ; [4.57142857 3.42857143],0
d4,1,0.647141,0.209524,[9 3] ; [26  6],[9.54545455 2.45454545] ; [25.45454545  6.54545455],0
b4,1,0.658202,0.195715,[8 4] ; [19 13],[7.36363636 4.63636364] ; [19.63636364 12.36363636],0
a4,1,0.685707,0.163772,[3 9] ; [10 22],[3.54545455 8.45454545] ; [ 9.45454545 22.54545455],0
n5,1,0.698127,0.150427,[11  1] ; [28  4],[10.63636364  1.36363636] ; [28.36363636  3.63636364],0
v4,1,0.698127,0.150427,[11  1] ; [28  4],[10.63636364  1.36363636] ; [28.36363636  3.63636364],0
n4,1,0.719831,0.128655,[10  2] ; [28  4],[10.36363636  1.63636364] ; [27.63636364  4.36363636],0
v1,1,0.725625,0.123167,[5 6] ; [16 15],[5.5 5.5] ; [15.5 15.5],0
p10,1,0.749379,0.102054,[10  2] ; [27  4],[10.3255814  1.6744186] ; [26.6744186  4.3255814],0
b1,1,0.800424,0.063907,[5 7] ; [12 20],[4.63636364 7.36363636] ; [12.36363636 19.63636364],0
d5,1,0.835784,0.042969,[9 3] ; [23  9],[8.72727273 3.27272727] ; [23.27272727  8.72727273],0
d2,1,0.853364,0.034161,[6 6] ; [17 15],[6.27272727 5.72727273] ; [16.72727273 15.27272727],0
a7,1,0.894876,0.01746,[8 4] ; [22 10],[8.18181818 3.81818182] ; [21.81818182 10.18181818],0
u1,1,0.93295,0.007079,[ 2 10] ; [ 5 27],[ 1.90909091 10.09090909] ; [ 5.09090909 26.90909091],0
s3,1,0.950094,0.003917,[7 5] ; [19 13],[7.09090909 4.90909091] ; [18.90909091 13.09090909],0
u2,1,1.0,0.0,[3 3] ; [4 4],[3. 3.] ; [4. 4.],0
