Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6.7e-05,15.903589,[15 20] ; [48 10],[23.70967742 11.29032258] ; [39.29032258 18.70967742],1
d5,1,0.000453,12.301794,[18 16] ; [50  8],[25.13043478  8.86956522] ; [42.86956522 15.13043478],1
r2,1,0.000603,11.767554,[24 11] ; [55  3],[29.7311828  5.2688172] ; [49.2688172  8.7311828],1
s6,1,0.002278,9.311219,[11 24] ; [36 20],[18.07692308 16.92307692] ; [28.92307692 27.07692308],0
a2,1,0.004403,8.109797,[ 1 34] ; [15 43],[ 6.02150538 28.97849462] ; [ 9.97849462 48.02150538],0
d1,1,0.007948,7.045051,[10 25] ; [33 25],[16.1827957 18.8172043] ; [26.8172043 31.1827957],0
a7,1,0.007973,7.039626,[18 16] ; [46 12],[23.65217391 10.34782609] ; [40.34782609 17.65217391],0
d4,1,0.010353,6.573083,[22 13] ; [49  8],[27.01086957  7.98913043] ; [43.98913043 13.01086957],0
a6,1,0.016341,5.765795,[14 21] ; [38 20],[19.56989247 15.43010753] ; [32.43010753 25.56989247],0
v2,1,0.036061,4.394221,[ 9 26] ; [25 27],[13.67816092 21.32183908] ; [20.32183908 31.67816092],0
b1,1,0.064906,3.407375,[22 13] ; [25 33],[17.68817204 17.31182796] ; [29.31182796 28.68817204],0
d3,1,0.078546,3.094733,[16 17] ; [39 19],[19.94505495 13.05494505] ; [35.05494505 22.94505495],0
u2,1,0.079098,3.083338,[ 6 11] ; [14  8],[8.71794872 8.28205128] ; [11.28205128 10.71794872],0
u1,1,0.083958,2.986559,[ 1 34] ; [ 8 50],[ 3.38709677 31.61290323] ; [ 5.61290323 52.38709677],0
n3,1,0.085021,2.9662,[6 8] ; [21  9],[8.59090909 5.40909091] ; [18.40909091 11.59090909],0
p10,1,0.091853,2.841592,[12 22] ; [29 25],[15.84090909 18.15909091] ; [25.15909091 28.84090909],0
p8,1,0.094535,2.79541,[ 6 28] ; [19 37],[ 9.44444444 24.55555556] ; [15.55555556 40.44444444],0
a1,1,0.114836,2.486374,[ 3 32] ; [ 1 57],[ 1.50537634 33.49462366] ; [ 2.49462366 55.50537634],0
s7,1,0.11803,2.443269,[ 6 26] ; [18 34],[ 9.14285714 22.85714286] ; [14.85714286 37.14285714],0
v4,1,0.12054,2.410292,[28  7] ; [52  5],[30.43478261  4.56521739] ; [49.56521739  7.43478261],0
b4,1,0.123805,2.368514,[16 19] ; [36 22],[19.56989247 15.43010753] ; [32.43010753 25.56989247],0
r3,1,0.161132,1.963571,[26  9] ; [49  8],[28.5326087  6.4673913] ; [46.4673913 10.5326087],0
b5,1,0.182778,1.774894,[20 15] ; [41 17],[22.95698925 12.04301075] ; [38.04301075 19.95698925],0
s8,1,0.232893,1.423106,[ 6 29] ; [16 41],[ 8.36956522 26.63043478] ; [13.63043478 43.36956522],0
b3,1,0.237862,1.393222,[ 6 11] ; [ 5 21],[ 4.34883721 12.65116279] ; [ 6.65116279 19.34883721],0
b2,1,0.237862,1.393222,[ 6 11] ; [ 5 21],[ 4.34883721 12.65116279] ; [ 6.65116279 19.34883721],0
s3,1,0.272598,1.203627,[14 21] ; [30 28],[16.55913978 18.44086022] ; [27.44086022 30.55913978],0
p3,1,0.27291,1.202064,[12 22] ; [14 43],[ 9.71428571 24.28571429] ; [16.28571429 40.71428571],0
n2,1,0.287471,1.131429,[6 8] ; [18 12],[7.63636364 6.36363636] ; [16.36363636 13.63636364],0
a4,1,0.35733,0.847255,[10 25] ; [22 36],[12.04301075 22.95698925] ; [19.95698925 38.04301075],0
v3,1,0.366866,0.814251,[ 6 28] ; [14 40],[ 7.72727273 26.27272727] ; [12.27272727 41.72727273],0
s2,1,0.3746,0.788348,[13 22] ; [27 31],[15.05376344 19.94623656] ; [24.94623656 33.05376344],0
p2,1,0.383417,0.759716,[17 18] ; [33 24],[19.02173913 15.97826087] ; [30.97826087 26.02173913],0
p7,1,0.437687,0.60234,[16 19] ; [21 35],[14.23076923 20.76923077] ; [22.76923077 33.23076923],0
s1,1,0.466009,0.531424,[ 4 31] ; [ 4 53],[ 3.04347826 31.95652174] ; [ 4.95652174 52.04347826],0
p1,1,0.466009,0.531424,[ 4 31] ; [ 4 53],[ 3.04347826 31.95652174] ; [ 4.95652174 52.04347826],0
a5,1,0.469857,0.522313,[16 19] ; [31 27],[17.68817204 17.31182796] ; [29.31182796 28.68817204],0
s5,1,0.497606,0.460037,[10 25] ; [12 42],[ 8.65168539 26.34831461] ; [13.34831461 40.65168539],0
u3,1,0.500733,0.453383,[9 8] ; [14  8],[10.02564103  6.97435897] ; [12.97435897  9.02564103],0
n6,1,0.519424,0.415038,[19 16] ; [27 30],[17.5 17.5] ; [28.5 28.5],0
v1,1,0.54896,0.359184,[11 23] ; [22 35],[12.32967033 21.67032967] ; [20.67032967 36.32967033],0
a3,1,0.595815,0.281354,[18 16] ; [34 24],[19.2173913 14.7826087] ; [32.7826087 25.2173913],0
n5,1,0.709931,0.138346,[ 8 27] ; [15 42],[ 8.75 26.25] ; [14.25 42.75],0
d2,1,0.768883,0.08634,[14 21] ; [25 33],[14.67741935 20.32258065] ; [24.32258065 33.67741935],0
n1,1,0.888322,0.01972,[ 3 11] ; [ 7 23],[ 3.18181818 10.81818182] ; [ 6.81818182 23.18181818],0
s4,1,0.918308,0.01052,[10 25] ; [16 42],[ 9.78494624 25.21505376] ; [16.21505376 41.78494624],0
p9,1,0.958522,0.002705,[17 15] ; [29 25],[17.11627907 14.88372093] ; [28.88372093 25.11627907],0
p4,1,0.973417,0.00111,[14 21] ; [23 34],[14.07608696 20.92391304] ; [22.92391304 34.07608696],0
p6,1,0.979837,0.000639,[ 6 28] ; [10 46],[ 6.04444444 27.95555556] ; [ 9.95555556 46.04444444],0
