Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,102.819009,[ 34 108] ; [237  82],[83.47505423 58.52494577] ; [187.52494577 131.47505423],1
p6,1,0.0,48.386724,[ 26 116] ; [169 150],[60.06507592 81.93492408] ; [134.93492408 184.06507592],1
p2,1,0.0,36.124285,[104  39] ; [299  22],[124.20043103  18.79956897] ; [278.79956897  42.20043103],1
p4,1,0.0,28.236338,[71 72] ; [240  81],[95.84698276 47.15301724] ; [215.15301724 105.84698276],1
p3,1,4e-06,21.426426,[56 87] ; [200 121],[78.89655172 64.10344828] ; [177.10344828 143.89655172],1
p10,1,0.000399,12.536528,[117  26] ; [296  23],[127.83333333  15.16666667] ; [285.16666667  33.83333333],1
s7,1,0.000522,12.033893,[68 72] ; [206 107],[84.6799117 55.3200883] ; [189.3200883 123.6799117],1
s5,1,0.001344,10.281738,[43 94] ; [150 165],[58.49778761 78.50221239] ; [134.50221239 180.49778761],0
b1,1,0.002938,8.845805,[ 34 109] ; [122 200],[47.97419355 95.02580645] ; [108.02580645 213.97419355],0
p5,1,0.003406,8.57597,[ 10 131] ; [ 56 265],[ 20.14285714 120.85714286] ; [ 45.85714286 275.14285714],0
b5,1,0.003718,8.416554,[102  41] ; [184 138],[87.95268817 55.04731183] ; [198.04731183 123.95268817],0
d3,1,0.007595,7.126564,[89 54] ; [239  82],[101.0862069  41.9137931] ; [226.9137931  94.0862069],0
s8,1,0.008957,6.831313,[68 74] ; [195 125],[80.83549784 61.16450216] ; [182.16450216 137.83549784],0
r3,1,0.014972,5.919811,[135   8] ; [316   5],[138.99353448   4.00646552] ; [312.00646552   8.99353448],0
b4,1,0.017277,5.668013,[98 45] ; [183 139],[86.41505376 56.58494624] ; [194.58494624 127.41505376],0
d4,1,0.02058,5.361974,[111  32] ; [276  44],[119.52699784  23.47300216] ; [267.47300216  52.52699784],0
a1,1,0.064444,3.419144,[  4 139] ; [ 23 299],[  8.30322581 134.69677419] ; [ 18.69677419 303.30322581],0
p9,1,0.069036,3.305794,[125  17] ; [298  22],[130.01298701  11.98701299] ; [292.98701299  27.01298701],0
d5,1,0.078666,3.092239,[111  32] ; [270  50],[117.67386609  25.32613391] ; [263.32613391  56.67386609],0
a7,1,0.088461,2.902168,[95 48] ; [238  83],[102.62715517  40.37284483] ; [230.37284483  90.62715517],0
n5,1,0.093352,2.815597,[109  34] ; [266  55],[115.57112069  27.42887931] ; [259.42887931  61.57112069],0
