Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2e-05,18.223753,[ 1 22] ; [22 15],[ 8.81666667 14.18333333] ; [14.18333333 22.81666667],1
d4,1,3.9e-05,16.924626,[ 9 14] ; [33  4],[16.1  6.9] ; [25.9 11.1],1
d3,1,0.000557,11.915394,[ 5 18] ; [25 12],[11.5 11.5] ; [18.5 18.5],1
a7,1,0.001154,10.563167,[ 5 18] ; [24 13],[11.11666667 11.88333333] ; [17.88333333 19.11666667],0
r3,1,0.002724,8.983707,[ 6 16] ; [25 12],[11.55932203 10.44067797] ; [19.44067797 17.55932203],0
d2,1,0.003071,8.764823,[ 5 18] ; [22 14],[10.52542373 12.47457627] ; [16.47457627 19.52542373],0
r4,1,0.003583,8.484136,[ 1 22] ; [14 23],[ 5.75 17.25] ; [ 9.25 27.75],0
v2,1,0.005868,7.590333,[ 2 20] ; [16 21],[ 6.71186441 15.28813559] ; [11.28813559 25.71186441],0
a5,1,0.01307,6.159598,[ 8 15] ; [25 12],[12.65 10.35] ; [20.35 16.65],0
r2,1,0.014526,5.973093,[ 8 15] ; [23 11],[12.50877193 10.49122807] ; [18.49122807 15.50877193],0
p11,1,0.020247,5.39045,[ 6 17] ; [21 16],[10.35 12.65] ; [16.65 20.35],0
b4,1,0.027881,4.835423,[11 12] ; [28  9],[14.95  8.05] ; [24.05 12.95],0
a3,1,0.034538,4.467857,[10 12] ; [27 10],[13.79661017  8.20338983] ; [23.20338983 13.79661017],0
s1,1,0.055341,3.671786,[ 5 18] ; [ 2 35],[ 2.68333333 20.31666667] ; [ 4.31666667 32.68333333],0
u2,1,0.062579,3.467692,[ 1 12] ; [4 6],[ 2.82608696 10.17391304] ; [2.17391304 7.82608696],0
s5,1,0.098549,2.728862,[ 1 22] ; [ 7 29],[ 3.11864407 19.88135593] ; [ 4.88135593 31.11864407],0
a8,1,0.101987,2.674188,[ 1 21] ; [ 7 28],[ 3.0877193 18.9122807] ; [ 4.9122807 30.0877193],0
n6,1,0.104442,2.636364,[ 8 14] ; [21 15],[11. 11.] ; [18. 18.],0
a6,1,0.111911,2.527024,[ 7 16] ; [19 18],[ 9.96666667 13.03333333] ; [16.03333333 20.96666667],0
a4,1,0.114782,2.48711,[ 5 18] ; [15 21],[ 7.79661017 15.20338983] ; [12.20338983 23.79661017],0
p1,1,0.131003,2.280575,[ 5 18] ; [ 3 34],[ 3.06666667 19.93333333] ; [ 4.93333333 32.06666667],0
b2,1,0.153686,2.035282,[8 8] ; [ 7 18],[ 5.85365854 10.14634146] ; [ 9.14634146 15.85365854],0
b3,1,0.153686,2.035282,[8 8] ; [ 7 18],[ 5.85365854 10.14634146] ; [ 9.14634146 15.85365854],0
b5,1,0.164117,1.935874,[ 7 16] ; [18 19],[ 9.58333333 13.41666667] ; [15.41666667 21.58333333],0
r1,1,0.164117,1.935874,[ 7 16] ; [18 19],[ 9.58333333 13.41666667] ; [15.41666667 21.58333333],0
s6,1,0.200209,1.64085,[ 4 19] ; [12 25],[ 6.13333333 16.86666667] ; [ 9.86666667 27.13333333],0
n5,1,0.233098,1.421857,[16  7] ; [20 17],[13.8  9.2] ; [22.2 14.8],0
p2,1,0.253773,1.302411,[ 6 17] ; [15 22],[ 8.05 14.95] ; [12.95 24.05],0
a1,1,0.276128,1.186047,[ 4 19] ; [ 3 34],[ 2.68333333 20.31666667] ; [ 4.31666667 32.68333333],0
n4,1,0.277673,1.178446,[13 10] ; [26 11],[14.95  8.05] ; [24.05 12.95],0
p9,1,0.365878,0.817617,[ 8 14] ; [17 18],[ 9.64912281 12.35087719] ; [15.35087719 19.64912281],0
a2,1,0.378503,0.775558,[ 1 22] ; [ 4 33],[ 1.91666667 21.08333333] ; [ 3.08333333 33.91666667],0
b1,1,0.425692,0.634548,[10 13] ; [20 17],[11.5 11.5] ; [18.5 18.5],0
s7,1,0.436906,0.604396,[ 4 18] ; [ 9 24],[ 5.2 16.8] ; [ 7.8 25.2],0
s3,1,0.509108,0.435901,[ 6 17] ; [12 23],[ 7.13793103 15.86206897] ; [10.86206897 24.13793103],0
n1,1,0.567996,0.326048,[7 6] ; [6 8],[6.25925926 6.74074074] ; [6.74074074 7.25925926],0
s8,1,0.571933,0.319459,[ 2 21] ; [ 5 32],[ 2.68333333 20.31666667] ; [ 4.31666667 32.68333333],0
v1,1,0.64698,0.209729,[ 7 16] ; [ 9 27],[ 6.23728814 16.76271186] ; [ 9.76271186 26.23728814],0
s4,1,0.682543,0.167277,[ 4 19] ; [ 5 32],[ 3.45 19.55] ; [ 5.55 31.45],0
p7,1,0.690922,0.158089,[ 6 17] ; [ 8 29],[ 5.36666667 17.63333333] ; [ 8.63333333 28.36666667],0
n3,1,0.694887,0.153846,[6 7] ; [7 6],[6.5 6.5] ; [6.5 6.5],0
u3,1,0.70386,0.144487,[ 2 11] ; [1 9],[ 1.69565217 11.30434783] ; [1.30434783 8.69565217],0
v3,1,0.790602,0.070505,[ 5 18] ; [ 7 30],[ 4.6 18.4] ; [ 7.4 29.6],0
s2,1,0.830888,0.045609,[ 5 18] ; [ 7 29],[ 4.6779661 18.3220339] ; [ 7.3220339 28.6779661],0
p10,1,0.847494,0.036986,[ 8 14] ; [14 22],[ 8.34482759 13.65517241] ; [13.65517241 22.34482759],0
