Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000571,11.868132,[32  7] ; [ 8 13],[26. 13.] ; [14.  7.],1
r3,1,0.008885,6.845747,[38  1] ; [16  5],[35.1  3.9] ; [18.9  2.1],0
v4,1,0.010836,6.49197,[37  2] ; [15  6],[33.8  5.2] ; [18.2  2.8],0
n4,1,0.019076,5.494505,[33  6] ; [12  9],[29.25  9.75] ; [15.75  5.25],0
p9,1,0.021637,5.274725,[30  9] ; [10 11],[26. 13.] ; [14.  7.],0
n6,1,0.065276,3.397987,[33  5] ; [14  7],[30.27118644  7.72881356] ; [16.72881356  4.27118644],0
n5,1,0.066951,3.356233,[31  8] ; [12  9],[27.95 11.05] ; [15.05  5.95],0
r1,1,0.066951,3.356233,[31  8] ; [12  9],[27.95 11.05] ; [15.05  5.95],0
v1,1,0.075639,3.156205,[19 17] ; [ 6 15],[15.78947368 20.21052632] ; [ 9.21052632 11.78947368],0
a7,1,0.100536,2.697021,[27 12] ; [10 11],[24.05 14.95] ; [12.95  8.05],0
p4,1,0.113192,2.509075,[25 14] ; [ 9 12],[22.1 16.9] ; [11.9  9.1],0
a6,1,0.150864,2.063492,[26 13] ; [10 11],[23.4 15.6] ; [12.6  8.4],0
r4,1,0.160817,1.96653,[35  4] ; [16  5],[33.15  5.85] ; [17.85  3.15],0
a4,1,0.18255,1.776742,[20 19] ; [ 7 14],[17.55 21.45] ; [ 9.45 11.55],0
s8,1,0.184844,1.758242,[18 21] ; [ 6 15],[15.6 23.4] ; [ 8.4 12.6],0
r2,1,0.220902,1.498501,[37  2] ; [18  3],[35.75  3.25] ; [19.25  1.75],0
d4,1,0.241486,1.371898,[26 13] ; [17  4],[27.95 11.05] ; [15.05  5.95],0
p6,1,0.250829,1.318681,[11 28] ; [ 9 12],[13. 26.] ; [ 7. 14.],0
p5,1,0.292889,1.106293,[ 5 32] ; [ 1 20],[ 3.82758621 33.17241379] ; [ 2.17241379 18.82758621],0
b5,1,0.336668,0.923077,[21 18] ; [14  7],[22.75 16.25] ; [12.25  8.75],0
u2,1,0.340144,0.90989,[8 8] ; [2 5],[6.95652174 9.04347826] ; [3.04347826 3.95652174],0
n1,1,0.342782,0.9,[4 6] ; [5 3],[5. 5.] ; [4. 4.],0
n3,1,0.374857,0.7875,[7 3] ; [7 1],[7.77777778 2.22222222] ; [6.22222222 1.77777778],0
a8,1,0.378896,0.774282,[ 3 34] ; [ 3 16],[ 3.96428571 33.03571429] ; [ 2.03571429 16.96428571],0
u3,1,0.381905,0.76456,[10  6] ; [3 4],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
u1,1,0.383362,0.759894,[ 7 32] ; [ 2 19],[ 5.85 33.15] ; [ 3.15 17.85],0
b1,1,0.416793,0.659341,[18 21] ; [12  9],[19.5 19.5] ; [10.5 10.5],0
a1,1,0.462656,0.539461,[ 4 35] ; [ 1 20],[ 3.25 35.75] ; [ 1.75 19.25],0
s3,1,0.533365,0.387977,[19 20] ; [12  9],[20.15 18.85] ; [10.85 10.15],0
p7,1,0.533365,0.387977,[19 20] ; [12  9],[20.15 18.85] ; [10.85 10.15],0
d1,1,0.533365,0.387977,[19 20] ; [12  9],[20.15 18.85] ; [10.85 10.15],0
v3,1,0.554022,0.350161,[14 23] ; [ 6 14],[12.98245614 24.01754386] ; [ 7.01754386 12.98245614],0
a3,1,0.558861,0.341679,[23 16] ; [14  7],[24.05 14.95] ; [12.95  8.05],0
d2,1,0.573447,0.316949,[17 21] ; [11 10],[18.03389831 19.96610169] ; [ 9.96610169 11.03389831],0
d3,1,0.645238,0.211957,[18 21] ; [11 10],[18.85 20.15] ; [10.15 10.85],0
u4,1,0.651015,0.204623,[ 1 38] ; [ 1 20],[ 1.3 37.7] ; [ 0.7 20.3],0
s5,1,0.79801,0.065497,[12 24] ; [ 6 14],[11.57142857 24.42857143] ; [ 6.42857143 13.57142857],0
a5,1,0.806591,0.05994,[29 10] ; [15  6],[28.6 10.4] ; [15.4  5.6],0
s4,1,0.806749,0.05984,[ 8 30] ; [ 5 16],[ 8.37288136 29.62711864] ; [ 4.62711864 16.37288136],0
p8,1,0.825094,0.04884,[16 23] ; [ 8 13],[15.6 23.4] ; [ 8.4 12.6],0
v2,1,0.831512,0.045268,[21 17] ; [11 10],[20.61016949 17.38983051] ; [11.38983051  9.61016949],0
d5,1,0.859357,0.031397,[27 12] ; [15  6],[27.3 11.7] ; [14.7  6.3],0
s6,1,0.866189,0.028393,[25 14] ; [13  8],[24.7 14.3] ; [13.3  7.7],0
n2,1,0.866815,0.028125,[9 1] ; [7 1],[8.88888889 1.11111111] ; [7.11111111 0.88888889],0
a2,1,0.873475,0.025359,[ 5 34] ; [ 3 18],[ 5.2 33.8] ; [ 2.8 18.2],0
b2,1,0.890386,0.018993,[11 16] ; [5 8],[10.8 16.2] ; [5.2 7.8],0
b3,1,0.890386,0.018993,[11 16] ; [5 8],[10.8 16.2] ; [5.2 7.8],0
b4,1,0.890831,0.018838,[23 16] ; [12  9],[22.75 16.25] ; [12.25  8.75],0
s1,1,0.928111,0.00814,[ 4 35] ; [ 2 19],[ 3.9 35.1] ; [ 2.1 18.9],0
p1,1,0.928111,0.00814,[ 4 35] ; [ 2 19],[ 3.9 35.1] ; [ 2.1 18.9],0
s2,1,0.935247,0.006601,[19 20] ; [10 11],[18.85 20.15] ; [10.15 10.85],0
s7,1,0.948546,0.004164,[16 22] ; [ 7 10],[15.89090909 22.10909091] ; [7.10909091 9.89090909],0
