Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,32.379575,[18 37] ; [106  33],[35.15463918 19.84536082] ; [88.84536082 50.15463918],1
a6,1,4.2e-05,16.796227,[24 31] ; [103  35],[36.19170984 18.80829016] ; [90.80829016 47.19170984],1
u1,1,0.012021,6.307787,[ 2 53] ; [ 24 115],[ 7.37113402 47.62886598] ; [ 18.62886598 120.37113402],0
a2,1,0.018137,5.582902,[ 4 51] ; [ 30 109],[ 9.63917526 45.36082474] ; [ 24.36082474 114.63917526],0
v1,1,0.02639,4.930306,[37 17] ; [68 66],[30.15957447 23.84042553] ; [74.84042553 59.15957447],0
b3,1,0.048678,3.886416,[19 18] ; [23 49],[14.25688073 22.74311927] ; [27.74311927 44.25688073],0
b2,1,0.048678,3.886416,[19 18] ; [23 49],[14.25688073 22.74311927] ; [27.74311927 44.25688073],0
b1,1,0.06541,3.394615,[26 29] ; [46 93],[20.41237113 34.58762887] ; [51.58762887 87.41237113],0
a8,1,0.097573,2.744764,[ 5 49] ; [ 24 101],[ 8.74860335 45.25139665] ; [ 20.25139665 104.74860335],0
a1,1,0.118821,2.432792,[ 5 50] ; [  5 134],[ 2.83505155 52.16494845] ; [  7.16494845 131.83505155],0
d1,1,0.194836,1.680664,[26 29] ; [80 59],[30.05154639 24.94845361] ; [75.94845361 63.05154639],0
p3,1,0.199534,1.645783,[19 36] ; [ 35 103],[15.38860104 39.61139896] ; [38.61139896 99.38860104],0
r3,1,0.239806,1.381733,[52  3] ; [134   3],[53.28125  1.71875] ; [132.71875   4.28125],0
s5,1,0.288084,1.128553,[18 35] ; [34 96],[15.06010929 37.93989071] ; [36.93989071 93.06010929],0
v4,1,0.302825,1.061712,[50  5] ; [130   7],[51.5625  3.4375] ; [128.4375   8.5625],0
s2,1,0.327161,0.960102,[29 26] ; [62 76],[25.93264249 29.06735751] ; [65.06735751 72.93264249],0
p9,1,0.343642,0.896797,[40 13] ; [111  25],[42.34391534 10.65608466] ; [108.65608466  27.34391534],0
u3,1,0.380335,0.769618,[5 8] ; [22 20],[6.38181818 6.61818182] ; [20.61818182 21.38181818],0
s6,1,0.38459,0.755979,[29 25] ; [83 54],[31.66492147 22.33507853] ; [80.33507853 56.66492147],0
p8,1,0.392755,0.730395,[15 38] ; [47 88],[17.4787234 35.5212766] ; [44.5212766 90.4787234],0
a3,1,0.396157,0.719961,[42 13] ; [97 41],[39.61139896 15.38860104] ; [99.38860104 38.61139896],0
n1,1,0.406757,0.688259,[ 5 10] ; [ 8 28],[ 3.82352941 11.17647059] ; [ 9.17647059 26.82352941],0
p10,1,0.41286,0.67055,[38 15] ; [106  31],[40.16842105 12.83157895] ; [103.83157895  33.16842105],0
s4,1,0.436794,0.604692,[ 7 48] ; [ 24 115],[ 8.78865979 46.21134021] ; [ 22.21134021 116.78865979],0
p11,1,0.487946,0.481052,[43 12] ; [102  37],[41.10824742 13.89175258] ; [103.89175258  35.10824742],0
n4,1,0.493479,0.468933,[40 14] ; [96 43],[38.05181347 15.94818653] ; [97.94818653 41.05181347],0
n2,1,0.506983,0.44029,[10  5] ; [28  9],[10.96153846  4.03846154] ; [27.03846154  9.96153846],0
