Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.0,35.023026,[121  54] ; [50 90],[95. 80.] ; [76. 64.],1
v3,1,0.0,28.576948,[90 83] ; [ 32 110],[ 67.0031746 105.9968254] ; [54.9968254 87.0031746],1
b1,1,0.005609,7.671883,[ 59 121] ; [69 75],[ 71.11111111 108.88888889] ; [56.88888889 87.11111111],0
d4,1,0.021887,5.254738,[153  27] ; [107  36],[144.89164087  35.10835913] ; [115.10835913  27.89164087],0
r3,1,0.030741,4.667378,[176   3] ; [135   9],[172.3498452   6.6501548] ; [138.6501548   5.3498452],0
d3,1,0.034459,4.471768,[133  47] ; [90 53],[124.27244582  55.72755418] ; [98.72755418 44.27244582],0
d1,1,0.035313,4.429997,[111  69] ; [72 72],[101.66666667  78.33333333] ; [81.33333333 62.66666667],0
d2,1,0.041087,4.172421,[91 89] ; [56 87],[81.91950464 98.08049536] ; [65.08049536 77.91950464],0
s4,1,0.060121,3.534037,[ 23 157] ; [ 29 112],[ 29.1588785 150.8411215] ; [ 22.8411215 118.1588785],0
p10,1,0.060486,3.524013,[147  31] ; [105  37],[140.175  37.825] ; [111.825  30.175],0
r1,1,0.065635,3.388954,[151  29] ; [109  35],[144.44444444  35.55555556] ; [115.55555556  28.44444444],0
b4,1,0.069642,3.291429,[113  67] ; [76 68],[105.  75.] ; [84. 60.],0
p9,1,0.078176,3.102422,[153  25] ; [113  31],[147.04347826  30.95652174] ; [118.95652174  25.04347826],0
p6,1,0.078635,3.0929,[ 69 109] ; [ 42 101],[ 61.55140187 116.44859813] ; [49.44859813 93.55140187],0
a6,1,0.081476,3.035204,[132  48] ; [92 51],[124.82972136  55.17027864] ; [99.17027864 43.82972136],0
n1,1,0.086018,2.947368,[ 8 24] ; [17 21],[11.42857143 20.57142857] ; [13.57142857 24.42857143],0
p5,1,0.095458,2.779832,[ 10 170] ; [ 15 127],[ 13.97515528 166.02484472] ; [ 11.02484472 130.97515528],0
