Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,26.167247,[16 71] ; [19  8],[26.71052632 60.28947368] ; [ 8.28947368 18.71052632],1
s6,1,0.000546,11.952906,[19 71] ; [15 12],[26.15384615 63.84615385] ; [ 7.84615385 19.15384615],1
s4,1,0.010598,6.531495,[11 79] ; [ 9 18],[15.38461538 74.61538462] ; [ 4.61538462 22.38461538],0
r3,1,0.011448,6.394357,[39 48] ; [19  7],[44.65486726 42.34513274] ; [13.34513274 12.65486726],0
s5,1,0.014747,5.94647,[10 80] ; [ 8 18],[13.96551724 76.03448276] ; [ 4.03448276 21.96551724],0
s7,1,0.015663,5.840297,[12 72] ; [ 9 16],[16.18348624 67.81651376] ; [ 4.81651376 20.18348624],0
p3,1,0.017018,5.694524,[16 71] ; [11 16],[20.60526316 66.39473684] ; [ 6.39473684 20.60526316],0
a6,1,0.05432,3.702835,[41 49] ; [18  9],[45.38461538 44.61538462] ; [13.61538462 13.38461538],0
p7,1,0.063744,3.437188,[26 60] ; [13 13],[29.94642857 56.05357143] ; [ 9.05357143 16.94642857],0
p10,1,0.070352,3.274782,[36 51] ; [16 10],[40.03539823 46.96460177] ; [11.96460177 14.03539823],0
d3,1,0.07608,3.146709,[42 47] ; [18  9],[46.03448276 42.96551724] ; [13.96551724 13.03448276],0
n2,1,0.089428,2.884632,[19 23] ; [10  4],[21.75 20.25] ; [7.25 6.75],0
p4,1,0.11371,2.501882,[22 66] ; [11 16],[25.25217391 62.74782609] ; [ 7.74782609 19.25217391],0
s1,1,0.117653,2.448288,[ 5 84] ; [ 4 23],[ 6.90517241 82.09482759] ; [ 2.09482759 24.90517241],0
n1,1,0.131006,2.280543,[15 27] ; [ 2 12],[12.75 29.25] ; [4.25 9.75],0
b2,1,0.133166,2.255199,[21 32] ; [ 2 10],[18.75384615 34.24615385] ; [4.24615385 7.75384615],0
b3,1,0.133166,2.255199,[21 32] ; [ 2 10],[18.75384615 34.24615385] ; [4.24615385 7.75384615],0
b4,1,0.152822,2.04385,[54 36] ; [12 15],[50.76923077 39.23076923] ; [15.23076923 11.76923077],0
p6,1,0.168352,1.897557,[10 76] ; [ 6 21],[12.17699115 73.82300885] ; [ 3.82300885 23.17699115],0
u3,1,0.170913,1.874913,[10 31] ; [5 6],[11.82692308 29.17307692] ; [3.17307692 7.82692308],0
p8,1,0.175245,1.83749,[19 69] ; [ 9 17],[21.61403509 66.38596491] ; [ 6.38596491 19.61403509],0
a2,1,0.200685,1.637381,[11 79] ; [ 1 26],[ 9.23076923 80.76923077] ; [ 2.76923077 24.23076923],0
b1,1,0.263856,1.248413,[51 39] ; [12 15],[48.46153846 41.53846154] ; [14.53846154 12.46153846],0
p2,1,0.277932,1.177175,[43 44] ; [16 10],[45.42477876 41.57522124] ; [13.57522124 12.42477876],0
p9,1,0.293563,1.103209,[41 45] ; [16 11],[43.38053097 42.61946903] ; [13.61946903 13.38053097],0
v2,1,0.303101,1.0605,[27 59] ; [11 15],[29.17857143 56.82142857] ; [ 8.82142857 17.17857143],0
d1,1,0.344532,0.893495,[31 59] ; [12 15],[33.07692308 56.92307692] ; [ 9.92307692 17.07692308],0
n5,1,0.353408,0.861183,[53 35] ; [13 13],[50.94736842 37.05263158] ; [15.05263158 10.94736842],0
d4,1,0.416874,0.65911,[55 34] ; [19  8],[56.77586207 32.22413793] ; [17.22413793  9.77586207],0
p11,1,0.435457,0.608225,[39 51] ; [14 13],[40.76923077 49.23076923] ; [12.23076923 14.76923077],0
u1,1,0.461948,0.54117,[ 7 83] ; [ 1 26],[ 6.15384615 83.84615385] ; [ 1.84615385 25.15384615],0
v1,1,0.48491,0.487802,[26 61] ; [10 17],[27.47368421 59.52631579] ; [ 8.52631579 18.47368421],0
