Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3e-06,21.522497,[96  4] ; [33 15],[87.16216216 12.83783784] ; [41.83783784  6.16216216],1
r3,1,1e-05,19.509324,[97  3] ; [35 13],[89.18918919 10.81081081] ; [42.81081081  5.18918919],1
n6,1,1.2e-05,19.105454,[91  9] ; [30 19],[81.20805369 18.79194631] ; [39.79194631  9.20805369],1
r2,1,2.9e-05,17.469252,[92  7] ; [31 16],[83.40410959 15.59589041] ; [39.59589041  7.40410959],1
s6,1,0.001002,10.82408,[64 31] ; [19 30],[54.75694444 40.24305556] ; [28.24305556 20.75694444],0
d5,1,0.012145,6.289612,[78 21] ; [29 20],[71.57432432 27.42567568] ; [35.42567568 13.57432432],0
s5,1,0.012639,6.218945,[32 61] ; [ 7 41],[25.72340426 67.27659574] ; [13.27659574 34.72340426],0
b1,1,0.024814,5.036854,[32 68] ; [25 24],[38.25503356 61.74496644] ; [18.74496644 30.25503356],0
b5,1,0.044389,4.041717,[68 32] ; [25 24],[62.41610738 37.58389262] ; [30.58389262 18.41610738],0
n4,1,0.051659,3.786776,[73 27] ; [28 21],[67.7852349 32.2147651] ; [33.2147651 15.7852349],0
p11,1,0.062107,3.480193,[86 14] ; [36 13],[81.87919463 18.12080537] ; [40.12080537  8.87919463],0
v3,1,0.068629,3.315513,[34 63] ; [10 39],[29.23287671 67.76712329] ; [14.76712329 34.23287671],0
v1,1,0.093195,2.818298,[50 48] ; [17 30],[45.28275862 52.71724138] ; [21.71724138 25.28275862],0
a7,1,0.104763,2.63149,[68 31] ; [27 22],[63.5472973 35.4527027] ; [31.4527027 17.5472973],0
p6,1,0.108224,2.579963,[38 61] ; [12 36],[33.67346939 65.32653061] ; [16.32653061 31.67346939],0
p9,1,0.126243,2.338108,[96  4] ; [43  5],[93.91891892  6.08108108] ; [45.08108108  2.91891892],0
d1,1,0.153969,2.032478,[47 53] ; [17 32],[42.95302013 57.04697987] ; [21.04697987 27.95302013],0
a4,1,0.157799,1.995197,[36 64] ; [12 37],[32.2147651 67.7852349] ; [15.7852349 33.2147651],0
d4,1,0.169701,1.885581,[76 24] ; [32 17],[72.48322148 27.51677852] ; [35.51677852 13.48322148],0
