Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000836,11.160645,[17 94] ; [17 25],[24.66666667 86.33333333] ; [ 9.33333333 32.66666667],1
p8,1,0.006731,7.34351,[26 87] ; [19 23],[32.80645161 80.19354839] ; [12.19354839 29.80645161],0
p7,1,0.017321,5.663588,[41 73] ; [24 18],[47.5 66.5] ; [17.5 24.5],0
s8,1,0.017344,5.661206,[18 95] ; [14 28],[23.32903226 89.67096774] ; [ 8.67096774 33.32903226],0
v4,1,0.02536,4.999112,[84 29] ; [39  4],[89.09615385 23.90384615] ; [33.90384615  9.09615385],0
r3,1,0.030407,4.686121,[82 32] ; [38  5],[87.13375796 26.86624204] ; [32.86624204 10.13375796],0
v2,1,0.051637,3.787483,[38 74] ; [21 20],[43.18954248 68.81045752] ; [15.81045752 25.18954248],0
p2,1,0.052739,3.75218,[55 60] ; [28 15],[60.41139241 54.58860759] ; [22.58860759 20.41139241],0
u3,1,0.067889,3.333333,[21 28] ; [14  7],[24.5 24.5] ; [10.5 10.5],0
r4,1,0.093012,2.821458,[69 46] ; [32 11],[73.51265823 41.48734177] ; [27.48734177 15.51265823],0
v1,1,0.102423,2.667411,[37 77] ; [20 23],[41.38853503 72.61146497] ; [15.61146497 27.38853503],0
r1,1,0.115241,2.480831,[66 47] ; [31 12],[70.26282051 42.73717949] ; [26.73717949 16.26282051],0
n2,1,0.156333,2.009344,[28 25] ; [11  4],[30.39705882 22.60294118] ; [8.60294118 6.39705882],0
s5,1,0.170537,1.878216,[17 94] ; [10 30],[19.84768212 91.15231788] ; [ 7.15231788 32.84768212],0
n3,1,0.182642,1.775991,[27 23] ; [11  4],[29.23076923 20.76923077] ; [8.76923077 6.23076923],0
a7,1,0.186647,1.743887,[69 45] ; [21 22],[65.35031847 48.64968153] ; [24.64968153 18.35031847],0
s4,1,0.218147,1.516519,[20 94] ; [ 4 38],[17.53846154 96.46153846] ; [ 6.46153846 35.53846154],0
p9,1,0.238695,1.388284,[30 82] ; [15 26],[32.94117647 79.05882353] ; [12.05882353 28.94117647],0
s2,1,0.246621,1.342345,[34 80] ; [17 26],[37.03184713 76.96815287] ; [13.96815287 29.03184713],0
n4,1,0.301463,1.06771,[66 47] ; [29 14],[68.81410256 44.18589744] ; [26.18589744 16.81410256],0
s1,1,0.310874,1.026958,[ 11 103] ; [ 2 41],[  9.43949045 104.56050955] ; [ 3.56050955 39.43949045],0
n6,1,0.321504,0.982819,[61 52] ; [27 16],[63.74358974 49.25641026] ; [24.25641026 18.74358974],0
p4,1,0.344465,0.893745,[41 73] ; [19 24],[43.56687898 70.43312102] ; [16.43312102 26.56687898],0
n5,1,0.350365,0.872136,[62 51] ; [20 23],[59.3974359 53.6025641] ; [22.6025641 20.3974359],0
a3,1,0.382223,0.763539,[66 46] ; [22 21],[63.58709677 48.41290323] ; [24.41290323 18.58709677],0
p1,1,0.411526,0.674389,[ 10 105] ; [ 2 40],[  8.78980892 106.21019108] ; [ 3.21019108 38.78980892],0
a2,1,0.447218,0.577694,[25 90] ; [ 7 36],[23.29113924 91.70886076] ; [ 8.70886076 34.29113924],0
b5,1,0.460154,0.545521,[73 42] ; [30 13],[74.96835443 40.03164557] ; [28.03164557 14.96835443],0
s6,1,0.460517,0.544638,[49 64] ; [21 21],[51.03225806 61.96774194] ; [18.96774194 23.03225806],0
p12,1,0.466235,0.530886,[  1 114] ; [ 1 42],[  1.4556962 113.5443038] ; [ 0.5443038 42.4556962],0
u2,1,0.469182,0.523902,[19 28] ; [10 10],[20.34328358 26.65671642] ; [ 8.65671642 11.34328358],0
d5,1,0.50384,0.44684,[78 36] ; [27 16],[76.24203822 37.75796178] ; [28.75796178 14.24203822],0
a8,1,0.514106,0.425701,[11 94] ; [ 6 36],[12.14285714 92.85714286] ; [ 4.85714286 37.14285714],0
u1,1,0.519915,0.414062,[ 15 100] ; [ 4 39],[ 13.82911392 101.17088608] ; [ 5.17088608 37.82911392],0
b4,1,0.521547,0.410832,[63 52] ; [26 17],[64.77848101 50.22151899] ; [24.22151899 18.77848101],0
n1,1,0.533352,0.388001,[23 29] ; [8 7],[24.05970149 27.94029851] ; [6.94029851 8.05970149],0
p3,1,0.534546,0.385743,[39 75] ; [17 26],[40.66242038 73.33757962] ; [15.33757962 27.66242038],0
a1,1,0.610348,0.259669,[ 11 104] ; [ 3 40],[ 10.18987342 104.81012658] ; [ 3.81012658 39.18987342],0
p5,1,0.680414,0.16966,[  6 108] ; [ 3 40],[  6.53503185 107.46496815] ; [ 2.46496815 40.53503185],0
v3,1,0.699458,0.149036,[29 78] ; [13 30],[29.96 77.04] ; [12.04 30.96],0
d4,1,0.709146,0.139132,[78 35] ; [31 12],[78.95512821 34.04487179] ; [30.04487179 12.95512821],0
d2,1,0.713092,0.135208,[51 62] ; [18 25],[49.98076923 63.01923077] ; [19.01923077 23.98076923],0
r2,1,0.72034,0.128167,[91 21] ; [36  7],[91.76774194 20.23225806] ; [35.23225806  7.76774194],0
a6,1,0.765608,0.088878,[64 50] ; [23 20],[63.17197452 50.82802548] ; [23.82802548 19.17197452],0
b3,1,0.797328,0.06595,[23 46] ; [ 7 16],[22.5 46.5] ; [ 7.5 15.5],0
b2,1,0.797328,0.06595,[23 46] ; [ 7 16],[22.5 46.5] ; [ 7.5 15.5],0
s7,1,0.842044,0.039712,[29 76] ; [12 29],[29.48630137 75.51369863] ; [11.51369863 29.48630137],0
d1,1,0.858548,0.031764,[49 66] ; [19 24],[49.49367089 65.50632911] ; [18.50632911 24.49367089],0
d3,1,0.892037,0.018422,[65 49] ; [24 19],[64.62420382 49.37579618] ; [24.37579618 18.62420382],0
a4,1,0.893854,0.017803,[46 67] ; [17 26],[45.63461538 67.36538462] ; [17.36538462 25.63461538],0
a5,1,0.910306,0.012691,[68 47] ; [25 18],[67.68987342 47.31012658] ; [25.31012658 17.68987342],0
s3,1,0.910541,0.012624,[48 64] ; [18 25],[47.69032258 64.30967742] ; [18.30967742 24.69032258],0
